symbol,strategy_name,trades,profitable_trades,loss_trades,average_profit,average_trade_days,average_percent_profit,median_percent_profit,percent_wins,last_sale_date,last_sell_date_diff,table_name,trades_buy_dates,trades_sell_dates,trades_days,trades_profit,trades_percent,last_update,sharpe_ratio
GSY,ALGO_ADX_28,8,8,0,0.0524,61.5000,0.1055,0.04122112831627036,1.0,2023-11-07 17:45:00+00:00,5,ADX_28_P1_L.75_AV_15M_STOCK_RESULTS,"[2023-09-08T16:30:00+00:00, 2023-09-15T17:30:00+00:00, 2023-09-28T17:30:00+00:00, 2023-10-02T14:15:00+00:00, 2023-10-05T13:45:00+00:00, 2023-10-19T14:45:00+00:00, 2023-10-23T18:00:00+00:00, 2023-11-07T01:00:00+00:00]","[2023-09-08T22:30:00+00:00, 2023-09-18T12:00:00+00:00, 2023-10-02T12:00:00+00:00, 2023-10-05T13:30:00+00:00, 2023-10-05T15:00:00+00:00, 2023-10-20T19:15:00+00:00, 2023-11-02T16:45:00+00:00, 2023-11-07T17:45:00+00:00]","[15.0, 14.0, 44.0, 94.0, 5.0, 47.0, 256.0, 17.0]","[0.005000000000002558, 0.21399999999999864, 0.010000000000005116, 0.02599999999999625, 0.005000000000002558, 0.03399999999999892, 0.10999999999999943, 0.015000000000000568]","[0.010078410030038818, 0.4311386896607273, 0.02012477359630734, 0.052309673265725595, 0.010054293183194367, 0.06858433856456797, 0.22166246851385274, 0.030132583366815124]",2023-11-08 18:42:39,0.3557976697250670394931090547
RPHM,ALGO_EMA_RSI_ADX_BB_CGPT,8,7,1,0.1109,1.1250,1.6414,1.5742939009414636,0.875,2023-10-27 14:00:00+00:00,16,EMA_RSI_ADX_BB_P1_L.75_AV_15M_STOCK_RESULTS,"[2023-09-12T23:30:00+00:00, 2023-09-14T14:30:00+00:00, 2023-09-15T13:30:00+00:00, 2023-09-19T11:45:00+00:00, 2023-09-20T19:45:00+00:00, 2023-09-21T19:30:00+00:00, 2023-09-27T16:00:00+00:00, 2023-10-27T13:30:00+00:00]","[2023-09-13T13:30:00+00:00, 2023-09-14T14:45:00+00:00, 2023-09-15T13:45:00+00:00, 2023-09-19T13:45:00+00:00, 2023-09-20T20:00:00+00:00, 2023-09-21T19:45:00+00:00, 2023-09-27T16:15:00+00:00, 2023-10-27T14:00:00+00:00]","[1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0]","[0.13999999999999968, 0.15700000000000003, 0.4400000000000004, 0.25, 0.034999999999999254, 0.08000000000000007, 0.015000000000000568, -0.23000000000000043]","[2.005730659025783, 2.294315358760778, 6.162464985994403, 3.6764705882352944, 0.4953998584571727, 1.142857142857144, 0.20408163265306897, -2.8500619578686543]",2023-11-09 04:38:21,0.6409836818596758496123904559
ACVA,ALGO_EMA_RSI_ADX_BB_CGPT,7,6,1,0.1171,1.2857,0.8090,0.4817618719889903,0.8571428571428571,2023-10-18 17:15:00+00:00,25,EMA_RSI_ADX_BB_P1_L.75_AV_15M_STOCK_RESULTS,"[2023-10-02T12:45:00+00:00, 2023-10-11T17:45:00+00:00, 2023-10-12T17:00:00+00:00, 2023-10-12T17:30:00+00:00, 2023-10-12T18:15:00+00:00, 2023-10-18T13:45:00+00:00, 2023-10-18T17:00:00+00:00]","[2023-10-02T13:45:00+00:00, 2023-10-11T18:00:00+00:00, 2023-10-12T17:15:00+00:00, 2023-10-12T18:00:00+00:00, 2023-10-12T18:30:00+00:00, 2023-10-18T14:00:00+00:00, 2023-10-18T17:15:00+00:00]","[2.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0]","[0.6050000000000004, 0.10000000000000142, -0.11499999999999844, 0.040000000000000924, 0.07000000000000028, 0.019999999999999574, 0.10000000000000142]","[4.192654192654196, 0.6653359946773215, -0.7757166947723335, 0.2741603838245437, 0.4817618719889903, 0.1364256480218252, 0.6882312456985645]",2023-11-09 03:21:52,0.5171278266167568057423969658
ZIP,ALGO_EMA_RSI_ADX_BB_CGPT,11,10,1,0.0792,1.0909,0.6335,0.6653359946773215,0.9090909090909091,2023-11-08 20:15:00+00:00,4,EMA_RSI_ADX_BB_P1_L.75_AV_15M_STOCK_RESULTS,"[2023-09-14T19:15:00+00:00, 2023-09-15T13:30:00+00:00, 2023-10-09T13:45:00+00:00, 2023-10-11T14:30:00+00:00, 2023-11-06T14:45:00+00:00, 2023-11-06T16:45:00+00:00, 2023-11-06T18:30:00+00:00, 2023-11-06T20:45:00+00:00, 2023-11-07T19:15:00+00:00, 2023-11-07T23:30:00+00:00, 2023-11-08T19:45:00+00:00]","[2023-09-14T19:30:00+00:00, 2023-09-15T13:45:00+00:00, 2023-10-09T14:00:00+00:00, 2023-10-11T14:45:00+00:00, 2023-11-06T15:00:00+00:00, 2023-11-06T17:00:00+00:00, 2023-11-06T18:45:00+00:00, 2023-11-06T21:00:00+00:00, 2023-11-07T19:30:00+00:00, 2023-11-07T23:45:00+00:00, 2023-11-08T20:15:00+00:00]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0]","[0.10000000000000142, 0.19599999999999973, 0.009999999999999787, 0.14499999999999957, 0.08000000000000007, 0.09999999999999964, 0.06999999999999851, 0.049999999999998934, 0.0600000000000005, -0.019999999999999574, 0.08000000000000007]","[0.6653359946773215, 1.3243243243243223, 0.08453085376162119, 1.2293344637558252, 0.690250215703193, 0.8703220191470813, 0.6126914660831378, 0.43936731107204685, 0.5199306759098831, -0.17152658662092257, 0.7036059806508361]",2023-11-09 05:03:48,1.390221013951400128982116016
MOFG,ALGO_EMA_RSI_ADX_BB_CGPT,10,9,1,0.1190,1.5000,0.5884,0.41696511350468574,0.9,2023-11-08 18:15:00+00:00,4,EMA_RSI_ADX_BB_P1_L.75_AV_15M_STOCK_RESULTS,"[2023-09-18T14:15:00+00:00, 2023-10-11T16:30:00+00:00, 2023-10-13T19:45:00+00:00, 2023-10-18T16:00:00+00:00, 2023-10-18T20:00:00+00:00, 2023-11-06T17:30:00+00:00, 2023-11-06T18:00:00+00:00, 2023-11-06T19:00:00+00:00, 2023-11-07T15:45:00+00:00, 2023-11-08T17:45:00+00:00]","[2023-09-18T14:45:00+00:00, 2023-10-11T17:00:00+00:00, 2023-10-16T13:45:00+00:00, 2023-10-18T18:00:00+00:00, 2023-10-18T20:15:00+00:00, 2023-11-06T17:45:00+00:00, 2023-11-06T18:45:00+00:00, 2023-11-06T19:15:00+00:00, 2023-11-07T16:45:00+00:00, 2023-11-08T18:15:00+00:00]","[1.0, 1.0, 3.0, 3.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0]","[0.045000000000001705, 0.029999999999997584, 0.3500000000000014, 0.4549999999999983, 0.07000000000000028, -0.16000000000000014, 0.09999999999999787, 0.14999999999999858, 0.09999999999999787, 0.05000000000000071]","[0.2179704528941715, 0.14499758337359878, 1.7430278884462223, 2.243036726645296, 0.34636318654131754, -0.7677543186180429, 0.48756704046805394, 0.7274490785644935, 0.49043648847473204, 0.2506265664160437]",2023-11-09 04:20:12,0.6625860879510540929361190522
ZUO,ALGO_EMA_RSI_ADX_BB_CGPT,9,8,1,0.0450,1.3333,0.5686,0.3937007874015781,0.8888888888888888,2023-11-08 14:45:00+00:00,4,EMA_RSI_ADX_BB_P1_L.75_AV_15M_STOCK_RESULTS,"[2023-10-11T17:30:00+00:00, 2023-10-11T19:15:00+00:00, 2023-10-17T22:15:00+00:00, 2023-10-18T17:00:00+00:00, 2023-11-06T15:15:00+00:00, 2023-11-06T16:00:00+00:00, 2023-11-06T18:15:00+00:00, 2023-11-06T18:45:00+00:00, 2023-11-08T14:30:00+00:00]","[2023-10-11T18:00:00+00:00, 2023-10-11T19:30:00+00:00, 2023-10-17T23:00:00+00:00, 2023-10-18T17:15:00+00:00, 2023-11-06T15:45:00+00:00, 2023-11-06T16:15:00+00:00, 2023-11-06T18:30:00+00:00, 2023-11-06T19:00:00+00:00, 2023-11-08T14:45:00+00:00]","[2.0, 1.0, 2.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0]","[0.040000000000000036, 0.015000000000000568, 0.1999999999999993, 0.05999999999999961, 0.03000000000000025, 0.04499999999999993, -0.019999999999999574, 0.024999999999999467, 0.009999999999999787]","[0.5037783375314866, 0.18999366687777797, 2.484472049689432, 0.759493670886071, 0.3937007874015781, 0.5909389363099137, -0.26367831245879464, 0.3304692663582216, 0.12836970474967632]",2023-11-09 05:04:01,0.6998285353499859972835237605
SD,ALGO_EMA_RSI_ADX_BB_CGPT,9,8,1,0.0637,1.2222,0.3946,0.30921459492886305,0.8888888888888888,2023-10-23 14:15:00+00:00,20,EMA_RSI_ADX_BB_P1_L.75_AV_15M_STOCK_RESULTS,"[2023-09-11T17:15:00+00:00, 2023-09-11T19:00:00+00:00, 2023-09-13T16:00:00+00:00, 2023-09-14T14:15:00+00:00, 2023-10-11T14:30:00+00:00, 2023-10-12T13:45:00+00:00, 2023-10-20T13:45:00+00:00, 2023-10-20T22:30:00+00:00, 2023-10-23T13:45:00+00:00]","[2023-09-11T17:30:00+00:00, 2023-09-11T19:15:00+00:00, 2023-09-13T16:15:00+00:00, 2023-09-14T14:30:00+00:00, 2023-10-11T15:00:00+00:00, 2023-10-12T14:00:00+00:00, 2023-10-20T14:00:00+00:00, 2023-10-20T23:00:00+00:00, 2023-10-23T14:15:00+00:00]","[1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 2.0]","[0.03999999999999915, 0.04999999999999716, 0.053000000000000824, 0.17999999999999972, 0.02999999999999936, 0.05000000000000071, 0.14000000000000057, 0.0, 0.030000000000001137]","[0.24676125848241298, 0.30921459492886305, 0.32258064516129537, 1.1111111111111094, 0.19193857965450645, 0.32092426187420225, 0.8615384615384649, 0.0, 0.18726591760300335]",2023-11-09 04:41:04,1.010262253466517114140012783
SOYB,ALGO_EMA_RSI_ADX_BB_CGPT,9,8,1,0.0946,1.3333,0.3456,0.1415929203539793,0.8888888888888888,2023-11-08 20:15:00+00:00,4,EMA_RSI_ADX_BB_P1_L.75_AV_15M_STOCK_RESULTS,"[2023-10-13T15:30:00+00:00, 2023-10-23T13:30:00+00:00, 2023-10-23T18:00:00+00:00, 2023-10-23T18:45:00+00:00, 2023-10-30T12:00:00+00:00, 2023-10-31T13:45:00+00:00, 2023-11-03T22:30:00+00:00, 2023-11-07T18:00:00+00:00, 2023-11-08T20:00:00+00:00]","[2023-10-13T16:15:00+00:00, 2023-10-23T14:30:00+00:00, 2023-10-23T18:15:00+00:00, 2023-10-23T19:30:00+00:00, 2023-10-30T13:00:00+00:00, 2023-10-31T15:15:00+00:00, 2023-11-04T00:00:00+00:00, 2023-11-07T18:30:00+00:00, 2023-11-08T20:15:00+00:00]","[1.0, 3.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0]","[0.05000000000000071, 0.15000000000000213, 0.015000000000000568, 0.02499999999999858, 0.39000000000000057, 0.17999999999999972, 0.0, 0.03999999999999915, 0.0010000000000012221]","[0.1847745750184801, 0.5492493592090888, 0.05504587155963511, 0.09174311926604983, 1.4270032930845247, 0.6576543660942628, 0.0, 0.1415929203539793, 0.003524353281177212]",2023-11-09 04:43:54,0.6547275212704729353781800687
NEOG,ALGO_EMA_RSI_ADX_BB_CGPT,6,6,0,0.0408,1.0000,0.2660,0.28824986778188144,1.0,2023-11-08 17:30:00+00:00,4,EMA_RSI_ADX_BB_P1_L.75_AV_15M_STOCK_RESULTS,"[2023-10-27T14:00:00+00:00, 2023-10-27T14:30:00+00:00, 2023-11-07T17:30:00+00:00, 2023-11-07T18:00:00+00:00, 2023-11-07T21:15:00+00:00, 2023-11-08T17:15:00+00:00]","[2023-10-27T14:15:00+00:00, 2023-10-27T14:45:00+00:00, 2023-11-07T17:45:00+00:00, 2023-11-07T18:15:00+00:00, 2023-11-08T14:30:00+00:00, 2023-11-08T17:30:00+00:00]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0600000000000005, 0.07000000000000028, 0.009999999999999787, 0.03999999999999915, 0.049999999999998934, 0.014999999999998792]","[0.394996708360767, 0.4632693580410343, 0.06439150032195613, 0.25823111684957484, 0.318268618714188, 0.09702457956014743]",2023-11-09 04:23:11,1.440534031577961563392585003
LGH,ALGO_EMA_RSI_ADX_BB_CGPT,7,7,0,0.0951,1.4286,0.2528,0.21270938580164397,1.0,2023-10-18 17:00:00+00:00,25,EMA_RSI_ADX_BB_P1_L.75_AV_15M_STOCK_RESULTS,"[2023-09-15T15:45:00+00:00, 2023-10-11T17:45:00+00:00, 2023-10-12T18:00:00+00:00, 2023-10-13T18:30:00+00:00, 2023-10-17T13:45:00+00:00, 2023-10-18T15:00:00+00:00, 2023-10-18T16:15:00+00:00]","[2023-09-15T16:15:00+00:00, 2023-10-11T18:15:00+00:00, 2023-10-12T18:30:00+00:00, 2023-10-13T18:45:00+00:00, 2023-10-17T14:45:00+00:00, 2023-10-18T15:30:00+00:00, 2023-10-18T17:00:00+00:00]","[1.0, 1.0, 2.0, 1.0, 2.0, 2.0, 1.0]","[0.00999999999999801, 0.09000000000000341, 0.0799999999999983, 0.07000000000000028, 0.29999999999999716, 0.02499999999999858, 0.09100000000000108]","[0.025316455696197497, 0.23815824292141682, 0.21270938580164397, 0.18681611956231728, 0.7976601967561743, 0.0664628472683732, 0.24228547085918445]",2023-11-09 04:14:37,0.8340424877425008098136011279
