symbol,strategy_name,trades,profitable_trades,loss_trades,average_profit,average_trade_days,average_percent_profit,trades_days,trades_profit,trades_percent,last_update,percent_wins,table_name,last_sale_date,last_sell_date_diff
AEAEW,ALGO_ADX_28,11,10,1,0.0584,1.5455,67.4367,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 3.0, 1.0, 1.0, 2.0, 4.0]","[0.0189, 0.03, 0.04000000000000001, 0.009999999999999995, 0.10300000000000001, 0.13, 0.0295, 0.0695, 0.2012, 0.0179, -0.0076999999999999985]","[26.58227848101266, 60.0, 66.66666666666669, 19.99999999999999, 114.44444444444446, 130.0, 14.047619047619047, 53.46153846153846, 240.38231780167263, 26.9578313253012, -10.739191073919105]",2023-09-12 01:13:23,0.9090909090909091,ADX_28_1D_STOCK_RESULTS,2023-09-11 21:30:00+00:00,6
TSLL,ALGO_ADX_28,11,11,0,1.0068,1.0909,7.3534,"[1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.3200000000000003, 0.2599999999999998, 0.6900000000000013, 1.1150000000000002, 2.370000000000001, 1.1800000000000033, 1.0299999999999994, 1.4499999999999993, 0.10000000000000142, 0.9699999999999989, 0.5899999999999999]","[12.571428571428575, 2.207130730050932, 5.433070866141742, 8.424631658481301, 16.952789699570822, 7.266009852216769, 7.320540156361047, 9.857239972807609, 0.6119951040391763, 6.369008535784627, 3.8739330269205507]",2023-09-12 01:40:36,1.0,ADX_28_1D_STOCK_RESULTS,2023-09-08 21:30:00+00:00,9
TSL,ALGO_ADX_28,11,11,0,0.9474,1.0909,5.9008,"[1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.3100000000000005, 0.2400000000000002, 0.629999999999999, 1.0600000000000005, 2.3100000000000023, 1.0100000000000016, 0.9299999999999997, 1.3900000000000006, 0.10999999999999943, 0.8709999999999987, 0.5599999999999987]","[10.20249221183801, 1.7021276595744694, 4.18326693227091, 6.81233933161954, 14.224137931034498, 5.435952637244357, 5.599036724864538, 8.076699593259736, 0.5876068376068345, 4.918125352907953, 3.1674208144796308]",2023-09-12 01:40:35,1.0,ADX_28_1D_STOCK_RESULTS,2023-09-08 21:30:00+00:00,9
BLZE,ALGO_ADX_28,6,6,0,0.2850,33.8333,4.9461,"[79.0, 1.0, 89.0, 32.0, 1.0, 1.0]","[0.08000000000000007, 0.20999999999999996, 0.1200000000000001, 0.6299999999999999, 0.0699999999999994, 0.5999999999999996]","[1.2578616352201268, 3.75, 2.1660649819494604, 11.75373134328358, 1.1945392491467473, 9.554140127388528]",2023-09-12 01:16:32,1.0,ADX_28_1D_STOCK_RESULTS,2023-09-06 21:30:00+00:00,11
IMTXW,ALGO_ADX_28,18,17,1,0.1244,7.5000,3.9728,"[1.0, 2.0, 2.0, 2.0, 6.0, 2.0, 1.0, 3.0, 1.0, 10.0, 1.0, 2.0, 91.0, 1.0, 3.0, 1.0, 2.0, 4.0]","[0.25, 0.3500000000000001, 0.33000000000000007, 0.18999999999999995, 0.08999999999999986, 0.15000000000000036, 0.10000000000000009, 0.04999999999999982, 0.06000000000000005, 0.10999999999999988, 0.020000000000000018, -0.1499999999999999, 0.1499999999999999, 0.04999999999999982, 0.20999999999999996, 0.16999999999999993, 0.04999999999999982, 0.05999999999999961]","[9.72762645914397, 12.915129151291517, 10.784313725490199, 5.588235294117646, 2.542372881355928, 4.1782729805014025, 2.890173410404627, 1.5527950310558951, 1.9480519480519498, 3.32326283987915, 0.5917159763313614, -4.360465116279067, 5.0847457627118615, 1.3966480446927325, 5.817174515235457, 4.55764075067024, 1.3513513513513467, 1.621621621621611]",2023-09-12 01:26:55,0.9444444444444444,ADX_28_1D_STOCK_RESULTS,2023-09-07 21:30:00+00:00,10
ICPT,ALGO_ADX_28,15,14,1,0.5767,9.6667,3.8335,"[1.0, 1.0, 1.0, 3.0, 15.0, 1.0, 3.0, 1.0, 1.0, 1.0, 1.0, 112.0, 2.0, 1.0, 1.0]","[0.3999999999999986, 1.4100000000000001, 1.3200000000000003, -0.0600000000000005, 0.6899999999999995, 0.39000000000000057, 0.4499999999999993, 0.0799999999999983, 0.370000000000001, 0.259999999999998, 0.9499999999999993, 1.5299999999999976, 0.23000000000000043, 0.14000000000000057, 0.4900000000000002]","[2.9895366218236066, 10.16582552271089, 9.887640449438205, -0.3937007874015781, 4.630872483221473, 2.3955773955773987, 2.6470588235294077, 0.44642857142856185, 1.9828510182207986, 1.4772727272727157, 5.202628696604596, 8.069620253164544, 2.1062271062271103, 1.3245033112582836, 4.570895522388061]",2023-09-12 01:26:32,0.9333333333333333,ADX_28_1D_STOCK_RESULTS,2023-09-11 21:30:00+00:00,6
GGLL,ALGO_ADX_28,6,6,0,1.0667,5.1667,3.6472,"[1.0, 8.0, 1.0, 17.0, 2.0, 2.0]","[1.25, 1.8399999999999999, 0.6600000000000001, 0.8800000000000026, 0.8900000000000006, 0.879999999999999]","[4.6040515653775325, 6.404455273233553, 2.179656538969617, 2.901417738212999, 2.9956243688993625, 2.7980922098569128]",2023-09-12 01:24:18,1.0,ADX_28_1D_STOCK_RESULTS,2023-09-01 21:30:00+00:00,16
AOTG,ALGO_ADX_28,6,6,0,0.9608,8.8333,3.4201,"[17.0, 4.0, 5.0, 4.0, 6.0, 17.0]","[0.8390000000000022, 1.815999999999999, 1.1799999999999997, 0.34499999999999886, 0.5809999999999995, 1.0040000000000013]","[3.2058385235566167, 6.8168168168168135, 4.163726182074805, 1.1590794557365995, 1.8821471379053403, 3.2928829124303096]",2023-09-12 01:14:30,1.0,ADX_28_1D_STOCK_RESULTS,2023-09-01 21:30:00+00:00,16
SPRX,ALGO_ADX_28,11,10,1,0.5489,21.1818,3.3713,"[3.0, 11.0, 4.0, 3.0, 4.0, 199.0, 2.0, 1.0, 1.0, 3.0, 2.0]","[0.6159999999999997, -0.21499999999999986, 0.6969999999999992, 0.46999999999999886, 1.1580000000000013, 1.0300000000000011, 0.28999999999999915, 0.41999999999999815, 0.8699999999999974, 0.5, 0.20199999999999818]","[4.447332322575984, -1.4468371467025563, 4.789390503676212, 3.0698889614630884, 7.126153846153854, 6.109134045077112, 1.6486640136441113, 2.395892755276658, 4.9685893774985574, 2.875215641173088, 1.1003377274212778]",2023-09-12 01:38:42,0.9090909090909091,ADX_28_1D_STOCK_RESULTS,2023-09-05 21:30:00+00:00,12
IT,ALGO_ADX_28,17,17,0,9.8741,9.8235,3.2518,"[3.0, 3.0, 2.0, 1.0, 2.0, 1.0, 17.0, 7.0, 1.0, 6.0, 1.0, 6.0, 91.0, 2.0, 4.0, 4.0, 16.0]","[7.810000000000031, 30.680000000000007, 6.569999999999993, 0.7000000000000455, 13.810000000000002, 7.580000000000041, 16.899999999999977, 16.5, 6.220000000000027, 6.970000000000027, 7.019999999999982, 7.509999999999991, 3.410000000000025, 9.099999999999966, 6.680000000000007, 11.090000000000032, 9.310000000000002]","[3.069847883337931, 11.612414837244515, 2.272884522244514, 0.25268021513917105, 4.9519506597819865, 2.595712622423136, 5.679908583719828, 5.053598774885145, 1.8678117774241096, 2.066225950849325, 2.151328491311937, 2.2789342720155337, 0.9732012899911598, 2.684920190009726, 1.9351100811124007, 3.094912510814063, 2.738799164533875]",2023-09-12 01:27:36,1.0,ADX_28_1D_STOCK_RESULTS,2023-08-30 21:30:00+00:00,18
