symbol,strategy_name,trades,profitable_trades,loss_trades,average_profit,average_trade_days,average_percent_profit,trades_buy_dates,trades_sell_dates,trades_days,trades_profit,trades_percent,last_update,percent_wins,table_name,last_sale_date,last_sell_date_diff
LIXTW,ALGO_ADX_28,15,13,2,0.0101,11.2667,16.3413,"[2022-08-22T21:30:00+00:00, 2022-08-26T21:30:00+00:00, 2022-09-12T21:30:00+00:00, 2023-05-09T21:30:00+00:00, 2023-05-11T21:30:00+00:00, 2023-06-28T21:30:00+00:00, 2023-07-03T21:30:00+00:00, 2023-07-07T21:30:00+00:00, 2023-07-13T21:30:00+00:00, 2023-07-18T21:30:00+00:00, 2023-07-20T21:30:00+00:00, 2023-07-24T21:30:00+00:00, 2023-07-26T21:30:00+00:00, 2023-07-28T21:30:00+00:00, 2023-09-26T21:30:00+00:00, 2023-09-28T21:30:00+00:00]","[2022-08-25T21:30:00+00:00, 2022-09-09T21:30:00+00:00, 2022-12-21T21:30:00+00:00, 2023-05-10T21:30:00+00:00, 2023-06-27T21:30:00+00:00, 2023-06-30T21:30:00+00:00, 2023-07-06T21:30:00+00:00, 2023-07-12T21:30:00+00:00, 2023-07-17T21:30:00+00:00, 2023-07-19T21:30:00+00:00, 2023-07-21T21:30:00+00:00, 2023-07-25T21:30:00+00:00, 2023-07-27T21:30:00+00:00, 2023-09-25T21:30:00+00:00, 2023-09-27T21:30:00+00:00]","[3.0, 9.0, 71.0, 1.0, 31.0, 2.0, 2.0, 3.0, 2.0, 1.0, 1.0, 1.0, 1.0, 40.0, 1.0]","[0.07500000000000001, 0.0050000000000000044, -0.07200000000000001, 0.0278, 0.012999999999999998, 0.0059999999999999915, -0.027999999999999997, 0.015999999999999993, 0.03330000000000001, 0.009000000000000008, 0.020000000000000004, 0.005999999999999998, 0.027999999999999997, 0.009000000000000008, 0.00399999999999999]","[60.00000000000001, 4.0000000000000036, -55.38461538461539, 53.256704980842905, 16.249999999999996, 7.142857142857133, -31.46067415730337, 27.58620689655171, 45.000000000000014, 10.112359550561807, 33.33333333333334, 10.909090909090907, 45.90163934426229, 12.676056338028182, 5.797101449275347]",2023-10-03 20:04:26,0.8666666666666667,ADX_28_1D_STOCK_RESULTS,2023-09-27 21:30:00+00:00,7
TSLL,ALGO_ADX_28,13,13,0,0.9058,1.0769,6.5374,"[2023-05-26T21:30:00+00:00, 2023-05-31T21:30:00+00:00, 2023-06-02T21:30:00+00:00, 2023-06-06T21:30:00+00:00, 2023-06-08T21:30:00+00:00, 2023-06-12T21:30:00+00:00, 2023-08-25T21:30:00+00:00, 2023-08-29T21:30:00+00:00, 2023-08-31T21:30:00+00:00, 2023-09-05T21:30:00+00:00, 2023-09-07T21:30:00+00:00, 2023-09-11T21:30:00+00:00, 2023-09-13T21:30:00+00:00, 2023-09-15T21:30:00+00:00]","[2023-05-30T21:30:00+00:00, 2023-06-01T21:30:00+00:00, 2023-06-05T21:30:00+00:00, 2023-06-07T21:30:00+00:00, 2023-06-09T21:30:00+00:00, 2023-06-14T21:30:00+00:00, 2023-08-28T21:30:00+00:00, 2023-08-30T21:30:00+00:00, 2023-09-01T21:30:00+00:00, 2023-09-06T21:30:00+00:00, 2023-09-08T21:30:00+00:00, 2023-09-12T21:30:00+00:00, 2023-09-14T21:30:00+00:00]","[1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.3200000000000003, 0.2599999999999998, 0.6900000000000013, 1.1150000000000002, 2.370000000000001, 1.1800000000000033, 1.0299999999999994, 1.4499999999999993, 0.10000000000000142, 0.9699999999999989, 0.5899999999999999, 0.6099999999999994, 0.08999999999999986]","[12.571428571428575, 2.207130730050932, 5.433070866141742, 8.424631658481301, 16.952789699570822, 7.266009852216769, 7.320540156361047, 9.857239972807609, 0.6119951040391763, 6.369008535784627, 3.8739330269205507, 3.586125808348027, 0.5125284738040995]",2023-10-03 21:15:39,1.0,ADX_28_1D_STOCK_RESULTS,2023-09-14 21:30:00+00:00,20
TSL,ALGO_ADX_28,13,13,0,0.8862,1.1538,5.4218,"[2023-05-26T21:30:00+00:00, 2023-05-31T21:30:00+00:00, 2023-06-02T21:30:00+00:00, 2023-06-06T21:30:00+00:00, 2023-06-08T21:30:00+00:00, 2023-06-12T21:30:00+00:00, 2023-08-25T21:30:00+00:00, 2023-08-29T21:30:00+00:00, 2023-08-31T21:30:00+00:00, 2023-09-05T21:30:00+00:00, 2023-09-07T21:30:00+00:00, 2023-09-11T21:30:00+00:00, 2023-09-13T21:30:00+00:00, 2023-09-18T21:30:00+00:00]","[2023-05-30T21:30:00+00:00, 2023-06-01T21:30:00+00:00, 2023-06-05T21:30:00+00:00, 2023-06-07T21:30:00+00:00, 2023-06-09T21:30:00+00:00, 2023-06-14T21:30:00+00:00, 2023-08-28T21:30:00+00:00, 2023-08-30T21:30:00+00:00, 2023-09-01T21:30:00+00:00, 2023-09-06T21:30:00+00:00, 2023-09-08T21:30:00+00:00, 2023-09-12T21:30:00+00:00, 2023-09-15T21:30:00+00:00]","[1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0]","[1.3100000000000005, 0.2400000000000002, 0.629999999999999, 1.0600000000000005, 2.3100000000000023, 1.0100000000000016, 0.9299999999999997, 1.3900000000000006, 0.10999999999999943, 0.8709999999999987, 0.5599999999999987, 0.5399999999999991, 0.5600000000000023]","[10.20249221183801, 1.7021276595744694, 4.18326693227091, 6.81233933161954, 14.224137931034498, 5.435952637244357, 5.599036724864538, 8.076699593259736, 0.5876068376068345, 4.918125352907953, 3.1674208144796308, 2.7792074112197587, 2.794411177644722]",2023-10-03 21:15:37,1.0,ADX_28_1D_STOCK_RESULTS,2023-09-15 21:30:00+00:00,19
BLZE,ALGO_ADX_28,6,6,0,0.2850,33.8333,4.9461,"[2022-09-13T21:30:00+00:00, 2023-03-03T21:30:00+00:00, 2023-03-07T21:30:00+00:00, 2023-07-17T21:30:00+00:00, 2023-08-31T21:30:00+00:00, 2023-09-05T21:30:00+00:00]","[2023-01-05T21:30:00+00:00, 2023-03-06T21:30:00+00:00, 2023-07-14T21:30:00+00:00, 2023-08-30T21:30:00+00:00, 2023-09-01T21:30:00+00:00, 2023-09-06T21:30:00+00:00]","[79.0, 1.0, 89.0, 32.0, 1.0, 1.0]","[0.08000000000000007, 0.20999999999999996, 0.1200000000000001, 0.6299999999999999, 0.0699999999999994, 0.5999999999999996]","[1.2578616352201268, 3.75, 2.1660649819494604, 11.75373134328358, 1.1945392491467473, 9.554140127388528]",2023-10-03 17:32:20,1.0,ADX_28_1D_STOCK_RESULTS,2023-09-06 21:30:00+00:00,28
SOFI,ALGO_ADX_28,17,15,2,0.3368,10.7059,4.8510,"[2022-07-22T21:30:00+00:00, 2022-08-05T21:30:00+00:00, 2022-08-09T21:30:00+00:00, 2022-08-12T21:30:00+00:00, 2022-08-16T21:30:00+00:00, 2022-08-18T21:30:00+00:00, 2023-02-03T21:30:00+00:00, 2023-03-23T21:30:00+00:00, 2023-03-27T21:30:00+00:00, 2023-04-04T21:30:00+00:00, 2023-05-02T21:30:00+00:00, 2023-05-10T21:30:00+00:00, 2023-06-01T21:30:00+00:00, 2023-06-05T21:30:00+00:00, 2023-06-07T21:30:00+00:00, 2023-06-12T21:30:00+00:00, 2023-09-06T21:30:00+00:00, 2023-09-13T21:30:00+00:00]","[2022-08-04T21:30:00+00:00, 2022-08-08T21:30:00+00:00, 2022-08-11T21:30:00+00:00, 2022-08-15T21:30:00+00:00, 2022-08-17T21:30:00+00:00, 2023-02-02T21:30:00+00:00, 2023-02-06T21:30:00+00:00, 2023-03-24T21:30:00+00:00, 2023-04-03T21:30:00+00:00, 2023-05-01T21:30:00+00:00, 2023-05-09T21:30:00+00:00, 2023-05-31T21:30:00+00:00, 2023-06-02T21:30:00+00:00, 2023-06-06T21:30:00+00:00, 2023-06-09T21:30:00+00:00, 2023-06-13T21:30:00+00:00, 2023-09-12T21:30:00+00:00]","[9.0, 1.0, 2.0, 1.0, 1.0, 115.0, 1.0, 1.0, 5.0, 18.0, 5.0, 14.0, 1.0, 1.0, 2.0, 1.0, 4.0]","[1.12, 0.120000000000001, 0.3799999999999999, 0.040000000000000036, -0.07000000000000028, 0.7199999999999998, -0.05000000000000071, 0.024999999999999467, 0.3199999999999994, 0.41999999999999993, 0.08999999999999986, 0.6200000000000001, 0.40000000000000036, 0.05999999999999961, 0.3899999999999997, 1.0799999999999983, 0.05999999999999872]","[15.886524822695037, 1.4962593516209601, 4.935064935064934, 0.5312084993359899, -0.933333333333337, 10.359712230215823, -0.6756756756756852, 0.4424778761061852, 5.49828178694157, 6.885245901639343, 1.711026615969579, 11.111111111111112, 5.961251862891213, 0.8426966292134775, 4.961832061068698, 12.76595744680849, 0.6872852233676829]",2023-10-03 21:08:13,0.8823529411764706,ADX_28_1D_STOCK_RESULTS,2023-09-12 21:30:00+00:00,22
SGH,ALGO_ADX_28,13,12,1,0.6938,9.1538,3.7296,"[2022-11-30T21:30:00+00:00, 2022-12-02T21:30:00+00:00, 2022-12-06T21:30:00+00:00, 2022-12-14T21:30:00+00:00, 2023-01-30T21:30:00+00:00, 2023-02-03T21:30:00+00:00, 2023-02-07T21:30:00+00:00, 2023-02-09T21:30:00+00:00, 2023-05-22T21:30:00+00:00, 2023-05-24T21:30:00+00:00, 2023-05-26T21:30:00+00:00, 2023-05-31T21:30:00+00:00, 2023-09-20T21:30:00+00:00, 2023-09-26T21:30:00+00:00]","[2022-12-01T21:30:00+00:00, 2022-12-05T21:30:00+00:00, 2022-12-13T21:30:00+00:00, 2023-01-27T21:30:00+00:00, 2023-02-02T21:30:00+00:00, 2023-02-06T21:30:00+00:00, 2023-02-08T21:30:00+00:00, 2023-05-19T21:30:00+00:00, 2023-05-23T21:30:00+00:00, 2023-05-25T21:30:00+00:00, 2023-05-30T21:30:00+00:00, 2023-06-05T21:30:00+00:00, 2023-09-25T21:30:00+00:00]","[1.0, 1.0, 5.0, 29.0, 3.0, 1.0, 1.0, 69.0, 1.0, 1.0, 1.0, 3.0, 3.0]","[0.9100000000000001, 0.08999999999999986, 0.9600000000000009, 0.25, 1.1799999999999997, -0.16000000000000014, 0.4400000000000013, 1.1900000000000013, 0.8800000000000026, 1.3900000000000006, 1.6300000000000026, 0.09999999999999787, 0.1599999999999966]","[5.6521739130434785, 0.5405405405405397, 5.804111245465544, 1.4671361502347418, 6.97399527186761, -0.873362445414848, 2.4732996065205244, 6.506287588846371, 4.462474645030439, 6.984924623115581, 7.365567103479452, 0.443852640923204, 0.6831767719897378]",2023-10-03 21:05:54,0.9230769230769231,ADX_28_1D_STOCK_RESULTS,2023-09-25 21:30:00+00:00,9
SPRX,ALGO_ADX_28,9,9,0,0.6161,24.4444,3.7139,"[2022-07-22T21:30:00+00:00, 2022-08-01T21:30:00+00:00, 2022-08-05T21:30:00+00:00, 2022-08-12T21:30:00+00:00, 2023-05-31T21:30:00+00:00, 2023-06-05T21:30:00+00:00, 2023-08-23T21:30:00+00:00, 2023-08-25T21:30:00+00:00, 2023-08-31T21:30:00+00:00, 2023-09-06T21:30:00+00:00]","[2022-07-29T21:30:00+00:00, 2022-08-04T21:30:00+00:00, 2022-08-11T21:30:00+00:00, 2023-05-30T21:30:00+00:00, 2023-06-02T21:30:00+00:00, 2023-06-06T21:30:00+00:00, 2023-08-24T21:30:00+00:00, 2023-08-30T21:30:00+00:00, 2023-09-05T21:30:00+00:00]","[5.0, 3.0, 4.0, 199.0, 2.0, 1.0, 1.0, 3.0, 2.0]","[0.6050000000000004, 0.46999999999999886, 1.1580000000000013, 1.0300000000000011, 0.28999999999999915, 0.41999999999999815, 0.8699999999999974, 0.5, 0.20199999999999818]","[4.131102765448961, 3.0698889614630884, 7.126153846153854, 6.109134045077112, 1.6486640136441113, 2.395892755276658, 4.9685893774985574, 2.875215641173088, 1.1003377274212778]",2023-10-03 21:09:04,1.0,ADX_28_1D_STOCK_RESULTS,2023-09-05 21:30:00+00:00,29
MANH,ALGO_ADX_28,10,9,1,4.2730,12.3000,3.1594,"[2022-07-22T21:30:00+00:00, 2022-07-29T21:30:00+00:00, 2022-08-05T21:30:00+00:00, 2022-08-09T21:30:00+00:00, 2022-09-06T21:30:00+00:00, 2022-09-09T21:30:00+00:00, 2022-09-13T21:30:00+00:00, 2023-02-07T21:30:00+00:00, 2023-02-13T21:30:00+00:00, 2023-09-26T21:30:00+00:00]","[2022-07-28T21:30:00+00:00, 2022-08-04T21:30:00+00:00, 2022-08-08T21:30:00+00:00, 2022-08-11T21:30:00+00:00, 2022-09-08T21:30:00+00:00, 2022-09-12T21:30:00+00:00, 2023-02-06T21:30:00+00:00, 2023-02-10T21:30:00+00:00, 2023-02-15T21:30:00+00:00, 2023-10-02T21:30:00+00:00]","[4.0, 4.0, 1.0, 2.0, 2.0, 1.0, 100.0, 3.0, 2.0, 4.0]","[14.900000000000006, 5.719999999999999, 4.180000000000007, 5.140000000000015, 1.420000000000016, 3.509999999999991, 6.219999999999999, -2.0, 1.2099999999999795, 2.4299999999999784]","[12.384672928268643, 4.10182861240588, 2.947605951625419, 3.54556115058289, 1.0392271662763584, 2.4638495016144817, 4.405723190253576, -1.3849456408835954, 0.8425597103265646, 1.248009860818642]",2023-10-03 20:08:48,0.9,ADX_28_1D_STOCK_RESULTS,2023-10-02 21:30:00+00:00,2
RSSS,ALGO_ADX_28,21,18,3,0.0638,9.9048,3.0530,"[2022-07-22T21:30:00+00:00, 2022-07-27T21:30:00+00:00, 2022-08-01T21:30:00+00:00, 2022-08-09T21:30:00+00:00, 2022-08-18T21:30:00+00:00, 2022-12-28T21:30:00+00:00, 2023-01-11T21:30:00+00:00, 2023-01-17T21:30:00+00:00, 2023-01-19T21:30:00+00:00, 2023-01-31T21:30:00+00:00, 2023-02-02T21:30:00+00:00, 2023-02-14T21:30:00+00:00, 2023-06-22T21:30:00+00:00, 2023-06-26T21:30:00+00:00, 2023-06-28T21:30:00+00:00, 2023-06-30T21:30:00+00:00, 2023-07-14T21:30:00+00:00, 2023-08-02T21:30:00+00:00, 2023-08-04T21:30:00+00:00, 2023-09-05T21:30:00+00:00, 2023-09-07T21:30:00+00:00]","[2022-07-26T21:30:00+00:00, 2022-07-29T21:30:00+00:00, 2022-08-08T21:30:00+00:00, 2022-08-17T21:30:00+00:00, 2022-09-29T21:30:00+00:00, 2023-01-10T21:30:00+00:00, 2023-01-13T21:30:00+00:00, 2023-01-18T21:30:00+00:00, 2023-01-30T21:30:00+00:00, 2023-02-01T21:30:00+00:00, 2023-02-13T21:30:00+00:00, 2023-06-21T21:30:00+00:00, 2023-06-23T21:30:00+00:00, 2023-06-27T21:30:00+00:00, 2023-06-29T21:30:00+00:00, 2023-07-13T21:30:00+00:00, 2023-08-01T21:30:00+00:00, 2023-08-03T21:30:00+00:00, 2023-09-01T21:30:00+00:00, 2023-09-06T21:30:00+00:00, 2023-09-15T21:30:00+00:00]","[2.0, 2.0, 5.0, 6.0, 29.0, 8.0, 2.0, 1.0, 7.0, 1.0, 7.0, 87.0, 1.0, 1.0, 1.0, 8.0, 12.0, 1.0, 20.0, 1.0, 6.0]","[0.07000000000000006, 0.040000000000000036, -0.010000000000000009, 0.08999999999999986, 0.0900000000000003, 0.020000000000000018, 0.010000000000000009, 0.030000000000000027, 0.10000000000000009, 0.2200000000000002, 0.07000000000000028, -0.05999999999999961, 0.04999999999999982, 0.04999999999999982, 0.010000000000000231, -0.03000000000000025, 0.08000000000000007, 0.18999999999999995, 0.010000000000000231, 0.029999999999999805, 0.2799999999999998]","[4.02298850574713, 2.2099447513812174, -0.5494505494505499, 4.812834224598923, 4.390243902439039, 1.010101010101011, 0.5025125628140708, 1.5075376884422125, 5.000000000000004, 10.4265402843602, 3.0973451327433756, -2.608695652173896, 2.3584905660377276, 2.427184466019409, 0.4975124378109568, -1.4423076923077043, 3.864734299516912, 9.00473933649289, 0.42735042735043727, 1.3392857142857053, 11.814345991561174]",2023-10-03 21:03:13,0.8571428571428571,ADX_28_1D_STOCK_RESULTS,2023-09-15 21:30:00+00:00,19
TIPT,ALGO_ADX_28,13,13,0,0.3138,12.3077,2.3735,"[2022-07-22T21:30:00+00:00, 2022-08-04T21:30:00+00:00, 2022-08-10T21:30:00+00:00, 2022-08-15T21:30:00+00:00, 2022-11-03T21:30:00+00:00, 2022-11-07T21:30:00+00:00, 2022-11-09T21:30:00+00:00, 2023-04-03T21:30:00+00:00, 2023-04-18T21:30:00+00:00, 2023-07-05T21:30:00+00:00, 2023-08-07T21:30:00+00:00, 2023-08-09T21:30:00+00:00, 2023-09-13T21:30:00+00:00, 2023-09-18T21:30:00+00:00]","[2022-08-03T21:30:00+00:00, 2022-08-09T21:30:00+00:00, 2022-08-12T21:30:00+00:00, 2022-11-02T21:30:00+00:00, 2022-11-04T21:30:00+00:00, 2022-11-08T21:30:00+00:00, 2022-11-11T21:30:00+00:00, 2023-04-17T21:30:00+00:00, 2023-07-03T21:30:00+00:00, 2023-08-04T21:30:00+00:00, 2023-08-08T21:30:00+00:00, 2023-08-10T21:30:00+00:00, 2023-09-15T21:30:00+00:00]","[8.0, 3.0, 2.0, 56.0, 1.0, 1.0, 2.0, 9.0, 52.0, 22.0, 1.0, 1.0, 2.0]","[0.08999999999999986, 0.375, 0.6300000000000008, 0.14000000000000057, 0.41999999999999993, 0.13000000000000078, 0.4599999999999991, 0.15000000000000036, 0.15000000000000036, 0.8499999999999996, 0.05000000000000071, 0.2550000000000008, 0.38000000000000256]","[0.7929515418502191, 3.3738191632928474, 5.307497893850049, 1.1391375101708754, 3.523489932885906, 1.0325655281969879, 3.733766233766226, 1.033769813921436, 1.010781671159032, 5.647840531561459, 0.3150598613736655, 1.6467549241201214, 2.2974607013301243]",2023-10-03 21:13:59,1.0,ADX_28_1D_STOCK_RESULTS,2023-09-15 21:30:00+00:00,19
