symbol,strategy_name,trades,profitable_trades,loss_trades,average_profit,average_trade_days,average_percent_profit,trades_buy_dates,trades_sell_dates,trades_days,trades_profit,trades_percent,last_update,percent_wins,table_name,last_sale_date,last_sell_date_diff,median_percent_profit,mode_percent_profit
GEHI,ALGO_ADX_28,7,6,1,2.3696,11.8571,297.6942,"[2022-09-20T21:30:00+00:00, 2022-09-22T21:30:00+00:00, 2022-09-26T21:30:00+00:00, 2022-10-05T21:30:00+00:00, 2022-10-07T21:30:00+00:00, 2023-06-08T21:30:00+00:00, 2023-06-23T21:30:00+00:00]","[2022-09-21T21:30:00+00:00, 2022-09-23T21:30:00+00:00, 2022-10-04T21:30:00+00:00, 2022-10-06T21:30:00+00:00, 2022-10-11T21:30:00+00:00, 2023-06-22T21:30:00+00:00, 2023-09-22T21:30:00+00:00]","[1.0, 1.0, 6.0, 1.0, 2.0, 9.0, 63.0]","[0.025000000000000022, 0.03400000000000003, -0.041999999999999926, 0.029999999999999916, 13.35, 0.870000000000001, 2.3200000000000003]","[4.237288135593224, 5.762711864406786, -7.094594594594581, 5.454545454545439, 2053.846153846154, 6.165839829907874, 15.487316421895864]",2023-10-05 05:24:55,0.8571428571428571,ADX_28_1D_STOCK_RESULTS,2023-09-22 21:30:00+00:00,16,5.762711864406786,4.237288135593224
FNGG,ALGO_ADX_28,8,7,1,4.1600,17.1250,65.5233,"[2022-08-01T21:30:00+00:00, 2022-08-03T21:30:00+00:00, 2022-08-05T21:30:00+00:00, 2022-08-09T21:30:00+00:00, 2022-08-12T21:30:00+00:00, 2022-08-16T21:30:00+00:00, 2023-08-31T21:30:00+00:00, 2023-09-08T21:30:00+00:00, 2023-09-13T21:30:00+00:00]","[2022-08-02T21:30:00+00:00, 2022-08-04T21:30:00+00:00, 2022-08-08T21:30:00+00:00, 2022-08-11T21:30:00+00:00, 2022-08-15T21:30:00+00:00, 2023-02-14T21:30:00+00:00, 2023-09-07T21:30:00+00:00, 2023-09-12T21:30:00+00:00]","[1.0, 1.0, 1.0, 2.0, 1.0, 125.0, 4.0, 2.0]","[0.009999999999999787, 0.25, 0.4300000000000006, 0.6099999999999994, 0.04999999999999982, 35.07, -4.739999999999995, 1.5999999999999943]","[0.17391304347825717, 4.071661237785016, 6.913183279742776, 9.531249999999991, 0.7363770250368162, 506.79190751445094, -6.102742371572028, 2.070929329536622]",2023-10-05 05:21:25,0.875,ADX_28_1D_STOCK_RESULTS,2023-09-12 21:30:00+00:00,26,3.0712952836608194,0.17391304347825717
ORC,ALGO_ADX_28,7,6,1,1.0557,25.7143,41.5650,"[2022-08-09T21:30:00+00:00, 2022-08-15T21:30:00+00:00, 2023-01-04T21:30:00+00:00, 2023-01-06T21:30:00+00:00, 2023-01-11T21:30:00+00:00, 2023-01-13T21:30:00+00:00, 2023-02-15T21:30:00+00:00]","[2022-08-12T21:30:00+00:00, 2022-09-01T21:30:00+00:00, 2023-01-05T21:30:00+00:00, 2023-01-10T21:30:00+00:00, 2023-01-12T21:30:00+00:00, 2023-01-18T21:30:00+00:00, 2023-10-03T21:30:00+00:00]","[3.0, 13.0, 1.0, 2.0, 1.0, 2.0, 158.0]","[0.07999999999999963, 10.129999999999999, 0.09999999999999964, 0.2699999999999996, 0.2400000000000002, 0.25, -3.6799999999999997]","[2.5157232704402395, 312.6543209876543, 0.9302325581395315, 2.4567788898999052, 2.0618556701030943, 2.1150592216582065, -31.77892918825561]",2023-10-09 02:11:15,0.8571428571428571,ADX_28_1D_STOCK_RESULTS,2023-10-03 21:30:00+00:00,5,2.1150592216582065,2.5157232704402395
FAMI,ALGO_ADX_28,13,12,1,0.1285,5.8462,32.6205,"[2022-11-14T21:30:00+00:00, 2022-11-16T21:30:00+00:00, 2023-01-19T21:30:00+00:00, 2023-01-24T21:30:00+00:00, 2023-01-26T21:30:00+00:00, 2023-01-30T21:30:00+00:00, 2023-02-01T21:30:00+00:00, 2023-04-14T21:30:00+00:00, 2023-04-18T21:30:00+00:00, 2023-05-03T21:30:00+00:00, 2023-05-05T21:30:00+00:00, 2023-05-10T21:30:00+00:00, 2023-09-06T21:30:00+00:00]","[2022-11-15T21:30:00+00:00, 2023-01-18T21:30:00+00:00, 2023-01-23T21:30:00+00:00, 2023-01-25T21:30:00+00:00, 2023-01-27T21:30:00+00:00, 2023-01-31T21:30:00+00:00, 2023-02-02T21:30:00+00:00, 2023-04-17T21:30:00+00:00, 2023-05-02T21:30:00+00:00, 2023-05-04T21:30:00+00:00, 2023-05-09T21:30:00+00:00, 2023-05-11T21:30:00+00:00, 2023-09-25T21:30:00+00:00]","[1.0, 41.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 10.0, 1.0, 2.0, 1.0, 13.0]","[0.010000000000000009, 0.020000000000000018, 0.040000000000000036, 0.030000000000000027, 0.040000000000000036, 0.030000000000000027, 0.08999999999999997, 0.0, 0.009999999999999953, 0.040000000000000036, 0.010000000000000009, 0.010000000000000009, 1.3399999999999999]","[1.8181818181818195, 3.3333333333333366, 6.666666666666673, 4.347826086956526, 5.263157894736847, 4.28571428571429, 11.538461538461533, 0.0, 2.1739130434782505, 8.333333333333341, 2.0000000000000018, 2.0833333333333353, 372.2222222222222]",2023-10-05 05:17:57,0.9230769230769231,ADX_28_1D_STOCK_RESULTS,2023-09-25 21:30:00+00:00,13,4.28571428571429,1.8181818181818195
DBRG,ALGO_ADX_28,17,15,2,1.0682,11.8824,16.3650,"[2022-07-29T21:30:00+00:00, 2022-08-16T21:30:00+00:00, 2022-08-25T21:30:00+00:00, 2022-10-24T21:30:00+00:00, 2022-10-27T21:30:00+00:00, 2022-11-14T21:30:00+00:00, 2022-11-17T21:30:00+00:00, 2022-11-22T21:30:00+00:00, 2022-11-28T21:30:00+00:00, 2023-02-06T21:30:00+00:00, 2023-08-24T21:30:00+00:00, 2023-08-28T21:30:00+00:00, 2023-08-30T21:30:00+00:00, 2023-09-08T21:30:00+00:00, 2023-09-25T21:30:00+00:00, 2023-09-27T21:30:00+00:00, 2023-09-29T21:30:00+00:00, 2023-10-03T21:30:00+00:00]","[2022-08-15T21:30:00+00:00, 2022-08-24T21:30:00+00:00, 2022-09-02T21:30:00+00:00, 2022-10-26T21:30:00+00:00, 2022-11-11T21:30:00+00:00, 2022-11-16T21:30:00+00:00, 2022-11-21T21:30:00+00:00, 2022-11-25T21:30:00+00:00, 2023-02-03T21:30:00+00:00, 2023-07-10T21:30:00+00:00, 2023-08-25T21:30:00+00:00, 2023-08-29T21:30:00+00:00, 2023-09-01T21:30:00+00:00, 2023-09-12T21:30:00+00:00, 2023-09-26T21:30:00+00:00, 2023-09-28T21:30:00+00:00, 2023-10-02T21:30:00+00:00]","[11.0, 6.0, 6.0, 2.0, 11.0, 2.0, 2.0, 2.0, 46.0, 105.0, 1.0, 1.0, 2.0, 2.0, 1.0, 1.0, 1.0]","[0.08000000000000007, 14.46, -1.3099999999999987, 0.40000000000000036, 0.8600000000000012, 0.7399999999999984, 0.08999999999999986, 0.3100000000000005, -0.16000000000000014, 0.1899999999999995, 0.23000000000000043, 0.4800000000000004, 0.16000000000000014, 0.4299999999999997, 0.6499999999999986, 0.5400000000000027, 0.00999999999999801]","[1.4311270125223625, 250.60658578856155, -6.619504800404238, 3.1274433150899172, 6.3940520446096745, 5.1748251748251635, 0.6097560975609747, 2.145328719723187, -1.0596026490066235, 1.2658227848101233, 1.4312383322962066, 2.9304029304029333, 0.9248554913294805, 2.524955960070462, 4.017305315203947, 3.24324324324326, 0.0576368876080577]",2023-10-09 01:18:33,0.8823529411764706,ADX_28_1D_STOCK_RESULTS,2023-10-02 21:30:00+00:00,6,2.145328719723187,1.4311270125223625
LIXTW,ALGO_ADX_28,15,13,2,0.0101,11.2667,16.3413,"[2022-08-22T21:30:00+00:00, 2022-08-26T21:30:00+00:00, 2022-09-12T21:30:00+00:00, 2023-05-09T21:30:00+00:00, 2023-05-11T21:30:00+00:00, 2023-06-28T21:30:00+00:00, 2023-07-03T21:30:00+00:00, 2023-07-07T21:30:00+00:00, 2023-07-13T21:30:00+00:00, 2023-07-18T21:30:00+00:00, 2023-07-20T21:30:00+00:00, 2023-07-24T21:30:00+00:00, 2023-07-26T21:30:00+00:00, 2023-07-28T21:30:00+00:00, 2023-09-26T21:30:00+00:00, 2023-09-28T21:30:00+00:00]","[2022-08-25T21:30:00+00:00, 2022-09-09T21:30:00+00:00, 2022-12-21T21:30:00+00:00, 2023-05-10T21:30:00+00:00, 2023-06-27T21:30:00+00:00, 2023-06-30T21:30:00+00:00, 2023-07-06T21:30:00+00:00, 2023-07-12T21:30:00+00:00, 2023-07-17T21:30:00+00:00, 2023-07-19T21:30:00+00:00, 2023-07-21T21:30:00+00:00, 2023-07-25T21:30:00+00:00, 2023-07-27T21:30:00+00:00, 2023-09-25T21:30:00+00:00, 2023-09-27T21:30:00+00:00]","[3.0, 9.0, 71.0, 1.0, 31.0, 2.0, 2.0, 3.0, 2.0, 1.0, 1.0, 1.0, 1.0, 40.0, 1.0]","[0.07500000000000001, 0.0050000000000000044, -0.07200000000000001, 0.0278, 0.012999999999999998, 0.0059999999999999915, -0.027999999999999997, 0.015999999999999993, 0.03330000000000001, 0.009000000000000008, 0.020000000000000004, 0.005999999999999998, 0.027999999999999997, 0.009000000000000008, 0.00399999999999999]","[60.00000000000001, 4.0000000000000036, -55.38461538461539, 53.256704980842905, 16.249999999999996, 7.142857142857133, -31.46067415730337, 27.58620689655171, 45.000000000000014, 10.112359550561807, 33.33333333333334, 10.909090909090907, 45.90163934426229, 12.676056338028182, 5.797101449275347]",2023-10-05 05:43:55,0.8666666666666667,ADX_28_1D_STOCK_RESULTS,2023-09-27 21:30:00+00:00,11,12.676056338028182,60.00000000000001
IMGN,ALGO_ADX_28,13,13,0,0.7692,13.8462,11.8353,"[2022-07-29T21:30:00+00:00, 2022-08-08T21:30:00+00:00, 2022-08-17T21:30:00+00:00, 2022-09-08T21:30:00+00:00, 2022-09-12T21:30:00+00:00, 2022-10-07T21:30:00+00:00, 2022-10-11T21:30:00+00:00, 2022-10-13T21:30:00+00:00, 2022-10-17T21:30:00+00:00, 2022-10-19T21:30:00+00:00, 2023-09-18T21:30:00+00:00, 2023-09-21T21:30:00+00:00, 2023-09-25T21:30:00+00:00, 2023-09-29T21:30:00+00:00]","[2022-08-05T21:30:00+00:00, 2022-08-16T21:30:00+00:00, 2022-08-24T21:30:00+00:00, 2022-09-09T21:30:00+00:00, 2022-10-06T21:30:00+00:00, 2022-10-10T21:30:00+00:00, 2022-10-12T21:30:00+00:00, 2022-10-14T21:30:00+00:00, 2022-10-18T21:30:00+00:00, 2023-05-04T21:30:00+00:00, 2023-09-20T21:30:00+00:00, 2023-09-22T21:30:00+00:00, 2023-09-28T21:30:00+00:00]","[5.0, 6.0, 5.0, 1.0, 18.0, 1.0, 1.0, 1.0, 1.0, 135.0, 2.0, 1.0, 3.0]","[0.14999999999999947, 0.29000000000000004, 0.25, 0.22999999999999954, 0.20000000000000018, 0.0699999999999994, 0.28999999999999915, 0.7400000000000002, 0.39000000000000057, 6.220000000000001, 0.17999999999999972, 0.47000000000000064, 0.5200000000000014]","[2.9126213592232904, 5.263157894736843, 4.266211604095563, 4.323308270676683, 3.6563071297989067, 1.2773722627737116, 5.291970802919692, 13.357400722021664, 6.393442622950829, 99.2025518341308, 1.1575562700964612, 3.2413793103448323, 3.5158891142664057]",2023-10-09 01:46:30,1.0,ADX_28_1D_STOCK_RESULTS,2023-09-28 21:30:00+00:00,10,4.266211604095563,2.9126213592232904
ICPT,ALGO_ADX_28,14,14,0,0.9593,9.8571,7.1967,"[2022-07-29T21:30:00+00:00, 2022-08-05T21:30:00+00:00, 2022-08-09T21:30:00+00:00, 2022-08-12T21:30:00+00:00, 2022-08-16T21:30:00+00:00, 2022-08-18T21:30:00+00:00, 2022-08-22T21:30:00+00:00, 2022-08-24T21:30:00+00:00, 2022-08-26T21:30:00+00:00, 2023-08-31T21:30:00+00:00, 2023-09-06T21:30:00+00:00, 2023-09-08T21:30:00+00:00, 2023-09-12T21:30:00+00:00, 2023-09-14T21:30:00+00:00, 2023-09-28T21:30:00+00:00]","[2022-08-04T21:30:00+00:00, 2022-08-08T21:30:00+00:00, 2022-08-11T21:30:00+00:00, 2022-08-15T21:30:00+00:00, 2022-08-17T21:30:00+00:00, 2022-08-19T21:30:00+00:00, 2022-08-23T21:30:00+00:00, 2022-08-25T21:30:00+00:00, 2023-02-07T21:30:00+00:00, 2023-09-05T21:30:00+00:00, 2023-09-07T21:30:00+00:00, 2023-09-11T21:30:00+00:00, 2023-09-13T21:30:00+00:00, 2023-09-27T21:30:00+00:00]","[4.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 112.0, 2.0, 1.0, 1.0, 1.0, 9.0]","[0.02000000000000135, 0.6900000000000013, 0.0799999999999983, 1.1099999999999994, 0.0799999999999983, 0.370000000000001, 0.259999999999998, 0.9499999999999993, 1.5299999999999976, 0.23000000000000043, 0.14000000000000057, 0.4900000000000002, 0.5899999999999999, 6.890000000000002]","[0.14609203798393974, 4.425914047466333, 0.4799040191961505, 6.793145654834758, 0.44642857142856185, 1.9828510182207986, 1.4772727272727157, 5.202628696604596, 8.069620253164544, 2.1062271062271103, 1.3245033112582836, 4.570895522388061, 5.239786856127885, 58.48896434634977]",2023-10-09 01:44:49,1.0,ADX_28_1D_STOCK_RESULTS,2023-09-27 21:30:00+00:00,11,3.2660705768467215,0.14609203798393974
SOFI,ALGO_ADX_28,18,16,2,0.3092,9.7778,4.4401,"[2022-07-29T21:30:00+00:00, 2022-08-03T21:30:00+00:00, 2022-08-05T21:30:00+00:00, 2022-08-09T21:30:00+00:00, 2022-08-12T21:30:00+00:00, 2022-08-16T21:30:00+00:00, 2022-08-18T21:30:00+00:00, 2023-02-03T21:30:00+00:00, 2023-03-23T21:30:00+00:00, 2023-03-27T21:30:00+00:00, 2023-04-04T21:30:00+00:00, 2023-05-02T21:30:00+00:00, 2023-05-10T21:30:00+00:00, 2023-06-01T21:30:00+00:00, 2023-06-05T21:30:00+00:00, 2023-06-07T21:30:00+00:00, 2023-06-12T21:30:00+00:00, 2023-09-06T21:30:00+00:00, 2023-09-13T21:30:00+00:00]","[2022-08-02T21:30:00+00:00, 2022-08-04T21:30:00+00:00, 2022-08-08T21:30:00+00:00, 2022-08-11T21:30:00+00:00, 2022-08-15T21:30:00+00:00, 2022-08-17T21:30:00+00:00, 2023-02-02T21:30:00+00:00, 2023-02-06T21:30:00+00:00, 2023-03-24T21:30:00+00:00, 2023-04-03T21:30:00+00:00, 2023-05-01T21:30:00+00:00, 2023-05-09T21:30:00+00:00, 2023-05-31T21:30:00+00:00, 2023-06-02T21:30:00+00:00, 2023-06-06T21:30:00+00:00, 2023-06-09T21:30:00+00:00, 2023-06-13T21:30:00+00:00, 2023-09-12T21:30:00+00:00]","[2.0, 1.0, 1.0, 2.0, 1.0, 1.0, 115.0, 1.0, 1.0, 5.0, 18.0, 5.0, 14.0, 1.0, 1.0, 2.0, 1.0, 4.0]","[0.07000000000000028, 0.8899999999999997, 0.120000000000001, 0.3799999999999999, 0.040000000000000036, -0.07000000000000028, 0.7199999999999998, -0.05000000000000071, 0.024999999999999467, 0.3199999999999994, 0.41999999999999993, 0.08999999999999986, 0.6200000000000001, 0.40000000000000036, 0.05999999999999961, 0.3899999999999997, 1.0799999999999983, 0.05999999999999872]","[1.1164274322169105, 12.225274725274721, 1.4962593516209601, 4.935064935064934, 0.5312084993359899, -0.933333333333337, 10.359712230215823, -0.6756756756756852, 0.4424778761061852, 5.49828178694157, 6.885245901639343, 1.711026615969579, 11.111111111111112, 5.961251862891213, 0.8426966292134775, 4.961832061068698, 12.76595744680849, 0.6872852233676829]",2023-10-09 02:31:03,0.8888888888888888,ADX_28_1D_STOCK_RESULTS,2023-09-12 21:30:00+00:00,26,3.323045775517256,1.1164274322169105
KNSA,ALGO_ADX_28,23,20,3,0.5774,7.9565,4.1290,"[2022-07-29T21:30:00+00:00, 2022-08-05T21:30:00+00:00, 2022-08-09T21:30:00+00:00, 2022-08-24T21:30:00+00:00, 2022-08-26T21:30:00+00:00, 2022-10-04T21:30:00+00:00, 2022-10-06T21:30:00+00:00, 2022-10-10T21:30:00+00:00, 2022-10-12T21:30:00+00:00, 2022-10-17T21:30:00+00:00, 2022-11-08T21:30:00+00:00, 2022-11-11T21:30:00+00:00, 2022-11-15T21:30:00+00:00, 2023-01-05T21:30:00+00:00, 2023-01-09T21:30:00+00:00, 2023-07-17T21:30:00+00:00, 2023-07-19T21:30:00+00:00, 2023-09-06T21:30:00+00:00, 2023-09-08T21:30:00+00:00, 2023-09-12T21:30:00+00:00, 2023-09-21T21:30:00+00:00, 2023-09-25T21:30:00+00:00, 2023-09-27T21:30:00+00:00, 2023-09-29T21:30:00+00:00]","[2022-08-04T21:30:00+00:00, 2022-08-08T21:30:00+00:00, 2022-08-10T21:30:00+00:00, 2022-08-25T21:30:00+00:00, 2022-10-03T21:30:00+00:00, 2022-10-05T21:30:00+00:00, 2022-10-07T21:30:00+00:00, 2022-10-11T21:30:00+00:00, 2022-10-14T21:30:00+00:00, 2022-11-07T21:30:00+00:00, 2022-11-10T21:30:00+00:00, 2022-11-14T21:30:00+00:00, 2022-11-16T21:30:00+00:00, 2023-01-06T21:30:00+00:00, 2023-06-15T21:30:00+00:00, 2023-07-18T21:30:00+00:00, 2023-07-26T21:30:00+00:00, 2023-09-07T21:30:00+00:00, 2023-09-11T21:30:00+00:00, 2023-09-20T21:30:00+00:00, 2023-09-22T21:30:00+00:00, 2023-09-26T21:30:00+00:00, 2023-09-28T21:30:00+00:00]","[4.0, 1.0, 1.0, 1.0, 25.0, 1.0, 1.0, 1.0, 2.0, 15.0, 2.0, 1.0, 1.0, 1.0, 109.0, 1.0, 5.0, 1.0, 1.0, 6.0, 1.0, 1.0, 1.0]","[0.6099999999999994, 1.7599999999999998, 0.4800000000000004, 1.0099999999999998, 0.15000000000000036, 0.5, 0.19000000000000128, 0.13000000000000078, 0.4800000000000004, 0.1899999999999995, -0.11000000000000121, 0.7400000000000002, -0.120000000000001, 0.7799999999999994, 0.6199999999999992, 0.7100000000000009, 3.5600000000000005, 0.1999999999999993, 0.3200000000000003, 0.05999999999999872, 0.34999999999999787, -0.240000000000002, 0.9100000000000001]","[5.9745347698334905, 15.120274914089343, 3.827751196172252, 8.610400682011933, 1.1746280344557585, 3.6764705882352944, 1.3868613138686225, 0.9379509379509435, 3.5714285714285747, 1.3858497447118856, -0.7227332457293114, 4.949832775919734, -0.7556675062972354, 5.2313883299798745, 3.9042821158690124, 4.859685147159485, 22.36180904522613, 1.177856301531209, 1.8757327080890993, 0.3440366972476991, 2.0833333333333206, -1.448400724200374, 5.439330543933055]",2023-10-05 05:41:04,0.8695652173913043,ADX_28_1D_STOCK_RESULTS,2023-09-28 21:30:00+00:00,10,3.5714285714285747,5.9745347698334905
