symbol,strategy_name,trades,profitable_trades,loss_trades,average_profit,average_trade_days,average_percent_profit,median_percent_profit,percent_wins,last_sale_date,last_sell_date_diff,table_name,trades_buy_dates,trades_sell_dates,trades_days,trades_profit,trades_percent,last_update,sharpe_ratio
BVH,ALGO_ADX_28,11,10,1,3.4755,8.7273,8.8343,2.3410404624277317,0.9090909090909091,2023-11-07 21:30:00+00:00,5,ADX_28_1D_STOCK_RESULTS,"[2022-08-30T21:30:00+00:00, 2023-05-17T21:30:00+00:00, 2023-05-19T21:30:00+00:00, 2023-05-24T21:30:00+00:00, 2023-05-31T21:30:00+00:00, 2023-06-05T21:30:00+00:00, 2023-06-08T21:30:00+00:00, 2023-08-24T21:30:00+00:00, 2023-08-28T21:30:00+00:00, 2023-08-30T21:30:00+00:00, 2023-10-03T21:30:00+00:00, 2023-11-08T21:30:00+00:00]","[2022-09-29T21:30:00+00:00, 2023-05-18T21:30:00+00:00, 2023-05-23T21:30:00+00:00, 2023-05-30T21:30:00+00:00, 2023-06-02T21:30:00+00:00, 2023-06-07T21:30:00+00:00, 2023-07-03T21:30:00+00:00, 2023-08-25T21:30:00+00:00, 2023-08-29T21:30:00+00:00, 2023-10-02T21:30:00+00:00, 2023-11-07T21:30:00+00:00]","[21.0, 1.0, 2.0, 3.0, 2.0, 2.0, 16.0, 1.0, 1.0, 22.0, 25.0]","[-5.120000000000001, 0.5899999999999999, 0.8999999999999986, 0.629999999999999, 1.1600000000000001, 1.75, 1.1799999999999997, 0.11000000000000654, 0.8099999999999952, 0.21000000000000085, 36.010000000000005]","[-23.146473779385175, 2.1139376567538513, 3.049813622500842, 2.1255060728744906, 3.975325565455792, 5.453412277968214, 3.414351851851851, 0.3167290526922158, 2.3410404624277317, 0.5762897914379826, 96.95745826602048]",2023-11-11 07:10:22,0.3042098803912911665722992151
XBTF,ALGO_ADX_28,16,15,1,1.4774,16.4375,6.0200,4.4129576466712335,0.9375,2023-11-08 21:30:00+00:00,4,ADX_28_1D_STOCK_RESULTS,"[2022-09-06T21:30:00+00:00, 2022-09-13T21:30:00+00:00, 2023-01-19T21:30:00+00:00, 2023-01-24T21:30:00+00:00, 2023-02-03T21:30:00+00:00, 2023-03-06T21:30:00+00:00, 2023-03-15T21:30:00+00:00, 2023-03-21T21:30:00+00:00, 2023-03-24T21:30:00+00:00, 2023-04-03T21:30:00+00:00, 2023-04-24T21:30:00+00:00, 2023-04-28T21:30:00+00:00, 2023-06-23T21:30:00+00:00, 2023-06-27T21:30:00+00:00, 2023-07-17T21:30:00+00:00, 2023-10-25T21:30:00+00:00]","[2022-09-12T21:30:00+00:00, 2023-01-18T21:30:00+00:00, 2023-01-23T21:30:00+00:00, 2023-02-02T21:30:00+00:00, 2023-02-16T21:30:00+00:00, 2023-03-14T21:30:00+00:00, 2023-03-20T21:30:00+00:00, 2023-03-23T21:30:00+00:00, 2023-03-31T21:30:00+00:00, 2023-04-11T21:30:00+00:00, 2023-04-27T21:30:00+00:00, 2023-06-22T21:30:00+00:00, 2023-06-26T21:30:00+00:00, 2023-07-14T21:30:00+00:00, 2023-10-24T21:30:00+00:00, 2023-11-08T21:30:00+00:00]","[4.0, 87.0, 2.0, 7.0, 9.0, 6.0, 3.0, 2.0, 5.0, 5.0, 3.0, 37.0, 1.0, 12.0, 70.0, 10.0]","[2.5799999999999983, 1.0800000000000018, 2.1400000000000006, 0.8900000000000006, 1.0399999999999991, 3.419999999999998, 3.1700000000000017, -0.8099999999999987, 0.5899999999999999, 1.9899999999999984, 1.2218000000000018, 1.1509999999999998, 0.41000000000000014, 0.33999999999999986, 3.740000000000002, 0.6850000000000023]","[13.395638629283479, 5.189812590100922, 10.070588235294121, 3.806672369546624, 4.3956043956043915, 15.1060070671378, 12.569389373513093, -2.8591599011648388, 2.098150782361308, 7.026836158192085, 4.430310897738075, 3.937869923705908, 1.372155287817939, 1.1180532719500158, 12.613827993254645, 2.0475265281721784]",2023-11-11 08:09:44,1.176046963455391602924645084
AMSC,ALGO_ADX_28,17,17,0,0.3053,12.1176,4.9931,4.182509505703434,1.0,2023-11-08 21:30:00+00:00,4,ADX_28_1D_STOCK_RESULTS,"[2022-08-30T21:30:00+00:00, 2022-09-21T21:30:00+00:00, 2023-01-19T21:30:00+00:00, 2023-01-23T21:30:00+00:00, 2023-01-25T21:30:00+00:00, 2023-01-30T21:30:00+00:00, 2023-03-13T21:30:00+00:00, 2023-03-15T21:30:00+00:00, 2023-04-03T21:30:00+00:00, 2023-06-05T21:30:00+00:00, 2023-06-07T21:30:00+00:00, 2023-06-15T21:30:00+00:00, 2023-06-20T21:30:00+00:00, 2023-07-12T21:30:00+00:00, 2023-07-20T21:30:00+00:00, 2023-10-11T21:30:00+00:00, 2023-11-06T21:30:00+00:00, 2023-11-09T21:30:00+00:00]","[2022-09-20T21:30:00+00:00, 2023-01-18T21:30:00+00:00, 2023-01-20T21:30:00+00:00, 2023-01-24T21:30:00+00:00, 2023-01-27T21:30:00+00:00, 2023-02-01T21:30:00+00:00, 2023-03-14T21:30:00+00:00, 2023-03-31T21:30:00+00:00, 2023-06-02T21:30:00+00:00, 2023-06-06T21:30:00+00:00, 2023-06-14T21:30:00+00:00, 2023-06-16T21:30:00+00:00, 2023-07-11T21:30:00+00:00, 2023-07-19T21:30:00+00:00, 2023-07-27T21:30:00+00:00, 2023-11-03T21:30:00+00:00, 2023-11-08T21:30:00+00:00]","[14.0, 81.0, 1.0, 1.0, 2.0, 2.0, 1.0, 12.0, 42.0, 1.0, 5.0, 1.0, 14.0, 5.0, 5.0, 17.0, 2.0]","[0.07000000000000028, 0.03000000000000025, 0.2599999999999998, 0.22000000000000064, 0.08999999999999986, 0.22000000000000064, 0.27000000000000046, 0.09999999999999964, 0.6600000000000001, 0.04999999999999982, 0.4399999999999995, 0.20999999999999996, 0.1900000000000004, 0.96, 0.4299999999999997, 0.6100000000000003, 0.3800000000000008]","[1.3084112149532765, 0.5952380952381001, 4.905660377358487, 4.143126177024494, 1.7175572519083944, 4.182509505703434, 5.660377358490576, 2.1141649048625717, 13.496932515337425, 0.7911392405063262, 6.413994169096203, 3.1390134529147975, 2.89634146341464, 13.953488372093023, 5.7104913678618825, 8.957415565345087, 4.8969072164948555]",2023-11-11 07:04:31,1.287128122854048107463984061
JHX,ALGO_ADX_28,7,7,0,1.2114,30.5714,4.8294,4.246935201401046,1.0,2023-11-09 21:30:00+00:00,3,ADX_28_1D_STOCK_RESULTS,"[2022-08-30T21:30:00+00:00, 2022-09-13T21:30:00+00:00, 2023-02-03T21:30:00+00:00, 2023-05-18T21:30:00+00:00, 2023-05-31T21:30:00+00:00, 2023-06-05T21:30:00+00:00, 2023-10-12T21:30:00+00:00, 2023-11-10T21:30:00+00:00]","[2022-09-12T21:30:00+00:00, 2023-02-02T21:30:00+00:00, 2023-05-17T21:30:00+00:00, 2023-05-30T21:30:00+00:00, 2023-06-02T21:30:00+00:00, 2023-06-15T21:30:00+00:00, 2023-11-09T21:30:00+00:00]","[8.0, 98.0, 71.0, 7.0, 2.0, 8.0, 20.0]","[0.9699999999999989, 1.3200000000000003, 0.9000000000000021, 0.25, 0.8199999999999967, 1.3000000000000007, 2.9200000000000017]","[4.246935201401046, 5.662805662805664, 3.754693366708395, 1.011326860841424, 3.3238751520064724, 5.02318392581144, 10.782865583456433]",2023-11-11 07:35:51,1.710486609388902848168945463
AVAV,ALGO_ADX_28,8,7,1,4.5563,33.5000,4.6365,2.4750676862812897,0.875,2023-10-17 21:30:00+00:00,26,ADX_28_1D_STOCK_RESULTS,"[2022-08-30T21:30:00+00:00, 2022-09-12T21:30:00+00:00, 2023-04-06T21:30:00+00:00, 2023-04-11T21:30:00+00:00, 2023-06-06T21:30:00+00:00, 2023-06-08T21:30:00+00:00, 2023-07-03T21:30:00+00:00, 2023-09-08T21:30:00+00:00]","[2022-09-09T21:30:00+00:00, 2023-04-05T21:30:00+00:00, 2023-04-10T21:30:00+00:00, 2023-05-22T21:30:00+00:00, 2023-06-07T21:30:00+00:00, 2023-06-30T21:30:00+00:00, 2023-09-07T21:30:00+00:00, 2023-10-17T21:30:00+00:00]","[7.0, 142.0, 1.0, 29.0, 1.0, 15.0, 46.0, 27.0]","[11.049999999999997, 1.5600000000000023, 1.8800000000000097, -0.980000000000004, 3.3400000000000034, 2.930000000000007, 14.450000000000003, 2.219999999999999]","[12.00043440486533, 1.5609365619371647, 1.8438603373872202, -0.9090065856599611, 3.4860661726333406, 2.9959100204499047, 14.159725624693781, 1.9542253521126751]",2023-11-11 07:06:22,0.9067678156548472021959903702
FINW,ALGO_ADX_28,7,7,0,0.4090,25.2857,4.4299,2.691065662002153,1.0,2023-11-07 21:30:00+00:00,5,ADX_28_1D_STOCK_RESULTS,"[2022-12-20T21:30:00+00:00, 2022-12-22T21:30:00+00:00, 2023-08-02T21:30:00+00:00, 2023-09-28T21:30:00+00:00, 2023-10-03T21:30:00+00:00, 2023-10-10T21:30:00+00:00, 2023-10-12T21:30:00+00:00]","[2022-12-21T21:30:00+00:00, 2023-08-01T21:30:00+00:00, 2023-08-03T21:30:00+00:00, 2023-10-02T21:30:00+00:00, 2023-10-09T21:30:00+00:00, 2023-10-11T21:30:00+00:00, 2023-11-07T21:30:00+00:00]","[1.0, 150.0, 1.0, 2.0, 4.0, 1.0, 18.0]","[0.04499999999999993, 0.4350000000000005, 0.6150000000000002, 0.16799999999999926, 0.0600000000000005, 0.25, 1.290000000000001]","[0.47644256220222264, 4.5265348595213375, 6.227848101265825, 1.93771626297577, 0.704225352112682, 2.691065662002153, 14.445688689809641]",2023-11-11 07:23:58,0.9700944342123607259357060005
UBS,ALGO_ADX_28,9,9,0,0.8367,18.5556,4.1503,3.680981595092013,1.0,2023-11-06 21:30:00+00:00,6,ADX_28_1D_STOCK_RESULTS,"[2022-08-30T21:30:00+00:00, 2022-09-13T21:30:00+00:00, 2022-11-14T21:30:00+00:00, 2023-04-11T21:30:00+00:00, 2023-04-17T21:30:00+00:00, 2023-07-20T21:30:00+00:00, 2023-07-28T21:30:00+00:00, 2023-08-15T21:30:00+00:00, 2023-10-20T21:30:00+00:00, 2023-11-07T21:30:00+00:00]","[2022-09-12T21:30:00+00:00, 2022-11-11T21:30:00+00:00, 2022-12-06T21:30:00+00:00, 2023-04-14T21:30:00+00:00, 2023-07-19T21:30:00+00:00, 2023-07-27T21:30:00+00:00, 2023-08-14T21:30:00+00:00, 2023-08-24T21:30:00+00:00, 2023-11-06T21:30:00+00:00]","[8.0, 43.0, 15.0, 3.0, 64.0, 5.0, 11.0, 7.0, 11.0]","[0.7399999999999984, 1.4199999999999982, 0.16999999999999815, 0.7799999999999976, 0.620000000000001, 0.7199999999999989, 1.1400000000000006, 1.3399999999999999, 0.5999999999999979]","[4.590570719602968, 8.427299703264083, 0.9254218835057058, 3.680981595092013, 2.9807692307692353, 3.3707865168539275, 5.156037991858891, 5.706984667802384, 2.513615416841214]",2023-11-11 08:04:13,2.013966679942106849918255883
RAMP,ALGO_ADX_28,15,15,0,1.1293,9.4000,4.1140,2.334943639291473,1.0,2023-11-10 21:30:00+00:00,2,ADX_28_1D_STOCK_RESULTS,"[2023-02-17T21:30:00+00:00, 2023-05-22T21:30:00+00:00, 2023-05-24T21:30:00+00:00, 2023-05-26T21:30:00+00:00, 2023-05-31T21:30:00+00:00, 2023-06-05T21:30:00+00:00, 2023-06-07T21:30:00+00:00, 2023-06-15T21:30:00+00:00, 2023-06-21T21:30:00+00:00, 2023-06-23T21:30:00+00:00, 2023-06-28T21:30:00+00:00, 2023-06-30T21:30:00+00:00, 2023-07-17T21:30:00+00:00, 2023-09-25T21:30:00+00:00, 2023-10-12T21:30:00+00:00]","[2023-05-19T21:30:00+00:00, 2023-05-23T21:30:00+00:00, 2023-05-25T21:30:00+00:00, 2023-05-30T21:30:00+00:00, 2023-06-02T21:30:00+00:00, 2023-06-06T21:30:00+00:00, 2023-06-14T21:30:00+00:00, 2023-06-20T21:30:00+00:00, 2023-06-22T21:30:00+00:00, 2023-06-27T21:30:00+00:00, 2023-06-29T21:30:00+00:00, 2023-07-14T21:30:00+00:00, 2023-08-11T21:30:00+00:00, 2023-10-11T21:30:00+00:00, 2023-11-10T21:30:00+00:00]","[63.0, 1.0, 1.0, 1.0, 2.0, 1.0, 5.0, 2.0, 1.0, 2.0, 1.0, 9.0, 19.0, 12.0, 21.0]","[0.8999999999999986, 0.3500000000000014, 1.1499999999999986, 1.5800000000000018, 0.6700000000000017, 0.5800000000000018, 0.35999999999999943, 0.35999999999999943, 0.41000000000000014, 0.9800000000000004, 0.4800000000000004, 0.3500000000000014, 2.9899999999999984, 0.5300000000000011, 5.2499999999999964]","[3.506038176860142, 1.317771084337355, 4.379284082254373, 6.692079627276586, 2.753801890669962, 2.334943639291473, 1.4274385408406005, 1.4145383104125715, 1.518518518518519, 3.6635514018691606, 1.7015242821694447, 1.2216404886562005, 10.421749738584866, 1.803948264125259, 17.552657973921754]",2023-11-11 07:52:58,0.9371103016114325093370776824
VRA,ALGO_ADX_28,18,17,1,0.1967,6.7222,3.7807,3.1727477665525585,0.9444444444444444,2023-11-07 21:30:00+00:00,5,ADX_28_1D_STOCK_RESULTS,"[2022-11-11T21:30:00+00:00, 2022-11-15T21:30:00+00:00, 2022-11-17T21:30:00+00:00, 2022-11-21T21:30:00+00:00, 2022-11-25T21:30:00+00:00, 2022-12-06T21:30:00+00:00, 2023-05-18T21:30:00+00:00, 2023-06-09T21:30:00+00:00, 2023-06-22T21:30:00+00:00, 2023-07-06T21:30:00+00:00, 2023-07-13T21:30:00+00:00, 2023-07-20T21:30:00+00:00, 2023-08-02T21:30:00+00:00, 2023-08-10T21:30:00+00:00, 2023-08-14T21:30:00+00:00, 2023-09-01T21:30:00+00:00, 2023-09-06T21:30:00+00:00, 2023-11-01T21:30:00+00:00, 2023-11-08T21:30:00+00:00]","[2022-11-14T21:30:00+00:00, 2022-11-16T21:30:00+00:00, 2022-11-18T21:30:00+00:00, 2022-11-23T21:30:00+00:00, 2022-12-05T21:30:00+00:00, 2022-12-08T21:30:00+00:00, 2023-06-08T21:30:00+00:00, 2023-06-21T21:30:00+00:00, 2023-07-05T21:30:00+00:00, 2023-07-12T21:30:00+00:00, 2023-07-19T21:30:00+00:00, 2023-08-01T21:30:00+00:00, 2023-08-09T21:30:00+00:00, 2023-08-11T21:30:00+00:00, 2023-08-31T21:30:00+00:00, 2023-09-05T21:30:00+00:00, 2023-10-31T21:30:00+00:00, 2023-11-07T21:30:00+00:00]","[1.0, 1.0, 1.0, 2.0, 6.0, 2.0, 14.0, 7.0, 8.0, 4.0, 4.0, 8.0, 5.0, 1.0, 13.0, 1.0, 39.0, 4.0]","[0.17999999999999972, -0.07000000000000028, 0.16999999999999993, 0.1200000000000001, 0.16000000000000014, 0.6200000000000001, 0.41000000000000014, 0.17999999999999972, 0.03000000000000025, 0.2400000000000002, 0.08999999999999986, 0.2999999999999998, 0.16999999999999993, 0.1299999999999999, 0.4299999999999997, 0.08000000000000007, 0.13999999999999968, 0.16000000000000014]","[5.1575931232091605, -1.9125683060109366, 4.913294797687859, 3.3898305084745792, 4.199475065616801, 15.422885572139307, 7.67790262172285, 2.9556650246305374, 0.46511627906977127, 3.833865814696489, 1.4106583072100292, 4.67289719626168, 2.4817518248175174, 1.9287833827893157, 6.222865412445726, 1.1142061281337057, 1.936376210235127, 2.1828103683492515]",2023-11-11 08:07:22,1.044538959809274448070851585
UVE,ALGO_ADX_28,14,12,2,0.5079,14.7143,3.6773,2.381139489194501,0.8571428571428571,2023-11-08 21:30:00+00:00,4,ADX_28_1D_STOCK_RESULTS,"[2022-08-30T21:30:00+00:00, 2023-02-02T21:30:00+00:00, 2023-02-09T21:30:00+00:00, 2023-02-22T21:30:00+00:00, 2023-02-24T21:30:00+00:00, 2023-06-26T21:30:00+00:00, 2023-07-06T21:30:00+00:00, 2023-07-13T21:30:00+00:00, 2023-07-20T21:30:00+00:00, 2023-07-24T21:30:00+00:00, 2023-07-31T21:30:00+00:00, 2023-08-02T21:30:00+00:00, 2023-11-01T21:30:00+00:00, 2023-11-03T21:30:00+00:00, 2023-11-09T21:30:00+00:00]","[2023-02-01T21:30:00+00:00, 2023-02-08T21:30:00+00:00, 2023-02-21T21:30:00+00:00, 2023-02-23T21:30:00+00:00, 2023-02-27T21:30:00+00:00, 2023-07-05T21:30:00+00:00, 2023-07-12T21:30:00+00:00, 2023-07-19T21:30:00+00:00, 2023-07-21T21:30:00+00:00, 2023-07-28T21:30:00+00:00, 2023-08-01T21:30:00+00:00, 2023-10-31T21:30:00+00:00, 2023-11-02T21:30:00+00:00, 2023-11-08T21:30:00+00:00]","[106.0, 4.0, 7.0, 1.0, 1.0, 6.0, 4.0, 4.0, 1.0, 4.0, 1.0, 63.0, 1.0, 3.0]","[0.5700000000000003, 0.11999999999999922, 0.03999999999999915, -0.07000000000000028, 3.040000000000001, -0.11999999999999922, 0.41999999999999993, 0.3200000000000003, 0.5499999999999989, 0.8599999999999994, 0.40000000000000036, 0.25, 0.4800000000000004, 0.25]","[4.6952224052718305, 0.9493670886075887, 0.31847133757961105, -0.5636070853462181, 23.937007874015755, -0.7722007722007672, 2.8474576271186436, 2.0956123117223333, 3.5760728218465467, 5.467260012714554, 2.6666666666666687, 1.652346331791143, 3.0553787396562724, 1.5566625155666254]",2023-11-11 08:05:51,0.6156279519531909499671216891
