symbol,strategy_name,trades,profitable_trades,loss_trades,sharpe_ratio,average_profit,average_trade_days,average_percent_profit,median_percent_profit,percent_wins,last_sale_date,last_sell_date_diff,table_name,trades_buy_dates,trades_sell_dates,trades_days,trades_profit,trades_percent,last_update
UPWK,ALGO_ADX_28,7,6,1,0.6182678217307736154406891980,0.9314,17.4286,8.4952,1.8712574850299404,0.8571428571428571,2023-11-15 21:30:00+00:00,4,ADX_28_1D_STOCK_RESULTS,"[2023-03-24T21:30:00+00:00, 2023-03-28T21:30:00+00:00, 2023-04-04T21:30:00+00:00, 2023-08-07T21:30:00+00:00, 2023-10-11T21:30:00+00:00, 2023-11-09T21:30:00+00:00, 2023-11-14T21:30:00+00:00, 2023-11-16T21:30:00+00:00]","[2023-03-27T21:30:00+00:00, 2023-04-03T21:30:00+00:00, 2023-08-04T21:30:00+00:00, 2023-08-21T21:30:00+00:00, 2023-11-08T21:30:00+00:00, 2023-11-13T21:30:00+00:00, 2023-11-15T21:30:00+00:00]","[1.0, 4.0, 84.0, 10.0, 20.0, 2.0, 1.0]","[0.5399999999999991, 0.08999999999999986, 3.5299999999999994, -1.1400000000000006, 3.0699999999999985, 0.25, 0.17999999999999972]","[4.878048780487797, 0.8078994614003578, 31.887985546522124, -7.640750670241291, 26.397248495270837, 1.8712574850299404, 1.2649332396345727]",2023-11-19 10:03:36
AAOI,ALGO_ADX_28,7,6,1,0.7189385633188837914864166692,0.4686,8.2857,6.9716,3.9270687237026682,0.8571428571428571,2023-11-16 21:30:00+00:00,3,ADX_28_1D_STOCK_RESULTS,"[2023-03-24T21:30:00+00:00, 2023-10-31T21:30:00+00:00, 2023-11-02T21:30:00+00:00, 2023-11-06T21:30:00+00:00, 2023-11-08T21:30:00+00:00, 2023-11-13T21:30:00+00:00, 2023-11-15T21:30:00+00:00, 2023-11-17T21:30:00+00:00]","[2023-06-07T21:30:00+00:00, 2023-11-01T21:30:00+00:00, 2023-11-03T21:30:00+00:00, 2023-11-07T21:30:00+00:00, 2023-11-10T21:30:00+00:00, 2023-11-14T21:30:00+00:00, 2023-11-16T21:30:00+00:00]","[51.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0]","[0.33999999999999986, 0.28000000000000025, 0.6999999999999993, 0.21999999999999886, -0.6700000000000017, 2.2699999999999996, 0.1399999999999988]","[14.049586776859499, 3.9270687237026682, 8.749999999999991, 2.32067510548522, -6.726907630522105, 25.33482142857142, 1.1456628477904973]",2023-11-19 09:02:17
AMSC,ALGO_ADX_28,14,14,0,1.564971482203329422543325725,0.3921,7.1429,6.0868,5.293092557919198,1.0,2023-11-17 21:30:00+00:00,2,ADX_28_1D_STOCK_RESULTS,"[2023-03-24T21:30:00+00:00, 2023-03-28T21:30:00+00:00, 2023-03-30T21:30:00+00:00, 2023-04-03T21:30:00+00:00, 2023-06-05T21:30:00+00:00, 2023-06-07T21:30:00+00:00, 2023-06-15T21:30:00+00:00, 2023-06-20T21:30:00+00:00, 2023-07-12T21:30:00+00:00, 2023-07-20T21:30:00+00:00, 2023-10-11T21:30:00+00:00, 2023-11-06T21:30:00+00:00, 2023-11-09T21:30:00+00:00, 2023-11-16T21:30:00+00:00]","[2023-03-27T21:30:00+00:00, 2023-03-29T21:30:00+00:00, 2023-03-31T21:30:00+00:00, 2023-06-02T21:30:00+00:00, 2023-06-06T21:30:00+00:00, 2023-06-14T21:30:00+00:00, 2023-06-16T21:30:00+00:00, 2023-07-11T21:30:00+00:00, 2023-07-19T21:30:00+00:00, 2023-07-27T21:30:00+00:00, 2023-11-03T21:30:00+00:00, 2023-11-08T21:30:00+00:00, 2023-11-15T21:30:00+00:00, 2023-11-17T21:30:00+00:00]","[1.0, 1.0, 1.0, 42.0, 1.0, 5.0, 1.0, 14.0, 5.0, 5.0, 17.0, 2.0, 4.0, 1.0]","[0.16999999999999993, 0.1299999999999999, 0.2599999999999998, 0.6600000000000001, 0.04999999999999982, 0.4399999999999995, 0.20999999999999996, 0.1900000000000004, 0.96, 0.4299999999999997, 0.6100000000000003, 0.3800000000000008, 0.75, 0.25]","[4.21836228287841, 3.0952380952380927, 5.68927789934354, 13.496932515337425, 0.7911392405063262, 6.413994169096203, 3.1390134529147975, 2.89634146341464, 13.953488372093023, 5.7104913678618825, 8.957415565345087, 4.8969072164948555, 9.135200974421437, 2.8216704288939054]",2023-11-19 09:04:41
POWL,ALGO_ADX_28,6,6,0,0.8407718882100124373053613077,2.7083,3.1667,5.7154,2.826500310431025,1.0,2023-11-15 21:30:00+00:00,4,ADX_28_1D_STOCK_RESULTS,"[2023-04-13T21:30:00+00:00, 2023-04-19T21:30:00+00:00, 2023-05-05T21:30:00+00:00, 2023-05-09T21:30:00+00:00, 2023-05-11T21:30:00+00:00, 2023-11-14T21:30:00+00:00, 2023-11-16T21:30:00+00:00]","[2023-04-18T21:30:00+00:00, 2023-05-04T21:30:00+00:00, 2023-05-08T21:30:00+00:00, 2023-05-10T21:30:00+00:00, 2023-05-15T21:30:00+00:00, 2023-11-15T21:30:00+00:00]","[3.0, 11.0, 1.0, 1.0, 2.0, 1.0]","[1.019999999999996, 8.43, 1.1399999999999935, 0.75, 2.240000000000002, 2.6700000000000017]","[2.4823558043319442, 20.576031242372466, 2.3341523341523205, 1.4551804423748544, 4.273993512688422, 3.1706448165301055]",2023-11-19 09:50:43
FINW,ALGO_ADX_28,6,6,0,1.163172016416332074481802758,0.4963,19.0000,5.3838,4.459456881633989,1.0,2023-11-07 21:30:00+00:00,12,ADX_28_1D_STOCK_RESULTS,"[2023-03-24T21:30:00+00:00, 2023-08-02T21:30:00+00:00, 2023-09-28T21:30:00+00:00, 2023-10-03T21:30:00+00:00, 2023-10-10T21:30:00+00:00, 2023-10-12T21:30:00+00:00]","[2023-08-01T21:30:00+00:00, 2023-08-03T21:30:00+00:00, 2023-10-02T21:30:00+00:00, 2023-10-09T21:30:00+00:00, 2023-10-11T21:30:00+00:00, 2023-11-07T21:30:00+00:00]","[88.0, 1.0, 2.0, 4.0, 1.0, 18.0]","[0.5950000000000006, 0.6150000000000002, 0.16799999999999926, 0.0600000000000005, 0.25, 1.290000000000001]","[6.296296296296304, 6.227848101265825, 1.93771626297577, 0.704225352112682, 2.691065662002153, 14.445688689809641]",2023-11-19 09:24:06
PBPB,ALGO_ADX_28,11,11,0,1.670642358484195033559749058,0.4691,11.0909,5.2462,4.550625711035272,1.0,2023-11-06 21:30:00+00:00,13,ADX_28_1D_STOCK_RESULTS,"[2023-03-24T21:30:00+00:00, 2023-04-03T21:30:00+00:00, 2023-04-13T21:30:00+00:00, 2023-04-17T21:30:00+00:00, 2023-04-19T21:30:00+00:00, 2023-06-02T21:30:00+00:00, 2023-06-06T21:30:00+00:00, 2023-06-08T21:30:00+00:00, 2023-07-06T21:30:00+00:00, 2023-07-12T21:30:00+00:00, 2023-07-28T21:30:00+00:00, 2023-11-07T21:30:00+00:00]","[2023-03-31T21:30:00+00:00, 2023-04-12T21:30:00+00:00, 2023-04-14T21:30:00+00:00, 2023-04-18T21:30:00+00:00, 2023-04-27T21:30:00+00:00, 2023-06-05T21:30:00+00:00, 2023-06-07T21:30:00+00:00, 2023-07-05T21:30:00+00:00, 2023-07-11T21:30:00+00:00, 2023-07-27T21:30:00+00:00, 2023-11-06T21:30:00+00:00]","[5.0, 6.0, 1.0, 1.0, 6.0, 1.0, 1.0, 17.0, 3.0, 11.0, 70.0]","[0.33999999999999986, 0.9900000000000002, 0.08000000000000007, 0.3199999999999985, 0.8800000000000008, 0.15000000000000036, 0.379999999999999, 0.41999999999999993, 0.40000000000000036, 0.3800000000000008, 0.8199999999999985]","[4.33673469387755, 11.913357400722022, 0.8629989212513492, 3.2955715756951443, 8.695652173913052, 1.8564356435643607, 4.720496894409925, 4.8, 4.550625711035272, 4.090419806243281, 8.586387434554958]",2023-11-19 09:48:07
XPO,ALGO_ADX_28,14,14,0,1.305781980113824658271734235,2.5421,3.3571,5.1456,4.159587611544908,1.0,2023-11-14 21:30:00+00:00,5,ADX_28_1D_STOCK_RESULTS,"[2023-03-24T21:30:00+00:00, 2023-03-29T21:30:00+00:00, 2023-04-04T21:30:00+00:00, 2023-04-13T21:30:00+00:00, 2023-04-19T21:30:00+00:00, 2023-04-21T21:30:00+00:00, 2023-04-25T21:30:00+00:00, 2023-05-02T21:30:00+00:00, 2023-05-05T21:30:00+00:00, 2023-05-09T21:30:00+00:00, 2023-10-25T21:30:00+00:00, 2023-11-01T21:30:00+00:00, 2023-11-03T21:30:00+00:00, 2023-11-09T21:30:00+00:00, 2023-11-15T21:30:00+00:00]","[2023-03-28T21:30:00+00:00, 2023-04-03T21:30:00+00:00, 2023-04-12T21:30:00+00:00, 2023-04-18T21:30:00+00:00, 2023-04-20T21:30:00+00:00, 2023-04-24T21:30:00+00:00, 2023-05-01T21:30:00+00:00, 2023-05-04T21:30:00+00:00, 2023-05-08T21:30:00+00:00, 2023-05-30T21:30:00+00:00, 2023-10-31T21:30:00+00:00, 2023-11-02T21:30:00+00:00, 2023-11-08T21:30:00+00:00, 2023-11-14T21:30:00+00:00]","[2.0, 3.0, 5.0, 3.0, 1.0, 1.0, 4.0, 2.0, 1.0, 14.0, 4.0, 1.0, 3.0, 3.0]","[0.9600000000000009, 0.5800000000000018, 1.759999999999998, 1.240000000000002, 5.6200000000000045, 1.0400000000000063, 0.8900000000000006, 2.729999999999997, 2.260000000000005, 1.0700000000000003, 7.3300000000000125, 3.4399999999999977, 1.980000000000004, 4.689999999999998]","[3.184079601990053, 1.8589743589743648, 5.587301587301581, 3.785103785103791, 16.661725466943388, 2.4299065420560897, 2.0644861980978906, 6.221513217866902, 4.89283394674173, 2.251683501683502, 10.345800988002841, 4.534071437986025, 2.491506228765577, 5.729293916442704]",2023-11-19 10:09:11
SOXL,ALGO_ADX_28,14,13,1,1.071330985564860141619575419,1.0436,7.7857,5.1246,4.60829688400638,0.9285714285714286,2023-11-17 21:30:00+00:00,2,ADX_28_1D_STOCK_RESULTS,"[2023-03-24T21:30:00+00:00, 2023-03-31T21:30:00+00:00, 2023-04-04T21:30:00+00:00, 2023-05-30T21:30:00+00:00, 2023-08-17T21:30:00+00:00, 2023-08-23T21:30:00+00:00, 2023-08-25T21:30:00+00:00, 2023-08-29T21:30:00+00:00, 2023-08-31T21:30:00+00:00, 2023-09-05T21:30:00+00:00, 2023-09-07T21:30:00+00:00, 2023-09-13T21:30:00+00:00, 2023-09-15T21:30:00+00:00, 2023-11-16T21:30:00+00:00]","[2023-03-30T21:30:00+00:00, 2023-04-03T21:30:00+00:00, 2023-05-26T21:30:00+00:00, 2023-06-14T21:30:00+00:00, 2023-08-22T21:30:00+00:00, 2023-08-24T21:30:00+00:00, 2023-08-28T21:30:00+00:00, 2023-08-30T21:30:00+00:00, 2023-09-01T21:30:00+00:00, 2023-09-06T21:30:00+00:00, 2023-09-12T21:30:00+00:00, 2023-09-14T21:30:00+00:00, 2023-11-15T21:30:00+00:00, 2023-11-17T21:30:00+00:00]","[4.0, 1.0, 37.0, 11.0, 3.0, 1.0, 1.0, 1.0, 1.0, 1.0, 3.0, 1.0, 43.0, 1.0]","[0.6600000000000001, 0.360000000000003, 2.1799999999999997, 0.7399999999999984, 2.09, 2.9400000000000013, 0.9200000000000017, 1.8300000000000018, 1.1799999999999997, 0.120000000000001, -0.8599999999999994, 0.9800000000000004, 1.370000000000001, 0.09999999999999787]","[3.8596491228070176, 2.050113895216418, 12.199216564073865, 3.0118030118030057, 10.135790494665372, 14.03341288782817, 4.523107177974444, 8.67709815078237, 5.09279240397065, 0.505263157894741, -3.9341262580054868, 4.693486590038316, 6.450094161958574, 0.4470272686633789]",2023-11-19 09:58:08
CUBI,ALGO_ADX_28,7,6,1,0.7417178845061890653715967530,1.7571,4.5714,5.1096,2.0071899340922545,0.8571428571428571,2023-11-15 21:30:00+00:00,4,ADX_28_1D_STOCK_RESULTS,"[2023-09-22T21:30:00+00:00, 2023-10-03T21:30:00+00:00, 2023-10-09T21:30:00+00:00, 2023-10-12T21:30:00+00:00, 2023-10-19T21:30:00+00:00, 2023-10-31T21:30:00+00:00, 2023-11-06T21:30:00+00:00]","[2023-10-02T21:30:00+00:00, 2023-10-06T21:30:00+00:00, 2023-10-11T21:30:00+00:00, 2023-10-18T21:30:00+00:00, 2023-10-30T21:30:00+00:00, 2023-11-03T21:30:00+00:00, 2023-11-15T21:30:00+00:00]","[6.0, 3.0, 2.0, 4.0, 7.0, 3.0, 7.0]","[2.3700000000000045, 0.14000000000000057, 0.3500000000000014, 0.6699999999999946, 6.850000000000001, 2.6700000000000017, -0.75]","[7.346559206447628, 0.42839657282741916, 1.0618932038834994, 2.0071899340922545, 19.959207459207462, 6.6335403726708115, -1.669263298464278]",2023-11-19 09:15:49
DUOL,ALGO_ADX_28,9,9,0,1.228531346608305206100036380,8.5200,9.3333,5.0828,3.946869070208735,1.0,2023-11-14 21:30:00+00:00,5,ADX_28_1D_STOCK_RESULTS,"[2023-07-06T21:30:00+00:00, 2023-07-13T21:30:00+00:00, 2023-07-20T21:30:00+00:00, 2023-09-12T21:30:00+00:00, 2023-09-15T21:30:00+00:00, 2023-09-20T21:30:00+00:00, 2023-10-03T21:30:00+00:00, 2023-10-11T21:30:00+00:00, 2023-11-13T21:30:00+00:00, 2023-11-15T21:30:00+00:00]","[2023-07-12T21:30:00+00:00, 2023-07-19T21:30:00+00:00, 2023-09-11T21:30:00+00:00, 2023-09-14T21:30:00+00:00, 2023-09-19T21:30:00+00:00, 2023-10-02T21:30:00+00:00, 2023-10-10T21:30:00+00:00, 2023-11-10T21:30:00+00:00, 2023-11-14T21:30:00+00:00]","[4.0, 4.0, 36.0, 2.0, 2.0, 8.0, 5.0, 22.0, 1.0]","[11.569999999999993, 4.319999999999993, 1.4899999999999807, 2.390000000000015, 6.240000000000009, 2.4499999999999886, 11.840000000000003, 25.44999999999999, 10.930000000000007]","[8.251907852506948, 2.767811378780108, 0.9460918153533435, 1.5012562814070445, 3.946869070208735, 1.4980128401100512, 7.256680558960532, 14.29775280898876, 5.278408267735552]",2023-11-19 09:19:05
