symbol,strategy_name,trades,profitable_trades,loss_trades,average_profit,average_trade_days,average_percent_profit,trades_days,trades_profit,trades_percent,last_update,percent_wins,table_name,last_sale_date,last_sell_date_diff
LEVER-USDT:USDT,ALGO_ADX_28,11,10,1,0.0000,23.0000,2.3046,"[6.0, 7.0, 128.0, 10.0, 17.0, 3.0, 2.0, 3.0, 73.0, 2.0, 2.0]","[1.899999999999992e-05, 2.400000000000015e-05, -5.200000000000018e-05, 2.1999999999999884e-05, 2.8999999999999946e-05, 9.899999999999991e-05, 5.099999999999983e-05, 2.5000000000000066e-05, 1.500000000000004e-05, 6.900000000000005e-05, 3.200000000000013e-05]","[1.6281062553556058, 2.0583190394511277, -4.3697478991596785, 1.7642341619887636, 2.2870662460567783, 7.971014492753616, 3.8374717832956975, 1.8968133535660143, 1.111934766493702, 4.98554913294798, 2.1798365122615895]",2023-09-10 21:59:49,0.9090909090909091,ADX_28_TEST_1H_CRYPTO_BINANCEUSDM_RESULTS,2023-09-06 20:00:00+00:00,11
PERP-USDT:USDT,ALGO_ADX_28,22,19,3,0.0053,32.6364,1.1989,"[19.0, 115.0, 5.0, 3.0, 78.0, 39.0, 14.0, 10.0, 84.0, 9.0, 3.0, 6.0, 14.0, 140.0, 101.0, 5.0, 3.0, 19.0, 3.0, 31.0, 2.0, 15.0]","[0.010999999999999899, -0.04349999999999993, 0.007899999999999963, 0.010700000000000043, 0.004599999999999993, 0.01150000000000001, 0.015199999999999991, 0.0024000000000000687, 0.009299999999999975, 0.006000000000000005, 0.008499999999999952, 0.008600000000000052, 0.006199999999999983, -0.0025000000000000577, 0.0005999999999999894, 0.02030000000000004, 0.005799999999999972, 0.011699999999999988, -0.0032999999999999696, 0.008099999999999996, 0.009299999999999975, 0.009099999999999997]","[2.1929824561403306, -8.387967605090616, 1.6840758900021235, 2.257383966244735, 0.9535655058043104, 2.35994254052945, 3.0694668820678497, 0.4711425206124988, 1.8368556191980991, 1.165274810642844, 1.6255498183208934, 1.678048780487815, 1.190019193857962, -0.4742933029785729, 0.14357501794687472, 4.976709977935779, 1.3466449965172909, 2.747123737966656, -0.7645968489341913, 1.9684082624544341, 2.2074531212912354, 2.128654970760233]",2023-09-10 21:58:49,0.8636363636363636,ADX_28_TEST_1H_CRYPTO_BINANCEUSDM_RESULTS,2023-09-03 23:00:00+00:00,13
PENDLE-USDT:USDT,ALGO_ADX_28,15,14,1,0.0061,22.0667,1.1226,"[16.0, 9.0, 8.0, 169.0, 54.0, 1.0, 2.0, 3.0, 4.0, 42.0, 1.0, 4.0, 3.0, 13.0, 2.0]","[0.022400000000000087, 0.0029000000000000137, 0.010099999999999998, -0.09930000000000005, 0.012299999999999978, 0.02100000000000002, 0.023799999999999932, 0.01079999999999992, 0.012499999999999956, 0.0035999999999999366, 0.02300000000000002, 0.015300000000000091, 0.011199999999999988, 0.010199999999999987, 0.011600000000000055]","[3.190883190883204, 0.4022191400832197, 1.417742841100505, -13.745847176079742, 2.2905027932960853, 3.8015930485155716, 4.073250042786228, 1.7958097771865515, 2.050524934383195, 0.5782203662062217, 3.6741214057508023, 2.2707034728406192, 1.7640573318632835, 1.5421832476564843, 1.73237753882916]",2023-09-10 21:59:13,0.9333333333333333,ADX_28_TEST_1H_CRYPTO_BINANCEUSDM_RESULTS,2023-09-02 05:00:00+00:00,15
RAD-USDT:USDT,ALGO_ADX_28,15,13,2,0.0121,45.4667,0.8627,"[60.0, 4.0, 73.0, 32.0, 131.0, 5.0, 15.0, 48.0, 23.0, 11.0, 229.0, 1.0, 12.0, 35.0, 3.0]","[0.02400000000000002, 0.020000000000000018, 0.03100000000000014, 0.026000000000000023, -0.07400000000000007, 0.026999999999999913, 0.040000000000000036, 0.025000000000000133, 0.028999999999999915, -0.07900000000000018, 0.03500000000000014, 0.020999999999999908, 0.018999999999999906, 0.018000000000000016, 0.020000000000000018]","[1.518026565464897, 1.2928248222365881, 1.9632678910703065, 1.6434892541087245, -4.630788485607012, 1.7464424320827887, 2.5477707006369448, 1.579279848389143, 1.8216080402009998, -4.9129353233830955, 2.613890963405537, 1.560178306092118, 1.424287856071957, 1.3225569434239541, 1.4503263234227715]",2023-09-10 22:00:07,0.8666666666666667,ADX_28_TEST_1H_CRYPTO_BINANCEUSDM_RESULTS,2023-09-09 14:00:00+00:00,8
DYDX-USDT:USDT,ALGO_ADX_28,18,15,3,0.0137,33.8333,0.6699,"[8.0, 14.0, 12.0, 3.0, 16.0, 96.0, 6.0, 103.0, 124.0, 3.0, 30.0, 44.0, 2.0, 12.0, 35.0, 45.0, 46.0, 10.0]","[0.03699999999999992, 0.04400000000000004, 0.04200000000000026, 0.052000000000000046, 0.03799999999999981, -0.18300000000000027, 0.03500000000000014, 0.052999999999999936, -0.06699999999999973, 0.053999999999999826, 0.03500000000000014, -0.129, 0.028000000000000025, 0.039000000000000146, 0.020000000000000018, 0.021999999999999797, 0.06000000000000005, 0.06599999999999984]","[1.8172888015717055, 2.1225277375783906, 1.957129543336452, 2.3787740164684377, 1.6987036209208675, -8.224719101123608, 1.6916384726921287, 2.5274201239866447, -3.1381733021077154, 2.6483570377636005, 1.679462571976974, -5.8796718322698265, 1.303538175046556, 1.8080667593880457, 0.9170105456212755, 0.9981851179673229, 2.7868091035764073, 2.9649595687331463]",2023-09-10 21:59:36,0.8333333333333334,ADX_28_TEST_1H_CRYPTO_BINANCEUSDM_RESULTS,2023-09-01 01:00:00+00:00,16
TRU-USDT:USDT,ALGO_ADX_28,17,15,2,0.0002,45.8235,0.6035,"[9.0, 143.0, 6.0, 13.0, 204.0, 11.0, 1.0, 16.0, 7.0, 3.0, 12.0, 3.0, 1.0, 16.0, 1.0, 8.0, 325.0]","[0.0008300000000000043, -0.004370000000000006, 0.0008400000000000005, 0.0007800000000000029, -0.0028600000000000014, 0.0009600000000000025, 0.0002699999999999994, 0.0008299999999999974, 0.0006299999999999986, 0.0005900000000000002, 0.001349999999999997, 0.0005800000000000007, 0.00041999999999999676, 0.0012100000000000027, 0.00038000000000000533, 0.00010000000000000286, 4.000000000000531e-05]","[2.2311827956989365, -11.42782426778244, 2.4547048509643496, 2.227934875749794, -8.015695067264577, 2.7641808234955443, 0.7364975450081818, 2.370751213938867, 1.7627308337996603, 1.988540613414224, 4.506008010680898, 1.8782383419689141, 1.3457225248317743, 3.8510502864417657, 1.1567732115677485, 0.306466441924618, 0.12183978068841095]",2023-09-10 21:58:51,0.8823529411764706,ADX_28_TEST_1H_CRYPTO_BINANCEUSDM_RESULTS,2023-09-08 05:00:00+00:00,9
SUSHI-USDT:USDT,ALGO_ADX_28,22,18,4,0.0037,33.1818,0.5500,"[2.0, 5.0, 36.0, 5.0, 5.0, 83.0, 25.0, 8.0, 6.0, 5.0, 9.0, 23.0, 3.0, 1.0, 126.0, 4.0, 94.0, 142.0, 79.0, 34.0, 6.0, 29.0]","[0.013299999999999979, 0.014700000000000046, 0.007499999999999951, 0.020499999999999963, 0.017899999999999916, -0.08299999999999996, 0.011099999999999999, 0.011900000000000022, 0.01759999999999995, 0.012399999999999967, -0.011099999999999999, 0.021399999999999975, 0.01539999999999997, 0.01739999999999997, 0.0009000000000000119, 0.008199999999999985, 0.010000000000000009, 0.02729999999999999, -0.050899999999999945, 0.01189999999999991, 0.008700000000000041, -0.02200000000000002]","[1.874295377677562, 2.047068653390899, 1.0151597184623649, 2.849200833912434, 2.463867859600814, -11.075527088337331, 1.6866737577875701, 1.7671517671517705, 2.567843594981025, 1.8219218336761631, -1.6075307748008687, 3.1498380924344973, 2.2206200432588274, 2.406971918660945, 0.12534818941504344, 1.1392053348152245, 1.3768415255404116, 4.573630423856591, -8.179334726016382, 2.072809615049627, 1.489470980996412, -3.685709499078576]",2023-09-10 21:59:15,0.8181818181818182,ADX_28_TEST_1H_CRYPTO_BINANCEUSDM_RESULTS,2023-09-10 16:00:00+00:00,7
FLOKI-TUSD,ALGO_ADX_28,11,11,0,0.0000,34.3636,2.9753,"[5.0, 12.0, 66.0, 31.0, 7.0, 8.0, 139.0, 89.0, 18.0, 1.0, 2.0]","[5.600000000000014e-07, 4.700000000000006e-07, 5.399999999999982e-07, 2.400000000000011e-07, 5.3e-07, 3.100000000000021e-07, 1.8999999999999987e-07, 3.7999999999999975e-07, 2.3400000000000013e-06, 4.800000000000022e-07, 2.800000000000007e-07]","[2.555910543130997, 2.1057347670250923, 2.4021352313167177, 1.0398613518197621, 2.31239092495637, 1.2922050854522806, 1.0359869138495086, 2.2418879056047185, 13.549507817023748, 2.5709694697375585, 1.622247972190039]",2023-09-10 21:52:33,1.0,ADX_28_TEST_1H_CRYPTO_BINANCE_RESULTS,2023-09-09 20:00:00+00:00,8
IDEX-USDT:USDT,ALGO_ADX_28,15,14,1,0.0011,50.5333,2.4310,"[58.0, 35.0, 11.0, 63.0, 183.0, 10.0, 91.0, 14.0, 28.0, 187.0, 1.0, 44.0, 23.0, 3.0, 7.0]","[-0.0037700000000000025, 0.0008299999999999974, 0.0009100000000000011, 0.00102, 0.00034, 0.00034, 0.0010399999999999993, 0.0008900000000000019, 0.0008700000000000027, 0.008169999999999997, 0.0014199999999999977, 0.0011499999999999982, 0.0013700000000000032, 0.0008700000000000027, 0.0010399999999999993]","[-6.899707174231337, 1.6859638431850443, 1.8247443352717088, 2.004323049715072, 0.65865943432778, 0.6532180595581172, 1.9738090719301562, 1.6629297458893906, 2.0134228187919527, 18.224403301360688, 2.8704265211239086, 2.6088929219600687, 3.051904655825358, 1.8876111954870964, 2.2447658104899615]",2023-09-10 21:53:15,0.9333333333333333,ADX_28_TEST_1H_CRYPTO_BINANCE_RESULTS,2023-09-05 20:00:00+00:00,12
SFP-BUSD,ALGO_ADX_28,23,20,3,0.0103,13.3478,1.9769,"[66.0, 10.0, 21.0, 1.0, 1.0, 13.0, 2.0, 1.0, 3.0, 1.0, 2.0, 4.0, 2.0, 1.0, 117.0, 18.0, 6.0, 2.0, 6.0, 2.0, 9.0, 5.0, 14.0]","[0.006300000000000028, 0.013299999999999979, -0.003699999999999981, 0.019899999999999973, 0.019999999999999962, 0.011199999999999988, 0.01909999999999995, 0.010199999999999987, -0.007699999999999985, 0.005899999999999961, 0.003500000000000003, 0.008600000000000052, 0.012800000000000034, -0.007899999999999907, 0.005199999999999982, 0.013499999999999956, 0.012700000000000045, 0.016199999999999992, 0.013499999999999956, 0.009299999999999975, 0.034700000000000064, 0.008300000000000085, 0.011099999999999999]","[1.3639315869235826, 2.905833515403098, -0.8486238532110049, 4.3073593073593015, 4.054327995134798, 2.554161915621434, 4.203345070422524, 2.1478205938092203, -1.5568135867367539, 1.1962692619626847, 0.7166257166257173, 1.730034198350443, 2.431149097815771, -1.3960063615479603, 0.9946442234123912, 2.5665399239543643, 2.354031510658025, 2.8481012658227836, 2.310061601642703, 1.5604026845637542, 5.764119601328915, 1.4261168384879872, 1.8359245782335425]",2023-09-10 21:46:19,0.8695652173913043,ADX_28_TEST_1H_CRYPTO_BINANCE_RESULTS,2023-09-10 21:00:00+00:00,7
