symbol,strategy_name,trades,profitable_trades,loss_trades,average_profit,average_trade_days,average_percent_profit,trades_days,trades_profit,trades_percent,last_update,percent_wins,table_name,last_sale_date,last_sell_date_diff
MCO2-USD,ALGO_ADX_28,7,6,1,0.0600,9.8571,5.5158,"[10.0, 1.0, 13.0, 4.0, 5.0, 35.0, 1.0]","[0.010000000000000009, 0.020000000000000018, 0.06000000000000005, 0.0, 0.010000000000000009, 0.26, 0.06000000000000005]","[0.990099009900991, 2.0000000000000018, 5.940594059405946, 0.0, 0.9708737864077678, 24.761904761904763, 3.947368421052635]",2023-09-11 01:34:55,0.8571428571428571,ADX_28_TEST_1H_CRYPTO_COINBASEPRIME_RESULTS,2023-09-10 02:00:00+00:00,7
BTRST-BTC,ALGO_ADX_28,8,7,1,0.0000,9.7500,4.3645,"[5.0, 1.0, 17.0, 43.0, 2.0, 3.0, 3.0, 4.0]","[3.2999999999999853e-07, -8.000000000000093e-08, 1.2999999999999876e-07, 2.199999999999996e-07, 5.100000000000002e-07, 1.0799999999999998e-06, 8.8e-07, 6.600000000000005e-07]","[3.544575725026837, -0.8264462809917451, 1.3197969543147081, 2.182539682539679, 4.903846153846156, 10.227272727272725, 7.985480943738659, 5.579036348267121]",2023-09-11 01:39:37,0.875,ADX_28_TEST_1H_CRYPTO_COINBASEPRIME_RESULTS,2023-08-23 11:00:00+00:00,25
SHPING-USDT,ALGO_ADX_28,6,5,1,0.0002,6.8333,4.2948,"[3.0, 28.0, 7.0, 1.0, 1.0, 1.0]","[0.00012799999999999964, 0.0002459999999999997, 0.0004270000000000003, 0.00046500000000000014, 0.00040899999999999964, -0.00026099999999999995]","[2.3017442905952104, 4.594695554725433, 8.02631578947369, 8.102456874019866, 6.525207402680275, -3.781512605042016]",2023-09-11 01:40:54,0.8333333333333334,ADX_28_TEST_1H_CRYPTO_COINBASEPRIME_RESULTS,2023-09-07 21:00:00+00:00,10
WCFG-BTC,ALGO_ADX_28,6,6,0,0.0000,11.1667,3.3956,"[2.0, 1.0, 48.0, 2.0, 2.0, 12.0]","[1.8999999999999987e-07, 3.4000000000000013e-07, 4.4000000000000087e-07, 6.00000000000001e-07, 5.999999999999943e-08, 3.5000000000000004e-07]","[2.016985138004245, 3.6717062634989217, 4.569055036344765, 6.030150753768855, 0.5681818181818127, 3.517587939698493]",2023-09-11 01:33:01,1.0,ADX_28_TEST_1H_CRYPTO_COINBASEPRIME_RESULTS,2023-09-09 04:00:00+00:00,8
WAMPL-USD,ALGO_ADX_28,6,6,0,0.0550,6.8333,2.5027,"[4.0, 1.0, 5.0, 5.0, 3.0, 23.0]","[0.06999999999999984, 0.050000000000000266, 0.020000000000000018, 0.040000000000000036, 0.10000000000000009, 0.050000000000000266]","[3.2710280373831697, 2.3474178403755994, 0.9259259259259267, 1.8348623853211024, 4.424778761061951, 2.2123893805309858]",2023-09-11 01:33:11,1.0,ADX_28_TEST_1H_CRYPTO_COINBASEPRIME_RESULTS,2023-09-09 23:00:00+00:00,7
CLV-EUR,ALGO_ADX_28,7,7,0,0.0007,11.0000,2.2943,"[6.0, 5.0, 18.0, 1.0, 5.0, 32.0, 10.0]","[0.0009200000000000007, 0.0005000000000000004, 0.00015000000000000083, 0.0019000000000000024, 0.00016000000000000042, 0.00033000000000000043, 0.0009200000000000007]","[3.174603174603177, 1.691474966170502, 0.4945598417408534, 6.09169605642835, 0.5193119117169764, 1.093439363817099, 2.9947916666666687]",2023-09-11 01:38:02,1.0,ADX_28_TEST_1H_CRYPTO_COINBASEPRIME_RESULTS,2023-09-08 08:00:00+00:00,9
DAR-USD,ALGO_ADX_28,8,7,1,0.0019,7.5000,2.2005,"[4.0, 2.0, 14.0, 5.0, 2.0, 21.0, 3.0, 9.0]","[0.0020000000000000018, 0.002999999999999989, 0.000999999999999987, 0.0020000000000000018, 0.0020000000000000018, 0.0030000000000000027, 0.0, 0.0020000000000000018]","[2.469135802469138, 3.571428571428558, 1.1764705882352788, 2.3255813953488396, 2.3255813953488396, 3.4883720930232593, 0.0, 2.247191011235957]",2023-09-11 01:35:32,0.875,ADX_28_TEST_1H_CRYPTO_COINBASEPRIME_RESULTS,2023-09-09 03:00:00+00:00,8
TRU-EUR,ALGO_ADX_28,6,6,0,0.0006,12.6667,2.0416,"[30.0, 10.0, 23.0, 3.0, 8.0, 2.0]","[0.0005999999999999998, 0.0003999999999999976, 0.0006999999999999992, 0.0007000000000000027, 0.00040000000000000105, 0.0007999999999999986]","[2.1428571428571423, 1.4336917562723928, 2.405498281786939, 2.3333333333333424, 1.3201320132013237, 2.614379084967316]",2023-09-11 01:40:23,1.0,ADX_28_TEST_1H_CRYPTO_COINBASEPRIME_RESULTS,2023-09-09 15:00:00+00:00,8
C98-USDT,ALGO_ADX_28,7,6,1,0.0026,2.8571,1.9201,"[1.0, 7.0, 2.0, 3.0, 3.0, 2.0, 2.0]","[-0.004399999999999987, 0.003700000000000009, 0.004599999999999993, 0.0030000000000000027, 0.0020999999999999908, 0.0063, 0.0030000000000000027]","[-3.2023289665210974, 2.8009084027252147, 3.3998521803399804, 2.18340611353712, 1.5373352855051177, 4.612005856515373, 2.1097046413502127]",2023-09-11 01:34:26,0.8571428571428571,ADX_28_TEST_1H_CRYPTO_COINBASEPRIME_RESULTS,2023-09-06 10:00:00+00:00,11
IDEX-USDT,ALGO_ADX_28,6,6,0,0.0009,4.6667,1.8914,"[9.0, 4.0, 7.0, 2.0, 4.0, 2.0]","[0.00030000000000000165, 0.000900000000000005, 0.0006000000000000033, 0.0004000000000000045, 0.0015000000000000013, 0.0015000000000000013]","[0.6818181818181857, 2.045454545454557, 1.3245033112582854, 0.8658008658008757, 3.2327586206896584, 3.1982942430703654]",2023-09-11 01:40:24,1.0,ADX_28_TEST_1H_CRYPTO_COINBASEPRIME_RESULTS,2023-09-11 00:00:00+00:00,6
FIS-USD,ALGO_ADX_28,6,5,1,0.0043,7.5000,1.7571,"[17.0, 2.0, 9.0, 4.0, 6.0, 7.0]","[0.002999999999999975, 0.011100000000000027, 0.003400000000000014, 0.007999999999999952, 0.005199999999999982, -0.0047000000000000375]","[1.2536564981195046, 4.5735475896168225, 1.3589128697042425, 3.1520882584712173, 2.048857368006297, -1.8445839874411447]",2023-09-11 01:33:52,0.8333333333333334,ADX_28_TEST_1H_CRYPTO_COINBASEPRIME_RESULTS,2023-09-10 03:00:00+00:00,7
