symbol,strategy_name,trades,profitable_trades,loss_trades,average_profit,average_trade_days,average_percent_profit,trades_days,trades_profit,trades_percent,last_update,percent_wins,table_name,last_sale_date,last_sell_date_diff
AXS3L-USDT,ALGO_ADX_28,6,5,1,0.1767,15.6667,1683.5122,"[6.0, 24.0, 8.0, 10.0, 16.0, 30.0]","[7.000000000000062e-05, 0.001129999999999999, 0.0, 0.0004599999999999986, 1.04508, 0.013499999999999956]","[0.4199160167966443, 6.750298685782551, 0.0, 4.646464646464632, 10087.64478764479, 1.6114785016830946]",2023-09-11 05:30:32,0.8333333333333334,ADX_28_TEST_1H_CRYPTO_GATEIO_RESULTS,2023-09-09 16:00:00+00:00,8
CRV3L-USDT,ALGO_ADX_28,12,10,2,0.0949,21.4167,729.5091,"[25.0, 14.0, 89.0, 9.0, 10.0, 4.0, 6.0, 10.0, 32.0, 9.0, 25.0, 24.0]","[0.0005999999999999998, 9.99999999999994e-05, 1.1461999999999999, 0.01739999999999997, 0.028100000000000014, 0.04860000000000009, 0.0013999999999999568, 0.01330000000000009, -0.0996999999999999, 0.01090000000000002, 0.01429999999999998, -0.042300000000000004]","[4.799999999999999, 0.7633587786259496, 8749.618320610687, 2.7889084789228997, 4.468829516539443, 7.435740514075902, 0.19846895378508034, 1.9916142557652128, -14.929619646600765, 1.9450392576730944, 2.4878218510786327, -7.4590019396931755]",2023-09-11 05:42:17,0.8333333333333334,ADX_28_TEST_1H_CRYPTO_GATEIO_RESULTS,2023-09-10 14:00:00+00:00,7
SLG-USDT,ALGO_ADX_28,16,14,2,0.0008,8.3750,6.3393,"[8.0, 1.0, 36.0, 1.0, 35.0, 1.0, 3.0, 39.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 3.0, 1.0]","[0.0004410000000000004, -0.00012400000000000085, 7.999999999999327e-06, 0.009452999999999998, 0.001384999999999999, 0.00046299999999999987, 4.099999999999937e-05, 1.600000000000039e-05, 0.00032400000000000137, 0.00032800000000000017, 0.00011700000000000078, 6.300000000000056e-05, 6.199999999999956e-05, 4.700000000000017e-05, -4.099999999999937e-05, 0.00010800000000000046]","[3.722461382628517, -1.0021821708559027, 0.06495615459564247, 75.34071889694745, 10.979863643570628, 4.027137514134121, 0.343498659517421, 0.12433944668946526, 2.494994609579558, 2.566108590204977, 0.9102933167353987, 0.488334237656, 0.4809557055309872, 0.36610063872877524, -0.3178787408900556, 0.8389001087463139]",2023-09-11 06:47:52,0.875,ADX_28_TEST_1H_CRYPTO_GATEIO_RESULTS,2023-09-05 10:00:00+00:00,12
MIMIR-USDT,ALGO_ADX_28,6,6,0,0.0001,14.3333,5.7298,"[39.0, 4.0, 15.0, 11.0, 1.0, 16.0]","[5.799999999999816e-06, 4.079999999999991e-05, 2.480000000000017e-05, 0.0002122999999999999, 2.8100000000000087e-05, 0.00021509999999999997]","[0.32272423770308345, 2.2531477799867408, 1.5301085883514418, 14.504338320694124, 1.8245568469579956, 13.94399066511085]",2023-09-11 06:23:07,1.0,ADX_28_TEST_1H_CRYPTO_GATEIO_RESULTS,2023-09-09 22:00:00+00:00,7
VNO-USDT,ALGO_ADX_28,12,10,2,0.0048,6.4167,5.0614,"[1.0, 8.0, 1.0, 3.0, 2.0, 7.0, 1.0, 3.0, 3.0, 1.0, 46.0, 1.0]","[-0.00025999999999999635, 0.0008200000000000013, 0.04443999999999999, 0.0011400000000000021, 0.0006600000000000078, 0.0024099999999999955, 0.0018799999999999928, 0.0013200000000000017, 0.0015899999999999942, 0.0004600000000000021, 0.01038, -0.006889999999999993]","[-0.2828238877406683, 0.8604407135362029, 46.004140786749474, 1.2021512179689993, 0.6980433632998497, 2.485561056105606, 1.9282051282051207, 1.3954963526799893, 1.6743892165122096, 0.4806185351582928, 10.913678898117968, -6.623089493415354]",2023-09-11 07:01:25,0.8333333333333334,ADX_28_TEST_1H_CRYPTO_GATEIO_RESULTS,2023-09-09 10:00:00+00:00,8
VTG-USDT,ALGO_ADX_28,9,8,1,0.0000,13.6667,4.3475,"[26.0, 2.0, 8.0, 16.0, 3.0, 11.0, 34.0, 8.0, 15.0]","[7.699999999999997e-05, -2.999999999999997e-05, 7.099999999999999e-05, 1.0000000000000243e-06, 5.999999999999983e-06, 9.9999999999997e-07, 1.0000000000000243e-06, 1.0999999999999996e-05, 2.9999999999999645e-06]","[21.270718232044192, -7.352941176470582, 18.832891246684348, 0.2754820936639185, 1.6304347826086911, 0.2680965147453003, 0.2717391304347892, 3.1073446327683607, 0.8241758241758145]",2023-09-11 07:01:40,0.8888888888888888,ADX_28_TEST_1H_CRYPTO_GATEIO_RESULTS,2023-09-07 18:00:00+00:00,10
BCH3L-USDT,ALGO_ADX_28,8,7,1,0.0043,27.8750,3.8487,"[4.0, 9.0, 100.0, 9.0, 3.0, 7.0, 31.0, 60.0]","[0.0023839999999999972, 0.007767999999999997, 0.004860000000000003, 0.002605999999999997, 0.024241, 0.0013249999999999929, 0.0006239999999999996, -0.009758000000000003]","[2.265793550471879, 7.219263761489203, 4.212570101153693, 2.4105078161132156, 21.606132180578456, 1.1998007877937182, 0.5583392984967784, -8.682730637813215]",2023-09-11 05:32:23,0.875,ADX_28_TEST_1H_CRYPTO_GATEIO_RESULTS,2023-09-10 15:00:00+00:00,7
RLY-USDT,ALGO_ADX_28,6,6,0,0.0003,29.8333,3.8300,"[21.0, 54.0, 1.0, 2.0, 90.0, 11.0]","[0.00011800000000000005, 0.00013699999999999997, 0.00011300000000000025, 0.0005460000000000005, 0.0006189999999999998, 3.1000000000000645e-05]","[1.8623737373737383, 2.1412941544232567, 1.7667292057536002, 8.409055906360704, 8.375050737383301, 0.42524005486969335]",2023-09-11 06:43:44,1.0,ADX_28_TEST_1H_CRYPTO_GATEIO_RESULTS,2023-08-30 20:00:00+00:00,18
SUKU-BTC,ALGO_ADX_28,9,8,1,0.0000,69.3333,3.5382,"[139.0, 4.0, 5.0, 8.0, 52.0, 82.0, 5.0, 2.0, 327.0]","[2.699999999999991e-08, 3.4999999999999877e-08, -1.099999999999998e-08, 3.1e-08, 3.299999999999994e-08, 2.2100000000000009e-07, 3.299999999999994e-08, 7.799999999999993e-08, 2.7999999999999986e-08]","[1.809651474530825, 2.3600809170600052, -0.731382978723403, 2.181562280084447, 2.2633744855967035, 14.743162108072056, 2.2510231923601594, 5.151915455746363, 1.814646791963706]",2023-09-11 06:52:54,0.8888888888888888,ADX_28_TEST_1H_CRYPTO_GATEIO_RESULTS,2023-09-08 17:00:00+00:00,9
UNI5S-USDT,ALGO_ADX_28,22,20,2,0.0347,19.6364,3.3788,"[2.0, 1.0, 48.0, 5.0, 44.0, 2.0, 2.0, 5.0, 1.0, 1.0, 3.0, 2.0, 4.0, 9.0, 1.0, 133.0, 1.0, 1.0, 49.0, 2.0, 113.0, 3.0]","[0.0023940000000000072, 0.004245999999999972, 0.009753000000000012, 0.013083999999999985, 0.025096000000000007, 0.004424000000000039, 0.0061570000000000236, 0.01714899999999997, 0.06105000000000005, -0.018158999999999814, 0.028576999999999853, -0.02199200000000001, 0.056643, 0.07244700000000015, 0.022813000000000194, 0.159748, 0.031536999999999926, 0.03930000000000011, 0.08092600000000005, 0.04139999999999988, 0.017684000000000033, 0.11001900000000009]","[0.6843186969931732, 1.2033237354614834, 2.69631423547756, 3.63245668342601, 6.788904458667649, 1.1406912733507908, 1.5410838898289023, 1.7595846522437262, 6.041192920375004, -1.6804786296311551, 2.643646580059174, -2.0244700172786945, 5.122693033633076, 6.363093408282477, 1.9277880168365784, 13.692810905699709, 2.4102987786097296, 2.8930946321684234, 6.0350742172585, 2.837884802441395, 1.2062977967534214, 7.417107908372744]",2023-09-11 06:58:52,0.9090909090909091,ADX_28_TEST_1H_CRYPTO_GATEIO_RESULTS,2023-09-10 05:00:00+00:00,7
