symbol,strategy_name,trades,profitable_trades,loss_trades,average_profit,average_trade_days,average_percent_profit,trades_days,trades_profit,trades_percent,last_update,percent_wins,table_name,last_sale_date,last_sell_date_diff
WVE,ALGO_EMA_RSI_ADX_BB_CGPT,7,6,1,0.0971,1.1429,2.1346,"[1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0]","[0.14999999999999947, 0.040000000000000036, 0.1200000000000001, 0.10000000000000053, 0.16000000000000014, 0.14000000000000057, -0.02999999999999936]","[3.3407572383073374, 0.8771929824561412, 2.714932126696835, 2.0491803278688634, 3.8004750593824266, 2.7477919528950063, -0.5882352941176345]",2023-09-28 23:26:59,0.8571428571428571,EMA_RSI_ADX_BB_P1_L.75_AV_1H_STOCK_RESULTS,2023-09-27 15:00:00+00:00,1
FOLD,ALGO_EMA_RSI_ADX_BB_CGPT,8,7,1,0.1362,1.1250,1.0365,"[1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.25, 0.030000000000001137, 0.1899999999999995, 0.4299999999999997, 0.3049999999999997, 0.0649999999999995, 0.019999999999999574, -0.20000000000000107]","[1.8867924528301887, 0.225733634311521, 1.4514896867838005, 3.245283018867923, 2.37909516380655, 0.5021243723445307, 0.15408320493065927, -1.5527950310559087]",2023-09-28 23:11:48,0.875,EMA_RSI_ADX_BB_P1_L.75_AV_1H_STOCK_RESULTS,2023-09-18 15:00:00+00:00,10
BLBD,ALGO_EMA_RSI_ADX_BB_CGPT,7,6,1,0.2114,1.0000,0.9963,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0799999999999983, 0.054999999999999716, 0.17999999999999972, 0.6700000000000017, 0.29499999999999815, 0.41999999999999815, -0.21999999999999886]","[0.3778932451582347, 0.2622794468288017, 0.8470588235294105, 3.1162790697674496, 1.3977730395640755, 2.021174205967267, -1.0481181515007094]",2023-09-28 23:06:41,0.8571428571428571,EMA_RSI_ADX_BB_P1_L.75_AV_1H_STOCK_RESULTS,2023-09-12 13:00:00+00:00,16
LSCC,ALGO_EMA_RSI_ADX_BB_CGPT,8,7,1,0.8106,1.0000,0.8953,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0899999999999892, 0.26500000000000057, 0.37000000000000455, 1.9949999999999903, 1.5150000000000006, -0.8599999999999994, 0.8900000000000006, 1.2199999999999989]","[1.2124582869855274, 0.2946244927455674, 0.4099722991689801, 2.218392082731002, 1.6514961574099314, -0.9570442911195185, 1.0392340028024294, 1.29319482722069]",2023-09-28 23:16:18,0.875,EMA_RSI_ADX_BB_P1_L.75_AV_1H_STOCK_RESULTS,2023-09-05 15:00:00+00:00,23
INFN,ALGO_EMA_RSI_ADX_BB_CGPT,7,6,1,0.0343,1.0000,0.8107,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.04999999999999982, -0.009999999999999787, 0.020000000000000462, 0.03500000000000014, 0.054999999999999716, 0.02999999999999936, 0.0600000000000005]","[1.1507479861910201, -0.23255813953487878, 0.4656577415599642, 0.8293838862559275, 1.3110846245530323, 0.7290400972053307, 1.4218009478673106]",2023-09-28 23:14:26,0.8571428571428571,EMA_RSI_ADX_BB_P1_L.75_AV_1H_STOCK_RESULTS,2023-09-20 14:00:00+00:00,8
ANIP,ALGO_EMA_RSI_ADX_BB_CGPT,10,10,0,0.3906,1.0000,0.6383,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.020000000000003126, 1.0450000000000017, 0.4099999999999966, 0.7710000000000008, 0.12000000000000455, 0.22999999999999687, 0.030000000000001137, 0.3049999999999997, 0.125, 0.8500000000000014]","[0.032743942370666544, 1.7820600272851324, 0.6482213438735124, 1.2285482097614622, 0.19461563412261523, 0.372771474878439, 0.0484966052376352, 0.49372723593686724, 0.20085161082991887, 1.3812154696132621]",2023-09-28 23:05:00,1.0,EMA_RSI_ADX_BB_P1_L.75_AV_1H_STOCK_RESULTS,2023-09-18 13:00:00+00:00,10
ODFL,ALGO_EMA_RSI_ADX_BB_CGPT,8,7,1,2.3609,1.3750,0.5698,"[1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0]","[2.5850000000000364, 0.9049999999999727, 0.9089999999999918, 0.5299999999999727, 1.0130000000000337, 9.900000000000034, 3.2450000000000045, -0.19999999999998863]","[0.620608027810931, 0.22643964320117416, 0.2254033827865194, 0.12195121951218883, 0.24013844111512272, 2.397036391370677, 0.7745554362095727, -0.04810583283222817]",2023-09-28 23:19:14,0.875,EMA_RSI_ADX_BB_P1_L.75_AV_1H_STOCK_RESULTS,2023-09-13 23:00:00+00:00,15
TRHC,ALGO_EMA_RSI_ADX_BB_CGPT,9,8,1,0.0550,1.1111,0.5459,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0]","[0.019999999999999574, 0.019999999999999574, 0.005000000000000782, -0.009999999999999787, 0.009999999999999787, 0.03999999999999915, 0.030000000000001137, 0.03500000000000014, 0.34500000000000064]","[0.19512195121950804, 0.19531249999999584, 0.04873294346979319, -0.09727626459143762, 0.09746588693956908, 0.3906249999999917, 0.29211295034080953, 0.34079844206426624, 3.4500000000000064]",2023-09-28 23:24:48,0.8888888888888888,EMA_RSI_ADX_BB_P1_L.75_AV_1H_STOCK_RESULTS,2023-09-22 14:00:00+00:00,6
UHAL,ALGO_EMA_RSI_ADX_BB_CGPT,8,7,1,0.3160,1.0000,0.5407,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.8500000000000014, 0.37999999999999545, -0.03999999999999915, 0.19000000000000483, 0.6300000000000026, 0.2779999999999987, 0.15000000000000568, 0.09000000000000341]","[1.4164305949008522, 0.652024708304728, -0.0701631292755642, 0.3334503334503419, 1.0888351192533747, 0.4860139860139837, 0.26210029704701326, 0.15726017822820798]",2023-09-28 23:25:27,0.875,EMA_RSI_ADX_BB_P1_L.75_AV_1H_STOCK_RESULTS,2023-09-21 17:00:00+00:00,7
TIGR,ALGO_EMA_RSI_ADX_BB_CGPT,10,9,1,0.0188,1.1000,0.4157,"[1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.020000000000000018, 0.010000000000000231, 0.030999999999999694, 0.028999999999999915, -0.06999999999999984, 0.018000000000000238, 0.01499999999999968, 0.03000000000000025, 0.09499999999999975, 0.009999999999999787]","[0.6557377049180334, 0.3300330033003377, 0.805404001039223, 0.7530511555440124, -1.8567639257294388, 0.4787234042553255, 0.29585798816567416, 0.5893909626719106, 1.9019019019018968, 0.2032520325203209]",2023-09-28 23:24:25,0.9,EMA_RSI_ADX_BB_P1_L.75_AV_1H_STOCK_RESULTS,2023-09-19 22:00:00+00:00,9
MNST,ALGO_EMA_RSI_ADX_BB_CGPT,7,6,1,0.1543,1.4286,0.2668,"[3.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0]","[0.35999999999999943, 0.14999999999999858, 0.05000000000000426, 0.25499999999999545, 0.0, 0.16499999999999915, 0.10000000000000142]","[0.6227296315516336, 0.25862068965517, 0.0875350140056097, 0.4380314351971063, 0.0, 0.28660760812923247, 0.1741250217656302]",2023-09-28 23:17:25,0.8571428571428571,EMA_RSI_ADX_BB_P1_L.75_AV_1H_STOCK_RESULTS,2023-08-31 21:00:00+00:00,28
FLNC,ALGO_EMA_RSI_ADX_BB_CGPT,8,7,1,0.0163,1.0000,0.0570,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.16000000000000014, 0.4200000000000017, 0.05000000000000071, -0.8999999999999986, 0.245000000000001, 0.08500000000000085, 0.0400000000000027, 0.030000000000001137]","[0.5572971090212474, 1.536210680321879, 0.18453589223104155, -3.396226415094334, 0.966660090747686, 0.332161000390781, 0.1569242840329647, 0.11806375442739528]",2023-09-28 23:11:35,0.875,EMA_RSI_ADX_BB_P1_L.75_AV_1H_STOCK_RESULTS,2023-09-11 21:00:00+00:00,17
PNNT,ALGO_KAMA_STOCHRSI_VWAP_CGPT,8,7,1,0.0744,3.3750,1.1560,"[2.0, 2.0, 1.0, 3.0, 7.0, 1.0, 7.0, 4.0]","[0.09700000000000042, 0.08000000000000007, 0.07699999999999996, 0.0, 0.06099999999999994, 0.15499999999999936, 0.05600000000000005, 0.06899999999999995]","[1.5177593490846568, 1.2507817385866178, 1.1624396135265695, 0.0, 0.9552145317882861, 2.4279448621553783, 0.8676789587852501, 1.0662957811775606]",2023-09-29 01:30:37,0.875,KAMA_STOCHRSI_VWAP_P1_L.75_AV_1H_STOCK_RESULTS,2023-09-15 10:00:00+00:00,13
MYGN,ALGO_KAMA_STOCHRSI_VWAP_CGPT,7,6,1,0.1769,1.2857,1.0747,"[1.0, 2.0, 1.0, 1.0, 1.0, 2.0, 1.0]","[-0.029999999999997584, 0.19500000000000028, 0.00999999999999801, 0.3399999999999981, 0.26799999999999713, 0.1700000000000017, 0.28500000000000014]","[-0.16949152542371518, 1.1070110701107028, 0.05534034311011628, 2.1628498727735246, 1.6645962732919077, 1.0234798314268616, 1.679434295816147]",2023-09-29 01:28:23,0.8571428571428571,KAMA_STOCHRSI_VWAP_P1_L.75_AV_1H_STOCK_RESULTS,2023-09-19 19:00:00+00:00,9
DHR,ALGO_KAMA_STOCHRSI_VWAP_CGPT,8,7,1,2.6138,1.7500,1.0400,"[1.0, 2.0, 1.0, 1.0, 1.0, 3.0, 2.0, 3.0]","[8.400000000000006, 2.700000000000017, 3.75, 4.7900000000000205, 0.0, 0.4000000000000341, 0.8299999999999841, 0.03999999999999204]","[3.437269825681318, 1.0550996483001238, 1.4691478942213516, 1.8779894926683998, 0.0, 0.15164726845358992, 0.31300675038653847, 0.0156862745098008]",2023-09-29 01:20:47,0.875,KAMA_STOCHRSI_VWAP_P1_L.75_AV_1H_STOCK_RESULTS,2023-09-18 12:00:00+00:00,10
PTON,ALGO_KAMA_STOCHRSI_VWAP_CGPT,7,6,1,0.0563,1.0000,0.8207,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.019999999999999574, 0.10899999999999999, 0.04999999999999982, 0.05000000000000071, 0.125, 0.0, 0.040000000000000036]","[0.2083333333333289, 1.1719169981722395, 0.7936507936507908, 0.78247261345854, 1.924557351809084, 0.0, 0.8639308855291584]",2023-09-29 01:31:17,0.8571428571428571,KAMA_STOCHRSI_VWAP_P1_L.75_AV_1H_STOCK_RESULTS,2023-09-27 20:00:00+00:00,1
ROCK,ALGO_RSI_EMA_ADX_CGPT,9,8,1,0.3206,2.0000,0.4455,"[4.0, 1.0, 2.0, 1.0, 1.0, 1.0, 2.0, 1.0, 5.0]","[0.010000000000005116, 0.07000000000000739, 0.7349999999999994, 0.29000000000000625, 0.5900000000000034, 0.24500000000000455, 0.28000000000000114, -0.06999999999999318, 0.7349999999999994]","[0.013987970345510026, 0.09749303621170946, 1.036598265284535, 0.4051977085371053, 0.820013898540658, 0.32773727509866174, 0.38986354775828624, -0.0967786533941562, 1.0154738878143126]",2023-09-28 21:00:27,0.8888888888888888,RSI_EMA_ADX_CGPT_P1_L.75_AV_1H_STOCK_RESULTS,2023-09-06 14:00:00+00:00,22
PHVS,ALGO_SMA_KAMA_OBV_MFI_VWAP_CGPT,7,6,1,0.2743,1.1429,1.4621,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0]","[0.5649999999999977, 0.060000000000002274, 0.5150000000000006, 0.3150000000000013, 0.4700000000000024, 0.04499999999999815, -0.04999999999999716]","[3.265895953757212, 0.31479538300106125, 2.6928104575163427, 1.637639719261769, 2.3429710867397926, 0.22069641981362506, -0.24003840614496957]",2023-09-29 02:15:47,0.8571428571428571,SMA_KAMA_OBV_MFI_VWAP_P1_L.75_AV_1H_STOCK_RESULTS,2023-09-14 17:00:00+00:00,14
LIN,ALGO_SMA_KAMA_OBV_MFI_VWAP_CGPT,7,6,1,1.9426,1.1429,0.5208,"[1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[-1.0219999999999914, 1.2160000000000082, 0.26400000000001, 0.01999999999998181, 1.525000000000034, 9.470000000000027, 2.125]","[-0.2648999756354208, 0.3175390721905256, 0.07060994690881153, 0.005309180103311816, 0.40368264455810227, 2.539214371899726, 0.5743243243243243]",2023-09-29 02:11:25,0.8571428571428571,SMA_KAMA_OBV_MFI_VWAP_P1_L.75_AV_1H_STOCK_RESULTS,2023-09-25 14:00:00+00:00,3
