symbol,strategy_name,trades,profitable_trades,loss_trades,average_profit,average_trade_days,average_percent_profit,median_percent_profit,percent_wins,last_sale_date,last_sell_date_diff,table_name,trades_buy_dates,trades_sell_dates,trades_days,trades_profit,trades_percent,last_update
VEON,ALGO_EMA_RSI_ADX_BB_CGPT,7,6,1,0.3603,1.4286,1.9216,1.5789473684210564,0.8571428571428571,2023-10-10 22:00:00+00:00,12,EMA_RSI_ADX_BB_P1_L.75_AV_1H_STOCK_RESULTS,"[2023-09-20T13:00:00+00:00, 2023-09-22T21:00:00+00:00, 2023-10-03T21:00:00+00:00, 2023-10-05T11:00:00+00:00, 2023-10-06T19:00:00+00:00, 2023-10-09T08:00:00+00:00, 2023-10-10T20:00:00+00:00]","[2023-09-20T15:00:00+00:00, 2023-09-25T14:00:00+00:00, 2023-10-04T13:00:00+00:00, 2023-10-05T12:00:00+00:00, 2023-10-06T20:00:00+00:00, 2023-10-09T10:00:00+00:00, 2023-10-10T22:00:00+00:00]","[1.0, 3.0, 2.0, 1.0, 1.0, 1.0, 1.0]","[0.6400000000000006, 0.4800000000000004, 1.0100000000000016, 0.3000000000000007, 0.14999999999999858, -0.14999999999999858, 0.09199999999999875]","[3.4316353887399496, 2.587601078167118, 5.315789473684219, 1.5789473684210564, 0.8064516129032182, -0.769230769230762, 0.4997827031725269]",2023-10-17 04:40:17
EWTX,ALGO_EMA_RSI_ADX_BB_CGPT,7,6,1,0.0693,1.0000,1.0434,1.1380880121396082,0.8571428571428571,2023-10-12 18:00:00+00:00,10,EMA_RSI_ADX_BB_P1_L.75_AV_1H_STOCK_RESULTS,"[2023-08-21T14:00:00+00:00, 2023-08-24T16:00:00+00:00, 2023-08-24T18:00:00+00:00, 2023-08-25T15:00:00+00:00, 2023-10-09T14:00:00+00:00, 2023-10-10T12:00:00+00:00, 2023-10-12T17:00:00+00:00]","[2023-08-21T15:00:00+00:00, 2023-08-24T17:00:00+00:00, 2023-08-24T19:00:00+00:00, 2023-08-25T16:00:00+00:00, 2023-10-09T15:00:00+00:00, 2023-10-10T13:00:00+00:00, 2023-10-12T18:00:00+00:00]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.009999999999999787, -0.04499999999999993, 0.03000000000000025, 0.11000000000000032, 0.07500000000000018, 0.16000000000000014, 0.14500000000000046]","[0.14367816091953717, -0.6306937631394525, 0.4225352112676091, 1.5625000000000044, 1.1380880121396082, 2.4539877300613524, 2.213740458015274]",2023-10-17 03:41:46
SBT,ALGO_EMA_RSI_ADX_BB_CGPT,7,6,1,0.0559,1.2857,0.9559,1.0256410256410342,0.8571428571428571,2023-10-16 14:00:00+00:00,6,EMA_RSI_ADX_BB_P1_L.75_AV_1H_STOCK_RESULTS,"[2023-08-31T20:00:00+00:00, 2023-09-01T13:00:00+00:00, 2023-09-12T20:00:00+00:00, 2023-09-13T18:00:00+00:00, 2023-09-18T20:00:00+00:00, 2023-10-12T19:00:00+00:00, 2023-10-13T20:00:00+00:00]","[2023-08-31T21:00:00+00:00, 2023-09-01T14:00:00+00:00, 2023-09-13T14:00:00+00:00, 2023-09-13T19:00:00+00:00, 2023-09-19T13:00:00+00:00, 2023-10-12T20:00:00+00:00, 2023-10-16T14:00:00+00:00]","[1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 2.0]","[-0.05900000000000016, 0.08999999999999986, 0.1299999999999999, 0.040000000000000036, 0.019999999999999574, 0.0600000000000005, 0.11000000000000032]","[-0.9917633215666527, 1.5228426395939063, 2.2033898305084727, 0.6861063464837056, 0.3389830508474504, 1.0256410256410342, 1.9064124783362275]",2023-10-17 04:26:33
KRTX,ALGO_EMA_RSI_ADX_BB_CGPT,7,6,1,1.5650,1.1429,0.8964,0.27062134661182075,0.8571428571428571,2023-10-16 15:00:00+00:00,6,EMA_RSI_ADX_BB_P1_L.75_AV_1H_STOCK_RESULTS,"[2023-09-06T15:00:00+00:00, 2023-09-06T17:00:00+00:00, 2023-09-07T16:00:00+00:00, 2023-09-11T12:00:00+00:00, 2023-10-13T14:00:00+00:00, 2023-10-13T16:00:00+00:00, 2023-10-16T14:00:00+00:00]","[2023-09-06T16:00:00+00:00, 2023-09-06T18:00:00+00:00, 2023-09-07T17:00:00+00:00, 2023-09-11T14:00:00+00:00, 2023-10-13T15:00:00+00:00, 2023-10-13T17:00:00+00:00, 2023-10-16T15:00:00+00:00]","[1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0]","[0.060000000000002274, 0.4000000000000057, 0.5, 5.389999999999986, -2.2399999999999807, 3.4399999999999977, 3.405000000000001]","[0.032393909944931576, 0.216567406605309, 0.27062134661182075, 3.000946495184002, -1.2963713177845828, 2.0440419741642586, 2.0063637970655828]",2023-10-17 04:01:45
AMWD,ALGO_EMA_RSI_ADX_BB_CGPT,7,6,1,0.5371,1.0000,0.7125,0.67778229632642,0.8571428571428571,2023-10-13 14:00:00+00:00,9,EMA_RSI_ADX_BB_P1_L.75_AV_1H_STOCK_RESULTS,"[2023-09-05T14:00:00+00:00, 2023-09-13T14:00:00+00:00, 2023-09-15T17:00:00+00:00, 2023-09-29T22:00:00+00:00, 2023-10-03T15:00:00+00:00, 2023-10-12T15:00:00+00:00, 2023-10-13T13:00:00+00:00]","[2023-09-05T15:00:00+00:00, 2023-09-13T15:00:00+00:00, 2023-09-15T18:00:00+00:00, 2023-10-02T13:00:00+00:00, 2023-10-03T16:00:00+00:00, 2023-10-12T16:00:00+00:00, 2023-10-13T14:00:00+00:00]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.6899999999999977, 1.6650000000000063, 0.3049999999999926, -0.46999999999999886, 0.5, 1.0300000000000011, 0.04000000000000625]","[0.906463478717811, 2.210568242166764, 0.40526175923464336, -0.6216108980293596, 0.67778229632642, 1.3568699776050601, 0.05244526025961224]",2023-10-17 03:17:05
AZN,ALGO_EMA_RSI_ADX_BB_CGPT,7,6,1,0.4019,1.4286,0.5917,0.37741434174497956,0.8571428571428571,2023-09-27 19:00:00+00:00,25,EMA_RSI_ADX_BB_P1_L.75_AV_1H_STOCK_RESULTS,"[2023-08-04T11:00:00+00:00, 2023-08-11T13:00:00+00:00, 2023-08-15T09:00:00+00:00, 2023-09-18T14:00:00+00:00, 2023-09-21T20:00:00+00:00, 2023-09-26T22:00:00+00:00, 2023-09-27T18:00:00+00:00]","[2023-08-04T12:00:00+00:00, 2023-08-11T14:00:00+00:00, 2023-08-15T12:00:00+00:00, 2023-09-18T16:00:00+00:00, 2023-09-21T21:00:00+00:00, 2023-09-26T23:00:00+00:00, 2023-09-27T19:00:00+00:00]","[1.0, 1.0, 3.0, 2.0, 1.0, 1.0, 1.0]","[0.25799999999999557, 0.769999999999996, -0.3999999999999915, 0.015000000000000568, 0.7150000000000034, 1.2000000000000028, 0.25499999999999545]","[0.37630174148944834, 1.1095100864553256, -0.5739704405223008, 0.022398088696432086, 1.066606996345198, 1.7639276789651666, 0.37741434174497956]",2023-10-17 03:20:52
BIIB,ALGO_EMA_RSI_ADX_BB_CGPT,8,7,1,1.5371,1.3750,0.5859,0.5541848235460554,0.875,2023-10-12 19:00:00+00:00,10,EMA_RSI_ADX_BB_P1_L.75_AV_1H_STOCK_RESULTS,"[2023-08-10T18:00:00+00:00, 2023-08-15T14:00:00+00:00, 2023-09-05T20:00:00+00:00, 2023-09-06T08:00:00+00:00, 2023-09-06T14:00:00+00:00, 2023-10-09T23:00:00+00:00, 2023-10-12T15:00:00+00:00, 2023-10-12T18:00:00+00:00]","[2023-08-10T19:00:00+00:00, 2023-08-15T15:00:00+00:00, 2023-09-05T21:00:00+00:00, 2023-09-06T10:00:00+00:00, 2023-09-06T17:00:00+00:00, 2023-10-10T12:00:00+00:00, 2023-10-12T17:00:00+00:00, 2023-10-12T19:00:00+00:00]","[1.0, 1.0, 1.0, 1.0, 3.0, 1.0, 2.0, 1.0]","[1.75, 1.8199999999999932, 0.8799999999999955, 1.6999999999999886, 1.2299999999999613, 6.759999999999991, -2.495999999999981, 0.65300000000002]","[0.6507269549696947, 0.6764541906708764, 0.33044196612969673, 0.6384017424612222, 0.46996790463088844, 2.617517230697743, -0.9479824987846306, 0.251371379078056]",2023-10-17 03:22:54
TRHC,ALGO_EMA_RSI_ADX_BB_CGPT,9,8,1,0.0550,1.1111,0.5459,0.19531249999999584,0.8888888888888888,2023-09-22 14:00:00+00:00,30,EMA_RSI_ADX_BB_P1_L.75_AV_1H_STOCK_RESULTS,"[2023-08-18T13:00:00+00:00, 2023-08-22T12:00:00+00:00, 2023-08-23T13:00:00+00:00, 2023-08-25T13:00:00+00:00, 2023-09-05T13:00:00+00:00, 2023-09-05T22:00:00+00:00, 2023-09-13T22:00:00+00:00, 2023-09-21T13:00:00+00:00, 2023-09-22T12:00:00+00:00]","[2023-08-18T14:00:00+00:00, 2023-08-22T13:00:00+00:00, 2023-08-23T14:00:00+00:00, 2023-08-25T14:00:00+00:00, 2023-09-05T14:00:00+00:00, 2023-09-06T12:00:00+00:00, 2023-09-14T13:00:00+00:00, 2023-09-21T14:00:00+00:00, 2023-09-22T14:00:00+00:00]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0]","[0.019999999999999574, 0.019999999999999574, 0.005000000000000782, -0.009999999999999787, 0.009999999999999787, 0.03999999999999915, 0.030000000000001137, 0.03500000000000014, 0.34500000000000064]","[0.19512195121950804, 0.19531249999999584, 0.04873294346979319, -0.09727626459143762, 0.09746588693956908, 0.3906249999999917, 0.29211295034080953, 0.34079844206426624, 3.4500000000000064]",2023-10-17 04:36:43
CPRI,ALGO_EMA_RSI_ADX_BB_CGPT,7,6,1,0.1771,1.0000,0.3396,0.1351351351351357,0.8571428571428571,2023-09-25 13:00:00+00:00,27,EMA_RSI_ADX_BB_P1_L.75_AV_1H_STOCK_RESULTS,"[2023-08-17T21:00:00+00:00, 2023-08-24T21:00:00+00:00, 2023-09-01T13:00:00+00:00, 2023-09-05T13:00:00+00:00, 2023-09-07T22:00:00+00:00, 2023-09-20T13:00:00+00:00, 2023-09-25T12:00:00+00:00]","[2023-08-17T22:00:00+00:00, 2023-08-24T22:00:00+00:00, 2023-09-01T14:00:00+00:00, 2023-09-05T14:00:00+00:00, 2023-09-07T23:00:00+00:00, 2023-09-20T14:00:00+00:00, 2023-09-25T13:00:00+00:00]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.03999999999999915, 0.07000000000000028, 0.7199999999999989, 0.1699999999999946, 0.0, 0.1699999999999946, 0.07000000000000028]","[0.07753440589261318, 0.1351351351351357, 1.383019592777562, 0.32343987823438847, 0.0, 0.3241182078169582, 0.1342539317222867]",2023-10-17 03:31:23
JBHT,ALGO_EMA_RSI_ADX_BB_CGPT,9,8,1,0.6194,1.0000,0.3247,0.19076305220884734,0.8888888888888888,2023-10-16 14:00:00+00:00,6,EMA_RSI_ADX_BB_P1_L.75_AV_1H_STOCK_RESULTS,"[2023-08-14T14:00:00+00:00, 2023-08-15T18:00:00+00:00, 2023-09-19T16:00:00+00:00, 2023-09-21T13:00:00+00:00, 2023-09-21T15:00:00+00:00, 2023-09-21T20:00:00+00:00, 2023-09-22T13:00:00+00:00, 2023-10-12T18:00:00+00:00, 2023-10-16T13:00:00+00:00]","[2023-08-14T15:00:00+00:00, 2023-08-15T19:00:00+00:00, 2023-09-19T17:00:00+00:00, 2023-09-21T14:00:00+00:00, 2023-09-21T16:00:00+00:00, 2023-09-22T11:00:00+00:00, 2023-09-22T14:00:00+00:00, 2023-10-12T19:00:00+00:00, 2023-10-16T14:00:00+00:00]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.9099999999999966, 0.3800000000000239, 0.30000000000001137, -3.6100000000000136, 0.2849999999999966, 0.07999999999998408, 3.680000000000007, 0.4899999999999807, 3.0600000000000023]","[0.4522413278998095, 0.19076305220884734, 0.15662524798998192, -1.8650547633808707, 0.14941413929591685, 0.04212078134048548, 1.9608887941599655, 0.2560083594566252, 1.5796809663930627]",2023-10-17 03:59:10
