symbol,strategy_name,trades,profitable_trades,loss_trades,average_profit,average_trade_days,average_percent_profit,median_percent_profit,percent_wins,last_sale_date,last_sell_date_diff,table_name,trades_buy_dates,trades_sell_dates,trades_days,trades_profit,trades_percent,last_update,sharpe_ratio
VLUE,ALGO_ADX_28,6,6,0,0.6800,5.3333,0.7648,0.6693274467264221,1.0,2023-11-03 22:00:00+00:00,9,ADX_28_P1_L.75_AV_1H_STOCK_RESULTS,"[2023-10-31T17:00:00+00:00, 2023-11-01T00:00:00+00:00, 2023-11-01T22:00:00+00:00, 2023-11-02T15:00:00+00:00, 2023-11-03T00:00:00+00:00, 2023-11-03T15:00:00+00:00, 2023-11-04T00:00:00+00:00]","[2023-10-31T22:00:00+00:00, 2023-11-01T20:00:00+00:00, 2023-11-02T14:00:00+00:00, 2023-11-02T22:00:00+00:00, 2023-11-03T14:00:00+00:00, 2023-11-03T22:00:00+00:00]","[4.0, 9.0, 4.0, 6.0, 3.0, 6.0]","[0.18000000000000682, 0.769999999999996, 0.9000000000000057, 0.4100000000000108, 1.789999999999992, 0.030000000000001137]","[0.20625644551393016, 0.8805031446540835, 1.0201768306506525, 0.4581517487987605, 1.9911012235817487, 0.03281916639317486]",2023-11-06 19:26:48,1.092841294266939139065098556
BTAL,ALGO_ADX_28,7,6,1,0.1107,4.7143,0.5574,0.4826254826254895,0.8571428571428571,2023-10-27 14:00:00+00:00,16,ADX_28_P1_L.75_AV_1H_STOCK_RESULTS,"[2023-09-15T16:00:00+00:00, 2023-09-18T16:00:00+00:00, 2023-10-20T19:00:00+00:00, 2023-10-25T20:00:00+00:00, 2023-10-25T22:00:00+00:00, 2023-10-26T15:00:00+00:00, 2023-10-27T00:00:00+00:00]","[2023-09-18T15:00:00+00:00, 2023-09-19T15:00:00+00:00, 2023-10-20T22:00:00+00:00, 2023-10-25T21:00:00+00:00, 2023-10-26T14:00:00+00:00, 2023-10-26T22:00:00+00:00, 2023-10-27T14:00:00+00:00]","[9.0, 9.0, 2.0, 1.0, 4.0, 6.0, 2.0]","[0.21999999999999886, 0.259999999999998, 0.10000000000000142, 0.0, 0.14999999999999858, 0.02499999999999858, 0.019999999999999574]","[1.1476264997391696, 1.3436692506459844, 0.4826254826254895, 0.0, 0.7142857142857075, 0.1187930624851441, 0.09492168960607296]",2023-11-06 17:47:46,1.013386063455789317662186891
FCFS,ALGO_EMA_RSI_ADX_BB_CGPT,7,6,1,1.2593,1.0000,1.2377,0.36439874207557016,0.8571428571428571,2023-11-02 08:00:00+00:00,10,EMA_RSI_ADX_BB_P1_L.75_AV_1H_STOCK_RESULTS,"[2023-10-12T18:00:00+00:00, 2023-10-13T16:00:00+00:00, 2023-10-13T20:00:00+00:00, 2023-10-20T16:00:00+00:00, 2023-10-20T20:00:00+00:00, 2023-10-26T13:00:00+00:00, 2023-11-01T21:00:00+00:00]","[2023-10-12T19:00:00+00:00, 2023-10-13T17:00:00+00:00, 2023-10-16T11:00:00+00:00, 2023-10-20T17:00:00+00:00, 2023-10-23T12:00:00+00:00, 2023-10-26T14:00:00+00:00, 2023-11-02T08:00:00+00:00]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.3649999999999949, -0.10999999999999943, 1.789999999999992, 0.3399999999999892, 0.23999999999999488, 5.319999999999993, 0.8699999999999903]","[0.36439874207557016, -0.11003300990297034, 1.7962870045157973, 0.33294163728945275, 0.23584905660376854, 5.234159779614318, 0.8100558659217787]",2023-11-06 23:18:51,0.6843905483627846257551597388
GTLB,ALGO_EMA_RSI_ADX_BB_CGPT,10,9,1,0.5768,1.1000,1.2356,0.4057475468115974,0.9,2023-10-19 12:00:00+00:00,24,EMA_RSI_ADX_BB_P1_L.75_AV_1H_STOCK_RESULTS,"[2023-09-12T21:00:00+00:00, 2023-09-14T17:00:00+00:00, 2023-09-15T14:00:00+00:00, 2023-10-12T21:00:00+00:00, 2023-10-13T22:00:00+00:00, 2023-10-17T11:00:00+00:00, 2023-10-18T17:00:00+00:00, 2023-10-18T19:00:00+00:00, 2023-10-18T22:00:00+00:00, 2023-10-19T11:00:00+00:00]","[2023-09-12T22:00:00+00:00, 2023-09-14T18:00:00+00:00, 2023-09-15T16:00:00+00:00, 2023-10-12T22:00:00+00:00, 2023-10-16T12:00:00+00:00, 2023-10-17T12:00:00+00:00, 2023-10-18T18:00:00+00:00, 2023-10-18T20:00:00+00:00, 2023-10-18T23:00:00+00:00, 2023-10-19T12:00:00+00:00]","[1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.04999999999999716, 0.8300000000000054, 0.10999999999999943, 2.3200000000000003, 1.5799999999999983, 0.010000000000005116, 0.07799999999999585, 0.2700000000000031, -0.20000000000000284, 0.7199999999999989]","[0.09697439875872217, 1.6727126158807042, 0.22821576763485357, 4.943532921372258, 3.4786437692646373, 0.021317416329151816, 0.16817593790426014, 0.5832793259883412, -0.4365858982754918, 1.5996445234392334]",2023-11-06 23:23:14,0.7145690723387378287373863284
TRHC,ALGO_EMA_RSI_ADX_BB_CGPT,7,6,1,0.1067,1.1429,1.0598,0.29211295034080953,0.8571428571428571,2023-11-02 13:00:00+00:00,10,EMA_RSI_ADX_BB_P1_L.75_AV_1H_STOCK_RESULTS,"[2023-09-13T22:00:00+00:00, 2023-09-21T13:00:00+00:00, 2023-09-22T12:00:00+00:00, 2023-10-20T16:00:00+00:00, 2023-10-25T13:00:00+00:00, 2023-10-26T21:00:00+00:00, 2023-11-02T12:00:00+00:00]","[2023-09-14T13:00:00+00:00, 2023-09-21T14:00:00+00:00, 2023-09-22T14:00:00+00:00, 2023-10-20T17:00:00+00:00, 2023-10-25T14:00:00+00:00, 2023-10-27T13:00:00+00:00, 2023-11-02T13:00:00+00:00]","[1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0]","[0.030000000000001137, 0.03500000000000014, 0.34500000000000064, 0.005000000000000782, 0.0, 0.010000000000001563, 0.32200000000000095]","[0.29211295034080953, 0.34079844206426624, 3.4500000000000064, 0.048146364949453846, 0.0, 0.09643201542913755, 3.191278493557988]",2023-11-06 23:47:56,0.6989791460050795750467784611
CIVI,ALGO_EMA_RSI_ADX_BB_CGPT,8,7,1,0.7495,1.2500,0.9502,0.8559433903280951,0.875,2023-10-26 15:00:00+00:00,17,EMA_RSI_ADX_BB_P1_L.75_AV_1H_STOCK_RESULTS,"[2023-09-05T13:00:00+00:00, 2023-09-11T19:00:00+00:00, 2023-09-19T18:00:00+00:00, 2023-09-20T17:00:00+00:00, 2023-09-29T18:00:00+00:00, 2023-10-02T08:00:00+00:00, 2023-10-23T14:00:00+00:00, 2023-10-26T14:00:00+00:00]","[2023-09-05T14:00:00+00:00, 2023-09-11T21:00:00+00:00, 2023-09-19T20:00:00+00:00, 2023-09-20T18:00:00+00:00, 2023-09-29T19:00:00+00:00, 2023-10-02T09:00:00+00:00, 2023-10-23T15:00:00+00:00, 2023-10-26T15:00:00+00:00]","[1.0, 2.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[2.1159999999999997, 1.4699999999999989, -0.11999999999999034, 0.12099999999999511, 0.7590000000000003, 0.010000000000005116, 1.059999999999988, 0.5799999999999983]","[2.6842913141102893, 1.8142996433111573, -0.1469507714915385, 0.14940300534639903, 0.944487997909434, 0.01236705416770358, 1.3759086188992575, 0.7673987827467562]",2023-11-06 23:11:16,0.9775668740746004737874669670
WSM,ALGO_EMA_RSI_ADX_BB_CGPT,14,12,2,0.8579,1.2857,0.5693,0.5714739706196673,0.8571428571428571,2023-10-20 23:00:00+00:00,22,EMA_RSI_ADX_BB_P1_L.75_AV_1H_STOCK_RESULTS,"[2023-09-05T14:00:00+00:00, 2023-09-19T14:00:00+00:00, 2023-09-19T17:00:00+00:00, 2023-09-20T22:00:00+00:00, 2023-09-21T13:00:00+00:00, 2023-10-02T17:00:00+00:00, 2023-10-02T19:00:00+00:00, 2023-10-03T15:00:00+00:00, 2023-10-03T18:00:00+00:00, 2023-10-13T19:00:00+00:00, 2023-10-16T09:00:00+00:00, 2023-10-17T10:00:00+00:00, 2023-10-18T19:00:00+00:00, 2023-10-20T22:00:00+00:00]","[2023-09-05T15:00:00+00:00, 2023-09-19T16:00:00+00:00, 2023-09-19T18:00:00+00:00, 2023-09-20T23:00:00+00:00, 2023-09-21T14:00:00+00:00, 2023-10-02T18:00:00+00:00, 2023-10-02T20:00:00+00:00, 2023-10-03T17:00:00+00:00, 2023-10-03T19:00:00+00:00, 2023-10-13T20:00:00+00:00, 2023-10-16T12:00:00+00:00, 2023-10-17T12:00:00+00:00, 2023-10-18T20:00:00+00:00, 2023-10-20T23:00:00+00:00]","[1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 2.0, 2.0, 1.0, 1.0]","[1.6800000000000068, 0.695999999999998, 0.14500000000001023, 1.3670000000000186, 0.7099999999999795, -0.46000000000000796, 1.464999999999975, 0.3300000000000125, 1.0050000000000239, 0.20000000000001705, 1.740000000000009, 2.117999999999995, 1.01400000000001, 0.0]","[1.1828486939379053, 0.4918588873812741, 0.10204081632653782, 0.966740451051264, 0.5024769992922714, -0.29875949860362927, 0.9591776606540576, 0.21938571998405298, 0.6710513137248516, 0.12397718819738225, 1.078802157604321, 1.3301847688191597, 0.6404709419470632, 0.0]",2023-11-06 23:52:23,1.079139914379057721308191077
FRHC,ALGO_EMA_RSI_ADX_BB_CGPT,7,6,1,0.4940,1.0000,0.4645,0.8135104520646754,0.8571428571428571,2023-11-06 12:00:00+00:00,6,EMA_RSI_ADX_BB_P1_L.75_AV_1H_STOCK_RESULTS,"[2023-08-31T20:00:00+00:00, 2023-09-01T14:00:00+00:00, 2023-09-05T14:00:00+00:00, 2023-09-06T13:00:00+00:00, 2023-09-06T15:00:00+00:00, 2023-09-06T17:00:00+00:00, 2023-11-03T23:00:00+00:00]","[2023-08-31T22:00:00+00:00, 2023-09-01T15:00:00+00:00, 2023-09-05T15:00:00+00:00, 2023-09-06T14:00:00+00:00, 2023-09-06T16:00:00+00:00, 2023-09-06T18:00:00+00:00, 2023-11-06T12:00:00+00:00]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.18000000000000682, 1.5949999999999989, 1.6829999999999927, 0.7900000000000063, 0.20000000000000284, 1.2000000000000028, -2.1899999999999977]","[0.18300122000814031, 1.6528497409326413, 1.7296130722984353, 0.8135104520646754, 0.20733982998134237, 1.2658227848101298, -2.600950118764843]",2023-11-06 23:20:39,0.2961135063513937506749610813
SAH,ALGO_EMA_RSI_ADX_BB_CGPT,10,9,1,0.1573,1.1000,0.3119,0.39023211033233096,0.9,2023-10-30 18:00:00+00:00,13,EMA_RSI_ADX_BB_P1_L.75_AV_1H_STOCK_RESULTS,"[2023-09-06T18:00:00+00:00, 2023-09-07T14:00:00+00:00, 2023-09-08T14:00:00+00:00, 2023-09-13T14:00:00+00:00, 2023-09-18T19:00:00+00:00, 2023-09-19T14:00:00+00:00, 2023-09-19T20:00:00+00:00, 2023-09-19T23:00:00+00:00, 2023-10-24T11:00:00+00:00, 2023-10-30T17:00:00+00:00]","[2023-09-06T19:00:00+00:00, 2023-09-07T15:00:00+00:00, 2023-09-08T15:00:00+00:00, 2023-09-13T15:00:00+00:00, 2023-09-18T20:00:00+00:00, 2023-09-19T16:00:00+00:00, 2023-09-19T22:00:00+00:00, 2023-09-20T13:00:00+00:00, 2023-10-24T12:00:00+00:00, 2023-10-30T18:00:00+00:00]","[1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0]","[0.07000000000000028, -0.7349999999999994, 0.4070000000000036, 0.6859999999999999, 0.26500000000000057, 0.4299999999999997, 0.020000000000003126, 0.14000000000000057, 0.00999999999999801, 0.28000000000000114]","[0.1343879588388886, -1.412158007992621, 0.7904140449001857, 1.3395036416534862, 0.5095663878473234, 0.832526621490803, 0.03871467286102038, 0.27089783281733854, 0.02203128442387753, 0.5935976256094999]",2023-11-06 23:41:57,0.3679512130557444095589488768
ACRE,ALGO_EMA_RSI_ADX_BB_CGPT,10,9,1,0.0299,1.1000,0.3091,0.26081233021371497,0.9,2023-10-19 21:00:00+00:00,24,EMA_RSI_ADX_BB_P1_L.75_AV_1H_STOCK_RESULTS,"[2023-09-06T15:00:00+00:00, 2023-09-07T08:00:00+00:00, 2023-09-13T14:00:00+00:00, 2023-09-13T19:00:00+00:00, 2023-09-14T12:00:00+00:00, 2023-09-20T20:00:00+00:00, 2023-09-20T23:00:00+00:00, 2023-09-21T11:00:00+00:00, 2023-09-21T14:00:00+00:00, 2023-10-19T20:00:00+00:00]","[2023-09-06T16:00:00+00:00, 2023-09-07T11:00:00+00:00, 2023-09-13T15:00:00+00:00, 2023-09-13T21:00:00+00:00, 2023-09-14T13:00:00+00:00, 2023-09-20T21:00:00+00:00, 2023-09-21T08:00:00+00:00, 2023-09-21T12:00:00+00:00, 2023-09-21T15:00:00+00:00, 2023-10-19T21:00:00+00:00]","[1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.02800000000000047, 0.009999999999999787, 0.02400000000000091, 0.04300000000000104, 0.002000000000000668, 0.008999999999998565, -0.028999999999999915, 0.05799999999999983, 0.05400000000000027, 0.09999999999999964]","[0.2826284445341725, 0.10060362173038015, 0.23899621589325742, 0.43025815489294617, 0.020062192797679484, 0.08983829107604875, -0.289478937911758, 0.578957875823516, 0.54967426710098, 1.0893246187363796]",2023-11-06 23:03:12,0.7037976108350130690244488830
