symbol,strategy_name,trades,profitable_trades,loss_trades,average_profit,average_trade_days,average_percent_profit,trades_days,trades_profit,trades_percent,last_update,percent_wins,table_name,last_sale_date,last_sell_date_diff
SFP-USDT:USDT,ALGO_ADX_28,15,15,0,0.0115,10.7333,2.0756,"[12.0, 2.0, 9.0, 1.0, 5.0, 63.0, 6.0, 1.0, 3.0, 3.0, 32.0, 9.0, 2.0, 1.0, 12.0]","[0.0020000000000000018, 0.01200000000000001, 0.014000000000000012, 0.010000000000000009, 0.010000000000000009, 0.014000000000000012, 0.01100000000000001, 0.01200000000000001, 0.009000000000000008, 0.007000000000000006, 0.007000000000000006, 0.03300000000000003, 0.014000000000000012, 0.006000000000000005, 0.01100000000000001]","[0.40000000000000036, 2.40963855421687, 2.8000000000000025, 1.9493177387914247, 1.9267822736030844, 2.6666666666666687, 2.0332717190388188, 2.247191011235957, 1.6363636363636376, 1.1844331641285966, 1.170568561872911, 5.463576158940402, 2.430555555555558, 0.9950248756218913, 1.8211920529801342]",2023-09-10 21:38:01,1.0,ADX_28_TEST_1H_CRYPTO_ASCENDEX_RESULTS,2023-09-10 21:00:00+00:00,6
SFP-USDT,ALGO_ADX_28,16,16,0,0.0102,9.1250,1.8288,"[16.0, 5.0, 3.0, 2.0, 4.0, 63.0, 6.0, 1.0, 16.0, 2.0, 9.0, 8.0, 1.0, 4.0, 2.0, 4.0]","[0.010099999999999998, 0.004500000000000004, 0.010199999999999987, 0.0046000000000000485, 0.013799999999999923, 0.012199999999999989, 0.011700000000000044, 0.012699999999999934, 0.009099999999999997, 0.00660000000000005, 0.035499999999999976, 0.007600000000000051, 0.007600000000000051, 0.007199999999999984, 0.0043000000000000815, 0.00550000000000006]","[2.0191923230707713, 0.9025270758122752, 2.0194020985943353, 0.8928571428571523, 2.6754556029468635, 2.3149905123339636, 2.1566820276497776, 2.3733881517473243, 1.5428958969142077, 1.1051574012056347, 5.876510511504715, 1.3087652832788101, 1.2607830126078385, 1.1950207468879641, 0.7106263427532775, 0.9059463020919223]",2023-09-10 21:36:00,1.0,ADX_28_TEST_1H_CRYPTO_ASCENDEX_RESULTS,2023-09-10 21:00:00+00:00,6
LRC5L-USDT,ALGO_ADX_28,18,16,2,0.0106,7.6667,1.8125,"[1.0, 1.0, 12.0, 1.0, 77.0, 1.0, 13.0, 3.0, 2.0, 7.0, 4.0, 9.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0]","[-0.0018968200000000213, 0.033306650000000104, 0.2648625199999999, 0.03816722000000006, -0.42097928000000007, 0.02695875999999997, 0.015340240000000005, 0.01784674999999991, 0.01907749999999997, 0.016165109999999983, 0.01318838, 0.021080250000000023, 0.02340591999999997, 0.015693640000000064, 0.023404580000000008, 0.01350676999999989, 0.034904500000000005, 0.03684999]","[-0.2105498925111309, 3.7722019556241944, 30.25405373162941, 3.42665884454093, -36.539391676328314, 3.1957289820359733, 1.79954486538876, 2.0711371958159486, 2.114285571794967, 1.8121535835281015, 1.5223168884637779, 2.42528772884657, 2.6689803229933315, 1.7163057577309477, 2.3514809904091214, 1.3522029610415245, 4.387226851937451, 4.505307008574855]",2023-09-10 21:35:11,0.8888888888888888,ADX_28_TEST_1H_CRYPTO_ASCENDEX_RESULTS,2023-09-10 21:00:00+00:00,6
HIGH-USDT,ALGO_ADX_28,14,13,1,0.0204,11.8571,1.7736,"[7.0, 1.0, 12.0, 3.0, 7.0, 13.0, 1.0, 4.0, 7.0, 11.0, 25.0, 31.0, 2.0, 42.0]","[0.0636000000000001, 0.03059999999999996, 0.024499999999999966, 0.012199999999999989, 0.013900000000000023, 0.02410000000000001, 0.017000000000000126, 0.022299999999999986, 0.021500000000000075, 0.016000000000000014, -0.0029999999999998916, 0.026499999999999968, 0.008499999999999952, 0.008199999999999985]","[5.861751152073742, 2.7204836415362696, 2.1184608733246835, 1.0735656458993301, 1.2158852344296731, 2.0759755362218977, 1.4526189865846473, 1.8872714962762345, 1.8106787940037117, 1.3425071320691404, -0.25083612040132874, 2.1904447016035684, 0.6916192026037389, 0.6398252184769027]",2023-09-10 21:36:31,0.9285714285714286,ADX_28_TEST_1H_CRYPTO_ASCENDEX_RESULTS,2023-09-10 21:00:00+00:00,6
HOT3L-USDT,ALGO_ADX_28,8,7,1,-0.0010,25.1250,0.0926,"[60.0, 1.0, 3.0, 93.0, 3.0, 16.0, 21.0, 4.0]","[-0.07370906999999999, 0.003118989999999988, 0.00772065999999999, 0.006036280000000005, 0.006464950000000025, 0.02901579999999998, 0.0025030999999999803, 0.011183260000000028]","[-16.780557037744227, 0.8288327799392987, 2.04480770638033, 1.5751282400478042, 1.7013790145420804, 7.583629920490774, 0.6195081944938391, 3.168122274948441]",2023-09-10 21:35:57,0.875,ADX_28_TEST_1H_CRYPTO_ASCENDEX_RESULTS,2023-09-10 21:00:00+00:00,6
LUNC3S-USDT,ALGO_ADX_28,7,6,1,-0.0028,31.8571,-0.0925,"[4.0, 3.0, 2.0, 78.0, 134.0, 1.0, 1.0]","[0.03718842000000011, 0.03294786999999988, 0.028205570000000124, 0.0491206500000001, -0.20398567999999995, 0.03232694000000014, 0.004842849999999954]","[2.5097189774116178, 2.162072899836917, 1.8116641399156923, 3.1042654817646693, -12.523314953791983, 1.989491266931348, 0.29875874450839246]",2023-09-10 21:37:24,0.8571428571428571,ADX_28_TEST_1H_CRYPTO_ASCENDEX_RESULTS,2023-09-10 20:00:00+00:00,7
RNDR5S-USDT,ALGO_ADX_28,15,13,2,-0.0470,9.9333,-2.7947,"[1.0, 2.0, 1.0, 1.0, 3.0, 19.0, 1.0, 1.0, 1.0, 1.0, 3.0, 6.0, 5.0, 1.0, 103.0]","[0.005896480000000093, 0.034146690000000035, 0.020824150000000152, 0.010526480000000005, 0.054151599999999966, -0.4726121000000001, 0.004030909999999999, 0.03306644000000003, 0.028808920000000127, 0.12606826000000004, 0.06586143, 0.030898750000000197, 0.04055126999999992, 0.024879519999999822, -0.7128393299999999]","[0.45629514587221376, 2.5988833795085156, 1.5281148094385177, 0.7586074617093123, 3.819787402487639, -32.204606888033354, 0.36561645085456873, 3.0699688356723915, 2.5795263724286563, 10.30948559201086, 4.9452357071093145, 2.2456129105145703, 2.7756529810041366, 1.696268185719575, -46.864692333505296]",2023-09-10 21:36:20,0.8666666666666667,ADX_28_TEST_1H_CRYPTO_ASCENDEX_RESULTS,2023-09-08 00:00:00+00:00,9
IDEX-USDT:USDT,ALGO_ADX_28,15,14,1,0.0011,50.5333,2.4310,"[58.0, 35.0, 11.0, 63.0, 183.0, 10.0, 91.0, 14.0, 28.0, 187.0, 1.0, 44.0, 23.0, 3.0, 7.0]","[-0.0037700000000000025, 0.0008299999999999974, 0.0009100000000000011, 0.00102, 0.00034, 0.00034, 0.0010399999999999993, 0.0008900000000000019, 0.0008700000000000027, 0.008169999999999997, 0.0014199999999999977, 0.0011499999999999982, 0.0013700000000000032, 0.0008700000000000027, 0.0010399999999999993]","[-6.899707174231337, 1.6859638431850443, 1.8247443352717088, 2.004323049715072, 0.65865943432778, 0.6532180595581172, 1.9738090719301562, 1.6629297458893906, 2.0134228187919527, 18.224403301360688, 2.8704265211239086, 2.6088929219600687, 3.051904655825358, 1.8876111954870964, 2.2447658104899615]",2023-09-10 21:18:16,0.9333333333333333,ADX_28_TEST_1H_CRYPTO_BINANCEUSDM_RESULTS,2023-09-05 20:00:00+00:00,12
LEVER-USDT:USDT,ALGO_ADX_28,11,10,1,0.0000,23.0000,2.3046,"[6.0, 7.0, 128.0, 10.0, 17.0, 3.0, 2.0, 3.0, 73.0, 2.0, 2.0]","[1.899999999999992e-05, 2.400000000000015e-05, -5.200000000000018e-05, 2.1999999999999884e-05, 2.8999999999999946e-05, 9.899999999999991e-05, 5.099999999999983e-05, 2.5000000000000066e-05, 1.500000000000004e-05, 6.900000000000005e-05, 3.200000000000013e-05]","[1.6281062553556058, 2.0583190394511277, -4.3697478991596785, 1.7642341619887636, 2.2870662460567783, 7.971014492753616, 3.8374717832956975, 1.8968133535660143, 1.111934766493702, 4.98554913294798, 2.1798365122615895]",2023-09-10 21:59:49,0.9090909090909091,ADX_28_TEST_1H_CRYPTO_BINANCEUSDM_RESULTS,2023-09-06 20:00:00+00:00,11
PERP-USDT:USDT,ALGO_ADX_28,22,19,3,0.0053,32.6364,1.1989,"[19.0, 115.0, 5.0, 3.0, 78.0, 39.0, 14.0, 10.0, 84.0, 9.0, 3.0, 6.0, 14.0, 140.0, 101.0, 5.0, 3.0, 19.0, 3.0, 31.0, 2.0, 15.0]","[0.010999999999999899, -0.04349999999999993, 0.007899999999999963, 0.010700000000000043, 0.004599999999999993, 0.01150000000000001, 0.015199999999999991, 0.0024000000000000687, 0.009299999999999975, 0.006000000000000005, 0.008499999999999952, 0.008600000000000052, 0.006199999999999983, -0.0025000000000000577, 0.0005999999999999894, 0.02030000000000004, 0.005799999999999972, 0.011699999999999988, -0.0032999999999999696, 0.008099999999999996, 0.009299999999999975, 0.009099999999999997]","[2.1929824561403306, -8.387967605090616, 1.6840758900021235, 2.257383966244735, 0.9535655058043104, 2.35994254052945, 3.0694668820678497, 0.4711425206124988, 1.8368556191980991, 1.165274810642844, 1.6255498183208934, 1.678048780487815, 1.190019193857962, -0.4742933029785729, 0.14357501794687472, 4.976709977935779, 1.3466449965172909, 2.747123737966656, -0.7645968489341913, 1.9684082624544341, 2.2074531212912354, 2.128654970760233]",2023-09-10 21:58:49,0.8636363636363636,ADX_28_TEST_1H_CRYPTO_BINANCEUSDM_RESULTS,2023-09-03 23:00:00+00:00,13
