symbol,strategy_name,trades,profitable_trades,loss_trades,average_profit,average_trade_days,average_percent_profit,median_percent_profit,percent_wins,last_sale_date,last_sell_date_diff,table_name,trades_buy_dates,trades_sell_dates,trades_days,trades_profit,trades_percent,last_update
PIII,ALGO_EMA_RSI_ADX_BB_CGPT,7,6,1,0.0400,1.0000,1.8192,1.456310679611641,0.8571428571428571,2023-09-15 16:30:00+00:00,30,EMA_RSI_ADX_BB_P1_L.75_AV_30M_STOCK_RESULTS,"[2023-09-05T14:00:00+00:00, 2023-09-05T20:30:00+00:00, 2023-09-14T17:00:00+00:00, 2023-09-14T18:00:00+00:00, 2023-09-14T20:00:00+00:00, 2023-09-15T14:00:00+00:00, 2023-09-15T16:00:00+00:00]","[2023-09-05T14:30:00+00:00, 2023-09-05T21:00:00+00:00, 2023-09-14T17:30:00+00:00, 2023-09-14T18:30:00+00:00, 2023-09-14T20:30:00+00:00, 2023-09-15T14:30:00+00:00, 2023-09-15T16:30:00+00:00]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.06499999999999972, 0.05999999999999983, 0.029999999999999805, 0.020000000000000018, 0.10499999999999998, -0.029999999999999805, 0.029999999999999805]","[3.307888040712454, 3.0456852791878086, 1.209677419354831, 0.8146639511201635, 4.312114989733059, -1.4117647058823437, 1.456310679611641]",2023-10-13 01:58:16
HBB,ALGO_EMA_RSI_ADX_BB_CGPT,7,6,1,0.1240,1.1429,0.9953,0.7137192704203003,0.8571428571428571,2023-09-26 19:30:00+00:00,19,EMA_RSI_ADX_BB_P1_L.75_AV_30M_STOCK_RESULTS,"[2023-08-17T17:00:00+00:00, 2023-08-23T22:30:00+00:00, 2023-09-15T17:00:00+00:00, 2023-09-19T13:30:00+00:00, 2023-09-21T17:00:00+00:00, 2023-09-26T15:00:00+00:00, 2023-09-26T18:00:00+00:00]","[2023-08-17T19:00:00+00:00, 2023-08-23T23:00:00+00:00, 2023-09-15T18:00:00+00:00, 2023-09-19T15:00:00+00:00, 2023-09-21T17:30:00+00:00, 2023-09-26T15:30:00+00:00, 2023-09-26T19:30:00+00:00]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0]","[0.019999999999999574, 0.0, 0.35999999999999943, 0.08999999999999986, 0.09999999999999964, 0.23800000000000132, 0.0600000000000005]","[0.18353675323483135, 0.0, 2.8503562945368124, 0.7137192704203003, 0.7968127490039812, 1.9330734243015055, 0.489795918367351]",2023-10-13 01:22:16
NMR,ALGO_EMA_RSI_ADX_BB_CGPT,7,6,1,0.0414,1.2857,0.9906,0.956937799043063,0.8571428571428571,2023-09-25 12:00:00+00:00,20,EMA_RSI_ADX_BB_P1_L.75_AV_30M_STOCK_RESULTS,"[2023-09-08T14:00:00+00:00, 2023-09-12T12:00:00+00:00, 2023-09-13T08:00:00+00:00, 2023-09-18T12:30:00+00:00, 2023-09-20T20:00:00+00:00, 2023-09-21T13:00:00+00:00, 2023-09-25T11:30:00+00:00]","[2023-09-08T14:30:00+00:00, 2023-09-12T12:30:00+00:00, 2023-09-13T11:00:00+00:00, 2023-09-18T13:30:00+00:00, 2023-09-20T22:30:00+00:00, 2023-09-21T13:30:00+00:00, 2023-09-25T12:00:00+00:00]","[1.0, 1.0, 1.0, 1.0, 3.0, 1.0, 1.0]","[0.010000000000000675, -0.040000000000000036, 0.07000000000000028, 0.04999999999999982, 0.009999999999999787, 0.15000000000000036, 0.040000000000000036]","[0.24630541871922848, -0.9433962264150951, 1.699029126213599, 1.1574074074074032, 0.22935779816513271, 3.5885167464114924, 0.956937799043063]",2023-10-13 01:49:09
VEON,ALGO_EMA_RSI_ADX_BB_CGPT,7,6,1,0.1653,1.4286,0.8501,0.9708222811671078,0.8571428571428571,2023-09-27 16:00:00+00:00,18,EMA_RSI_ADX_BB_P1_L.75_AV_30M_STOCK_RESULTS,"[2023-09-12T12:30:00+00:00, 2023-09-18T14:00:00+00:00, 2023-09-20T13:30:00+00:00, 2023-09-22T13:30:00+00:00, 2023-09-22T21:00:00+00:00, 2023-09-26T14:30:00+00:00, 2023-09-27T14:00:00+00:00]","[2023-09-12T13:30:00+00:00, 2023-09-18T14:30:00+00:00, 2023-09-20T15:30:00+00:00, 2023-09-22T14:30:00+00:00, 2023-09-25T14:00:00+00:00, 2023-09-26T15:00:00+00:00, 2023-09-27T16:00:00+00:00]","[1.0, 1.0, 1.0, 2.0, 3.0, 1.0, 1.0]","[-0.4399999999999977, 0.22900000000000276, 0.6400000000000006, 0.03500000000000014, 0.4800000000000004, 0.030000000000001137, 0.18299999999999983]","[-2.606635071090034, 1.2261726279717433, 3.4316353887399496, 0.1828631138975974, 2.587601078167118, 0.15789473684211125, 0.9708222811671078]",2023-10-13 02:27:54
PLYA,ALGO_EMA_RSI_ADX_BB_CGPT,7,6,1,0.0393,1.0000,0.5234,0.694444444444442,0.8571428571428571,2023-09-29 18:00:00+00:00,16,EMA_RSI_ADX_BB_P1_L.75_AV_30M_STOCK_RESULTS,"[2023-08-30T13:30:00+00:00, 2023-08-31T11:00:00+00:00, 2023-09-01T12:00:00+00:00, 2023-09-05T13:30:00+00:00, 2023-09-05T14:30:00+00:00, 2023-09-29T15:30:00+00:00, 2023-09-29T17:30:00+00:00]","[2023-08-30T14:00:00+00:00, 2023-08-31T12:00:00+00:00, 2023-09-01T12:30:00+00:00, 2023-09-05T14:00:00+00:00, 2023-09-05T15:00:00+00:00, 2023-09-29T16:00:00+00:00, 2023-09-29T18:00:00+00:00]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.054999999999999716, 0.1200000000000001, 0.15500000000000025, -0.16000000000000014, 0.009999999999999787, 0.04999999999999982, 0.04499999999999993]","[0.7208387942332859, 1.581027667984191, 2.042160737812915, -2.1390374331550817, 0.1364256480218252, 0.694444444444442, 0.628053035589671]",2023-10-13 01:58:54
AEM,ALGO_EMA_RSI_ADX_BB_CGPT,7,6,1,0.2429,1.4286,0.5094,0.41562759767249136,0.8571428571428571,2023-09-21 14:30:00+00:00,24,EMA_RSI_ADX_BB_P1_L.75_AV_30M_STOCK_RESULTS,"[2023-08-25T15:00:00+00:00, 2023-08-25T18:00:00+00:00, 2023-09-01T20:00:00+00:00, 2023-09-05T10:30:00+00:00, 2023-09-13T16:30:00+00:00, 2023-09-21T13:00:00+00:00, 2023-09-21T14:00:00+00:00]","[2023-08-25T16:00:00+00:00, 2023-08-25T18:30:00+00:00, 2023-09-01T20:30:00+00:00, 2023-09-05T12:00:00+00:00, 2023-09-13T17:30:00+00:00, 2023-09-21T13:30:00+00:00, 2023-09-21T14:30:00+00:00]","[2.0, 1.0, 1.0, 2.0, 2.0, 1.0, 1.0]","[0.18299999999999983, 0.31699999999999307, 0.20000000000000284, 0.519999999999996, 0.03999999999999915, 0.0, 0.4399999999999977]","[0.3927965828843715, 0.6785393210325635, 0.41562759767249136, 1.0956595027391403, 0.08422825858075204, 0.0, 0.8989682296455158]",2023-10-13 00:32:50
GME,ALGO_EMA_RSI_ADX_BB_CGPT,7,6,1,0.0879,1.2857,0.5063,0.38567493112947815,0.8571428571428571,2023-09-28 15:30:00+00:00,17,EMA_RSI_ADX_BB_P1_L.75_AV_30M_STOCK_RESULTS,"[2023-08-30T14:30:00+00:00, 2023-09-01T15:00:00+00:00, 2023-09-01T16:00:00+00:00, 2023-09-05T08:30:00+00:00, 2023-09-15T22:00:00+00:00, 2023-09-18T14:00:00+00:00, 2023-09-28T15:00:00+00:00]","[2023-08-30T15:00:00+00:00, 2023-09-01T15:30:00+00:00, 2023-09-01T16:30:00+00:00, 2023-09-05T09:30:00+00:00, 2023-09-15T22:30:00+00:00, 2023-09-18T15:00:00+00:00, 2023-09-28T15:30:00+00:00]","[1.0, 1.0, 1.0, 2.0, 1.0, 2.0, 1.0]","[0.09499999999999886, 0.05999999999999872, 0.08900000000000219, 0.00999999999999801, 0.07000000000000028, -0.030000000000001137, 0.3210000000000015]","[0.5295429208472623, 0.326619488296128, 0.48445920200316905, 0.05497526113247944, 0.38567493112947815, -0.17108639863131528, 1.9338514368335533]",2023-10-13 01:19:38
LBRDK,ALGO_EMA_RSI_ADX_BB_CGPT,14,12,2,0.4119,1.2857,0.4475,0.47697311167873,0.8571428571428571,2023-09-25 15:30:00+00:00,20,EMA_RSI_ADX_BB_P1_L.75_AV_30M_STOCK_RESULTS,"[2023-08-11T13:30:00+00:00, 2023-08-14T14:30:00+00:00, 2023-08-17T19:00:00+00:00, 2023-09-13T14:00:00+00:00, 2023-09-14T12:00:00+00:00, 2023-09-15T13:00:00+00:00, 2023-09-15T20:00:00+00:00, 2023-09-18T13:00:00+00:00, 2023-09-19T15:30:00+00:00, 2023-09-21T14:00:00+00:00, 2023-09-21T20:00:00+00:00, 2023-09-22T18:00:00+00:00, 2023-09-25T14:00:00+00:00, 2023-09-25T15:00:00+00:00]","[2023-08-11T14:00:00+00:00, 2023-08-14T15:00:00+00:00, 2023-08-17T20:30:00+00:00, 2023-09-13T15:00:00+00:00, 2023-09-14T13:30:00+00:00, 2023-09-15T13:30:00+00:00, 2023-09-15T20:30:00+00:00, 2023-09-18T13:30:00+00:00, 2023-09-19T16:30:00+00:00, 2023-09-21T14:30:00+00:00, 2023-09-22T11:00:00+00:00, 2023-09-22T18:30:00+00:00, 2023-09-25T14:30:00+00:00, 2023-09-25T15:30:00+00:00]","[1.0, 1.0, 3.0, 2.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.7199999999999989, 0.2020000000000124, -0.37000000000000455, 0.6600000000000108, 0.9399999999999977, 1.6499999999999915, 0.009999999999990905, 0.0800000000000125, 0.4099999999999966, 0.46999999999999886, 0.9300000000000068, 0.14999999999999147, -0.6550000000000011, 0.5700000000000074]","[0.7793051196016872, 0.2193553991834033, -0.40530178551868173, 0.7293623604818331, 1.0185285513056646, 1.7948439029696415, 0.010892059688477188, 0.08712698758441789, 0.4472076788830678, 0.5067385444743923, 1.0009686793671368, 0.16200453612700233, -0.7153388303391046, 0.6293474660483687]",2023-10-13 01:37:13
WSO,ALGO_EMA_RSI_ADX_BB_CGPT,7,7,0,1.5046,1.2857,0.4157,0.26383961254716787,1.0,2023-09-29 19:00:00+00:00,16,EMA_RSI_ADX_BB_P1_L.75_AV_30M_STOCK_RESULTS,"[2023-09-19T17:00:00+00:00, 2023-09-21T11:00:00+00:00, 2023-09-21T14:00:00+00:00, 2023-09-21T15:30:00+00:00, 2023-09-26T14:00:00+00:00, 2023-09-26T15:30:00+00:00, 2023-09-29T18:30:00+00:00]","[2023-09-19T18:00:00+00:00, 2023-09-21T12:00:00+00:00, 2023-09-21T15:00:00+00:00, 2023-09-21T16:00:00+00:00, 2023-09-26T14:30:00+00:00, 2023-09-26T16:00:00+00:00, 2023-09-29T19:00:00+00:00]","[2.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0]","[0.9370000000000118, 0.8199999999999932, 0.47500000000002274, 0.24500000000000455, 1.5, 3.0500000000000114, 3.5049999999999955]","[0.26383961254716787, 0.23049894588896505, 0.13584819321903668, 0.07009914021258767, 0.4209758219552924, 0.8586711711711744, 0.9300165837479258]",2023-10-13 02:32:43
RHI,ALGO_EMA_RSI_ADX_BB_CGPT,7,6,1,0.2340,1.5714,0.3146,0.18265457989447317,0.8571428571428571,2023-09-18 17:30:00+00:00,27,EMA_RSI_ADX_BB_P1_L.75_AV_30M_STOCK_RESULTS,"[2023-08-04T23:00:00+00:00, 2023-08-07T12:00:00+00:00, 2023-08-08T14:00:00+00:00, 2023-08-14T14:00:00+00:00, 2023-08-14T15:30:00+00:00, 2023-09-18T14:00:00+00:00, 2023-09-18T17:00:00+00:00]","[2023-08-07T08:00:00+00:00, 2023-08-07T13:30:00+00:00, 2023-08-08T16:00:00+00:00, 2023-08-14T14:30:00+00:00, 2023-08-14T16:00:00+00:00, 2023-09-18T15:00:00+00:00, 2023-09-18T17:30:00+00:00]","[1.0, 1.0, 4.0, 1.0, 1.0, 2.0, 1.0]","[-0.10900000000000887, 0.6559999999999917, 0.07200000000000273, 0.3100000000000023, 0.060000000000002274, 0.5139999999999958, 0.13500000000000512]","[-0.14604995176333058, 0.8789795262085855, 0.0972657516481178, 0.4130084333657553, 0.0800213390237427, 0.6964203452293795, 0.18265457989447317]",2023-10-13 02:05:14
