symbol,strategy_name,trades,profitable_trades,loss_trades,sharpe_ratio,average_profit,average_trade_days,average_percent_profit,median_percent_profit,percent_wins,last_sale_date,last_sell_date_diff,table_name,trades_buy_dates,trades_sell_dates,trades_days,trades_profit,trades_percent,last_update
SWX,ALGO_ADX_28,6,6,0,1.0277,0.6137,2.6667,0.9752,0.6124248361239648,1.0,2024-02-28 17:00:00+00:00,25,ADX_28_P.5_L.5_AV_30M_STOCK_RESULTS,"[2024-02-26T20:30:00+00:00, 2024-02-27T15:30:00+00:00, 2024-02-27T18:30:00+00:00, 2024-02-27T21:00:00+00:00, 2024-02-28T15:30:00+00:00, 2024-02-28T16:30:00+00:00]","[2024-02-27T15:00:00+00:00, 2024-02-27T18:00:00+00:00, 2024-02-27T20:30:00+00:00, 2024-02-28T15:00:00+00:00, 2024-02-28T16:00:00+00:00, 2024-02-28T17:00:00+00:00]","[3.0, 5.0, 4.0, 2.0, 1.0, 1.0]","[0.23000000000000398, 0.4199999999999946, 0.19200000000000017, 1.8999999999999915, 0.3500000000000085, 0.5900000000000034]","[0.3724093264248769, 0.6802721088435286, 0.3094877333247367, 3.0356286946796476, 0.5445775634044011, 0.908950855030047]",2024-03-20 11:02:23
CRAI,ALGO_ADX_28,7,7,0,1.031,1.1594,3.7143,0.8351,0.5392805208660638,1.0,2024-03-14 17:30:00+00:00,10,ADX_28_P.5_L.5_AV_30M_STOCK_RESULTS,"[2024-03-07T18:30:00+00:00, 2024-03-07T20:30:00+00:00, 2024-03-12T15:00:00+00:00, 2024-03-12T17:30:00+00:00, 2024-03-13T14:30:00+00:00, 2024-03-13T18:00:00+00:00, 2024-03-13T19:00:00+00:00, 2024-03-19T19:00:00+00:00]","[2024-03-07T20:00:00+00:00, 2024-03-08T15:00:00+00:00, 2024-03-12T17:00:00+00:00, 2024-03-12T20:00:00+00:00, 2024-03-13T17:30:00+00:00, 2024-03-13T18:30:00+00:00, 2024-03-14T17:30:00+00:00]","[2.0, 3.0, 4.0, 5.0, 3.0, 1.0, 8.0]","[0.7379999999999995, 3.679000000000002, 0.05000000000001137, 1.593999999999994, 0.7600000000000193, 0.5799999999999841, 0.7150000000000034]","[0.5392805208660638, 2.6587172538392068, 0.035984166966542906, 1.1475386232416123, 0.545115478410572, 0.4140491147915363, 0.5052467936261198]",2024-03-20 10:07:53
DBA,ALGO_ADX_28,8,7,1,1.2656,0.1260,7.3750,0.5648,0.555589456679184,0.875,2024-03-11 17:00:00+00:00,13,ADX_28_P.5_L.5_AV_30M_STOCK_RESULTS,"[2024-02-26T17:00:00+00:00, 2024-03-01T20:30:00+00:00, 2024-03-05T19:30:00+00:00, 2024-03-06T15:30:00+00:00, 2024-03-07T17:30:00+00:00, 2024-03-08T15:30:00+00:00, 2024-03-08T19:30:00+00:00, 2024-03-11T15:30:00+00:00]","[2024-02-27T15:00:00+00:00, 2024-03-04T15:00:00+00:00, 2024-03-06T15:00:00+00:00, 2024-03-07T17:00:00+00:00, 2024-03-08T15:00:00+00:00, 2024-03-08T19:00:00+00:00, 2024-03-11T15:00:00+00:00, 2024-03-11T17:00:00+00:00]","[10.0, 3.0, 5.0, 17.0, 9.0, 7.0, 5.0, 3.0]","[0.120000000000001, 0.2749999999999986, 0.16000000000000014, 0.10999999999999943, -0.08999999999999986, 0.1280000000000001, 0.2049999999999983, 0.09999999999999787]","[0.53667262969589, 1.239017796801075, 0.7203962179198565, 0.49172999552972474, -0.40089086859688133, 0.574506283662478, 0.9149743360856876, 0.4416961130741955]",2024-03-20 10:09:52
FTXG,ALGO_ADX_28,10,9,1,1.6504,0.1256,12.5000,0.5243,0.4809223390705475,0.9,2024-03-19 20:00:00+00:00,5,ADX_28_P.5_L.5_AV_30M_STOCK_RESULTS,"[2024-02-28T19:00:00+00:00, 2024-02-29T15:30:00+00:00, 2024-03-01T15:00:00+00:00, 2024-03-05T16:30:00+00:00, 2024-03-08T21:00:00+00:00, 2024-03-11T17:00:00+00:00, 2024-03-12T15:30:00+00:00, 2024-03-14T17:30:00+00:00, 2024-03-15T20:00:00+00:00, 2024-03-18T15:30:00+00:00]","[2024-02-29T15:00:00+00:00, 2024-03-01T14:30:00+00:00, 2024-03-05T16:00:00+00:00, 2024-03-08T20:30:00+00:00, 2024-03-11T16:00:00+00:00, 2024-03-12T15:00:00+00:00, 2024-03-13T15:00:00+00:00, 2024-03-15T19:30:00+00:00, 2024-03-18T15:00:00+00:00, 2024-03-19T20:00:00+00:00]","[6.0, 7.0, 23.0, 38.0, 3.0, 7.0, 9.0, 11.0, 2.0, 19.0]","[0.20599999999999952, 0.125, -0.03999999999999915, 0.10999999999999943, 0.11500000000000199, 0.10999999999999943, 0.08999999999999986, 0.11499999999999844, 0.26500000000000057, 0.16000000000000014]","[0.8715887455045461, 0.5264266161297114, -0.16827934371055595, 0.4631578947368397, 0.48197820620285825, 0.458333333333331, 0.3739094308267547, 0.4798664719382367, 1.1000415110004176, 0.6560065600656012]",2024-03-20 10:21:30
SCI,ALGO_ADX_28,9,8,1,1.0106,0.3494,4.7778,0.4829,0.5164933544521727,0.8888888888888888,2024-03-04 17:00:00+00:00,20,ADX_28_P.5_L.5_AV_30M_STOCK_RESULTS,"[2024-02-26T17:00:00+00:00, 2024-02-27T15:30:00+00:00, 2024-02-28T15:30:00+00:00, 2024-02-28T16:30:00+00:00, 2024-02-28T17:30:00+00:00, 2024-02-28T19:30:00+00:00, 2024-02-29T15:30:00+00:00, 2024-03-01T21:00:00+00:00, 2024-03-04T15:30:00+00:00]","[2024-02-27T15:00:00+00:00, 2024-02-28T15:00:00+00:00, 2024-02-28T16:00:00+00:00, 2024-02-28T17:00:00+00:00, 2024-02-28T19:00:00+00:00, 2024-02-29T15:00:00+00:00, 2024-02-29T18:00:00+00:00, 2024-03-04T15:00:00+00:00, 2024-03-04T17:00:00+00:00]","[10.0, 13.0, 1.0, 1.0, 3.0, 5.0, 5.0, 2.0, 3.0]","[-0.4099999999999966, 0.4449999999999932, 0.5649999999999977, 0.10499999999998977, 0.46999999999999886, 0.3499999999999943, 0.375, 0.9299999999999926, 0.3149999999999977]","[-0.5690492713393429, 0.6223776223776128, 0.7874015748031464, 0.1454998960714886, 0.6513303769401315, 0.4836926478717445, 0.5164933544521727, 1.2787020486731646, 0.4297701071014363]",2024-03-20 10:56:54
INFL,ALGO_ADX_28,9,8,1,0.8983,0.1449,16.4444,0.4669,0.5023507438655322,0.8888888888888888,2024-03-13 15:00:00+00:00,11,ADX_28_P.5_L.5_AV_30M_STOCK_RESULTS,"[2024-02-26T17:30:00+00:00, 2024-02-27T16:30:00+00:00, 2024-02-29T15:00:00+00:00, 2024-03-01T16:00:00+00:00, 2024-03-06T20:30:00+00:00, 2024-03-07T15:30:00+00:00, 2024-03-11T15:30:00+00:00, 2024-03-11T19:00:00+00:00, 2024-03-12T15:30:00+00:00]","[2024-02-27T16:00:00+00:00, 2024-02-29T14:30:00+00:00, 2024-03-01T15:30:00+00:00, 2024-03-06T18:30:00+00:00, 2024-03-07T15:00:00+00:00, 2024-03-11T15:00:00+00:00, 2024-03-11T18:30:00+00:00, 2024-03-12T15:00:00+00:00, 2024-03-13T15:00:00+00:00]","[11.0, 24.0, 15.0, 47.0, 3.0, 27.0, 6.0, 4.0, 11.0]","[0.120000000000001, 0.03599999999999781, 0.25, 0.15600000000000236, 0.33999999999999986, -0.22500000000000142, 0.10999999999999943, 0.20599999999999952, 0.31099999999999994]","[0.394866732477792, 0.11793998165377347, 0.8132726089785297, 0.5023507438655322, 1.0953608247422677, -0.7164464257283917, 0.35233824471492453, 0.6566783551163516, 0.9857681701480235]",2024-03-20 10:30:39
OUNZ,ALGO_ADX_28,7,6,1,1.636,0.0921,9.7143,0.4653,0.5748562859285279,0.8571428571428571,2024-03-18 14:30:00+00:00,6,ADX_28_P.5_L.5_AV_30M_STOCK_RESULTS,"[2024-02-26T17:00:00+00:00, 2024-02-27T15:30:00+00:00, 2024-02-29T15:30:00+00:00, 2024-03-01T15:00:00+00:00, 2024-03-01T16:00:00+00:00, 2024-03-01T17:30:00+00:00, 2024-03-15T16:30:00+00:00, 2024-03-18T15:00:00+00:00]","[2024-02-27T15:00:00+00:00, 2024-02-29T15:00:00+00:00, 2024-03-01T14:30:00+00:00, 2024-03-01T15:30:00+00:00, 2024-03-01T17:00:00+00:00, 2024-03-04T14:30:00+00:00, 2024-03-18T14:30:00+00:00]","[10.0, 27.0, 12.0, 1.0, 2.0, 8.0, 8.0]","[0.0799999999999983, 0.14000000000000057, 0.07000000000000028, 0.14000000000000057, 0.11500000000000199, 0.13000000000000256, -0.030000000000001137]","[0.40816326530611374, 0.7121057985757913, 0.3533568904593654, 0.7067137809187308, 0.5748562859285279, 0.6451612903225934, -0.1434720229555291]",2024-03-20 10:47:08
HYT,ALGO_ADX_28,9,8,1,1.7058,0.0440,8.7778,0.4539,0.49084773494222356,0.8888888888888888,2024-03-19 15:00:00+00:00,5,ADX_28_P.5_L.5_AV_30M_STOCK_RESULTS,"[2024-02-26T17:00:00+00:00, 2024-02-28T18:00:00+00:00, 2024-02-29T15:30:00+00:00, 2024-03-11T19:30:00+00:00, 2024-03-12T15:00:00+00:00, 2024-03-12T21:00:00+00:00, 2024-03-13T15:30:00+00:00, 2024-03-15T18:00:00+00:00, 2024-03-18T19:30:00+00:00, 2024-03-19T15:30:00+00:00]","[2024-02-28T17:30:00+00:00, 2024-02-29T15:00:00+00:00, 2024-02-29T16:30:00+00:00, 2024-03-11T21:00:00+00:00, 2024-03-12T20:30:00+00:00, 2024-03-13T15:00:00+00:00, 2024-03-13T17:30:00+00:00, 2024-03-18T19:00:00+00:00, 2024-03-19T15:00:00+00:00]","[29.0, 8.0, 2.0, 3.0, 11.0, 2.0, 4.0, 15.0, 5.0]","[0.06099999999999994, 0.04400000000000048, 0.0600000000000005, 0.0649999999999995, 0.051000000000000156, 0.04800000000000004, 0.0470000000000006, 0.04499999999999993, -0.025000000000000355]","[0.639480029353181, 0.45833333333333837, 0.6227296315516399, 0.6649616368286394, 0.5225945281278835, 0.49084773494222356, 0.4782254782254843, 0.46367851622874734, -0.2561475409836102]",2024-03-20 10:28:01
HWM,ALGO_ADX_28,7,6,1,1.2613,0.2964,7.4286,0.4472,0.6168196178727194,0.8571428571428571,2024-03-19 20:30:00+00:00,5,ADX_28_P.5_L.5_AV_30M_STOCK_RESULTS,"[2024-02-28T17:00:00+00:00, 2024-02-28T19:30:00+00:00, 2024-03-14T15:30:00+00:00, 2024-03-15T14:30:00+00:00, 2024-03-15T17:00:00+00:00, 2024-03-18T15:00:00+00:00, 2024-03-19T17:00:00+00:00, 2024-03-19T21:00:00+00:00]","[2024-02-28T19:00:00+00:00, 2024-02-29T14:30:00+00:00, 2024-03-14T20:00:00+00:00, 2024-03-15T16:30:00+00:00, 2024-03-18T14:30:00+00:00, 2024-03-19T16:30:00+00:00, 2024-03-19T20:30:00+00:00]","[4.0, 4.0, 9.0, 4.0, 8.0, 16.0, 7.0]","[0.4099999999999966, 0.12000000000000455, -0.03999999999999204, 0.5100000000000051, 0.4549999999999983, 0.5799999999999983, 0.03999999999999204]","[0.6168196178727194, 0.17999100044998434, -0.061022120518675886, 0.7780320366132801, 0.6886114264093807, 0.8683934720766555, 0.059594755661489925]",2024-03-20 10:27:46
RSP,ALGO_ADX_28,8,7,1,1.0236,0.7219,12.7500,0.4414,0.5093644809078663,0.875,2024-03-19 20:30:00+00:00,5,ADX_28_P.5_L.5_AV_30M_STOCK_RESULTS,"[2024-02-28T16:30:00+00:00, 2024-02-29T15:30:00+00:00, 2024-03-01T16:30:00+00:00, 2024-03-04T15:30:00+00:00, 2024-03-05T20:30:00+00:00, 2024-03-06T15:00:00+00:00, 2024-03-07T15:30:00+00:00, 2024-03-18T21:00:00+00:00, 2024-03-19T21:00:00+00:00]","[2024-02-29T15:00:00+00:00, 2024-03-01T16:00:00+00:00, 2024-03-04T15:00:00+00:00, 2024-03-05T20:00:00+00:00, 2024-03-06T14:30:00+00:00, 2024-03-07T15:00:00+00:00, 2024-03-08T15:00:00+00:00, 2024-03-19T20:30:00+00:00]","[11.0, 15.0, 11.0, 23.0, 2.0, 14.0, 13.0, 13.0]","[0.710000000000008, 0.9399999999999977, 0.9350000000000023, -0.9900000000000091, 1.460000000000008, 1.2700000000000102, 0.7399999999999807, 0.710000000000008]","[0.43760978766680514, 0.5779280664002445, 0.5724080932994596, -0.6029967109270369, 0.8962003560248039, 0.7719895447085346, 0.446320868516273, 0.4318997505931067]",2024-03-20 10:55:10
